編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOPMLKLQHNFFAV07CA,,73.32,集合住宅,ＲＣ造,107年3月23日,九層,八層 見其他登記事項
RPOPMLKLQHNFFAV07CA,,61.92,停車空間、騎樓、樓梯間、機械室、蓄水池,ＲＣ造,107年3月23日,九層,
RPQNMLRKQHNFFAV67CA,27,183.71,住家用,鋼筋混凝土造,80年7月1日,四層,一層 二層 三層 四層
RPQNMLPKQHNFFAV47CA,14,203.72,住家用,鋼筋混凝土造,93年8月17日,三層,一層 二層 三層 屋頂突出物 見其他登記事項
RPUNMLPKQHNFFAV87CA,24,133.44,住家用,鋼筋混凝土造,83年7月18日,三層,一層 二層 三層 陽台
RPRNMLQKQHNFFAV67CA,18,179.62,鄉村住宅,鋼筋混凝土造,89年10月25日,三層,一層 二層 三層 陽台 平台
RPTNMLPKQHNFFAV77CA,,61.04,集合住宅,ＲＣ造,107年3月23日,九層,五層 見其他登記事項
RPTNMLPKQHNFFAV77CA,,26.11,停車空間、騎樓、樓梯間、機械室、蓄水池,ＲＣ造,107年3月23日,九層,
RPRNMLLLQHNFFAV27CA,21,165.55,住家用,鋼筋混凝土造,86年2月4日,三層,一層 二層 三層 陽台 雨遮
RPRNMLPKQHNFFAV57CA,25,178.90,住家用,鋼筋混凝土造,82年10月30日,七層,四層 陽台
RPRNMLPKQHNFFAV57CA,25,40.64,住家用,鋼筋混凝土造,82年10月30日,七層,
RPRNMLPKQHNFFAV57CA,25,29.38,住家用,鋼筋混凝土造,82年10月30日,七層,
RPRNMLSKQHNFFAV87CA,,114.65,集合住宅,ＲＣ造,107年3月23日,九層,八層 見其他登記事項
RPRNMLSKQHNFFAV87CA,,79.57,停車空間、騎樓、樓梯間、機械室、蓄水池,ＲＣ造,107年3月23日,九層,
RPPNMLLLQHNFFDV37CA,24,31.54,套房,鋼筋混凝土造,83年9月30日,八層,四層 陽台
RPPNMLLLQHNFFDV37CA,24,6.07,樓梯間．門房走道,鋼筋混凝土造,83年9月30日,八層,
RPQNMLLLQHNFFDV47CA,24,31.54,套房,鋼筋混凝土造,83年9月30日,八層,四層 陽台
RPQNMLLLQHNFFDV47CA,24,6.07,樓梯間．門房走道,鋼筋混凝土造,83年9月30日,八層,
RPTNMLQKQHNFFAV87CA,21,160.99,住家用,鋼筋混凝土造,86年2月1日,三層,一層 二層 三層 陽台 屋頂突出物
RPOOMLNLQHNFFAV27CA,,61.04,集合住宅,ＲＣ造,107年3月23日,九層,四層 見其他登記事項
RPOOMLNLQHNFFAV27CA,,26.11,停車空間、騎樓、樓梯間、機械室、蓄水池,ＲＣ造,107年3月23日,九層,
RPPNMLRLQHNFFCV87CA,35,118.65,住家用,加強磚造,73年1月18日,二層,一層 二層 電梯樓梯間
RPPNMLTKQHNFFAV77CA,22,66.56,集合住宅,鋼筋混凝土造,85年6月28日,九層,四層 陽台 花台
RPPNMLTKQHNFFAV77CA,22,13.81,電梯，樓梯共同使用,鋼筋混凝土造,85年6月28日,九層,
RPPNMLTKQHNFFAV77CA,22,8.20,配電室．樓梯．電梯．機械房．通道．水箱．人行共同使用,鋼筋混凝土造,85年6月28日,九層,
RPQNMLTKQHNFFAV87CA,22,56.46,集合住宅,鋼筋混凝土造,85年6月28日,九層,三層 陽台
RPQNMLTKQHNFFAV87CA,22,11.22,電梯，樓梯共同使用,鋼筋混凝土造,85年6月28日,九層,
