編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLMKJINFFCA37CC,33,63.45,住家用,鋼筋混凝土造,74年10月4日,八層,
RPPNMLMKJINFFCA37CC,33,12.93,共有部分,鋼筋混凝土造,74年10月4日,八層,
RPTNMLMKJINFFCA77CC,42,36.45,住家用,鋼筋混凝土造,65年6月23日,十層,
RPTNMLMKJINFFCA77CC,42,.00,,鋼筋混凝土造,65年6月23日,十層,
RPTOMLMKJINFFCA87CC,40,97.10,商業用,鋼筋混凝土造,67年5月22日,十二層,
RPTNMLMKJINFFCA77CC,42,.00,共有部分,鋼筋混凝土造,65年6月23日,十層,
RPTOMLMKJINFFCA87CC,40,10.67,共有部分,鋼筋混凝土造,67年5月22日,十二層,
RPSNMLMKJINFFCA67CC,8,65.09,一般服務業：Ｇ２：職業介紹所、僱工介紹所、計程車客運服務業（限辦公室用）、當舖、病媒防治業及環境衛生服務業、招牌廣告物及模型製作業、派報中心、錄音帶、錄影帶轉錄服務業（但不包括自行製作）、產品展示服務業、室內裝潢、景觀、庭院設計承攬、提供場地供人閱讀（Ｋ書中心）、產品包裝設計業、機械設備租賃業、電影、電影攝製及發行業（限辦公室用）。Ｇ３：照片及軟片沖印業。,鋼筋混凝土造,99年11月24日,十層,
RPSNMLMKJINFFCA67CC,8,15.47,本共有部分之項目有梯廳、Ａ梯間、男廁、女廁、Ｂ梯間、機械房、雨遮、樓梯間及電梯間等９項。,鋼筋混凝土造,99年11月24日,十層,
RPSNMLMKJINFFCA67CC,8,53.11,本共有部分之項目有機車停車空間、台電配電場所、發電機室排風管道、發電機室進風管道、排風管道、防空避難室兼停車空間、梯間、垃圾儲存室、電信機房、停車空間、梯間、消防機房、Ａ梯間、Ｂ梯間、男廁、女廁、陽台、梯廳、入口雨遮、機房Ｂ、水箱Ｂ、汽車坡道、機房Ａ、水箱Ａ、梯間、緊急發電機室、發電機室進風管道及發電機室排風管道等２８項。,鋼筋混凝土造,99年11月24日,十層,
RPWPMLMKJINFFCA28CC,38,98.74,住家用,鋼筋混凝土造,70年1月28日,五層,
RPVNMLMKJINFFCA97CC,4,19.57,住家用,鋼筋混凝土造,104年1月29日,五層,
RPVNMLMKJINFFCA97CC,15,9.75,商業用,鋼筋混凝土造,93年3月2日,十二層,
RPVNMLMKJINFFCA97CC,4,8.36,本共有部分項目共計機電設備空間、雨遮等２項。,鋼筋混凝土造,104年1月29日,五層,
RPUNMLMKJINFFDA97CC,44,36.30,住家用,鋼筋混凝土造,63年7月26日,四層,
RPRNMLMKJINFFBA47CC,,86.79,工業用,鋼筋混凝土造,,四層,
RPVNMLMKJINFFBA87CC,3,36.78,本共有部分之項目有梯廳等１項,鋼筋混凝土造,104年10月8日,十五層,
RPVNMLMKJINFFBA87CC,3,7.94,本共有部分之項目有排煙室兼梯廳、梯廳、緊急升降機、供行動不便者使用、特別安全梯Ａ、戶外安全梯Ｂ、進氣管道及排氣管道等８項,鋼筋混凝土造,104年12月14日,十五層,
RPVNMLMKJINFFBA87CC,3,12.27,本共有部分之項目有梯廳、排煙室兼梯廳、緊急升降機、供行動不便者使用、戶外安全梯Ａ、戶外安全梯Ｂ、管委會、機車昇降機、車道、陽台、電梯機房、自來水箱、機房、消防水箱、防空避難室兼停車空間、台電配電室、受電箱、電表箱、安全梯Ｄ、地下層進氣、發電機進氣、發電機排氣、發電機室、電信機房、儲藏室、汽車昇降機、機械停車平移車台、消防水箱、消防泵浦機房及消防水箱機房、梯間、安全梯Ｂ等３２項,鋼筋混凝土造,104年12月14日,十五層,
RPPNMLMKJINFFEA57CC,33,157.16,住家用,鋼筋混凝土造,74年12月14日,七層,
RPPNMLMKJINFFEA57CC,33,7.68,共有部分,鋼筋混凝土造,74年12月14日,七層,
RPTNMLMKJINFFEA97CC,24,144.22,住家用,鋼筋混凝土造,83年10月28日,三層,
RPTNMLMKJINFFEA97CC,24,77.67,共有部分,鋼筋混凝土造,83年10月28日,三層,
RPTNMLMKJINFFEA97CC,24,22.98,共有部分,鋼筋混凝土造,83年10月28日,三層,
RPOPMLMKJINFFBA37CC,15,43.40,一般零售業甲組,鋼筋混凝土造,92年8月20日,十四層,
RPOPMLMKJINFFBA37CC,15,11.37,共有部分,鋼筋混凝土造,92年8月20日,十四層,
RPXNMLMKJINFFDA28CC,26,255.37,商業用,鋼骨鋼筋混凝土造,81年11月21日,十六層,
RPXNMLMKJINFFDA28CC,26,30.82,共有部分,鋼骨鋼筋混凝土造,81年11月21日,十六層,
RPVNMLMKJINFFDA08CC,10,36.56,住家用,鋼筋混凝土造,98年3月31日,十八層,
RPTOMLMKJINFFDA97CC,32,57.19,工業用,鋼筋混凝土造,75年5月27日,六層,
RPVNMLMKJINFFDA08CC,10,13.68,共有部分,鋼筋混凝土造、鋼骨造,98年3月31日,十八層,
RPVNMLMKJINFFDA08CC,10,5.20,共有部分,鋼筋混凝土造,98年3月31日,十八層,
RPQOMLMKJINFFDA67CC,5,241.15,住家用,鋼筋混凝土造,102年5月21日,十一層,
RPOOMLMKJINFFDA47CC,15,377.85,住家用,鋼筋混凝土造,92年10月9日,十三層,
RPOOMLMKJINFFDA47CC,15,71.65,共有部分,鋼筋混凝土造,92年10月9日,十三層,
RPOOMLMKJINFFDA47CC,15,31.51,共有部分,鋼筋混凝土造,92年10月9日,十三層,
RPOOMLMKJINFFDA47CC,15,57.44,共有部分,鋼筋混凝土造,92年10月9日,十三層,
RPOOMLMKJINFFDA47CC,15,88.23,共有部分,鋼筋混凝土造,92年10月9日,十三層,
RPQNMLMKJINFFAA27CC,,88.13,住家用,鋼筋混凝土造,,四層,
RPWNMLMKJINFFBA97CC,,85.96,住家用,加強磚造,,四層,
RPVOMLMKJINFFBA97CC,27,29.75,商業用,鋼筋混凝土造,81年1月7日,十層,
RPVOMLMKJINFFBA97CC,27,1.97,共有部分,鋼筋混凝土造,81年1月7日,十層,
RPVOMLMKJINFFBA97CC,27,.57,共有部分,鋼筋混凝土造,81年1月7日,十層,
RPVOMLMKJINFFBA97CC,27,4.62,共有部分,鋼筋混凝土造,81年1月7日,十層,
RPVOMLMKJINFFBA97CC,27,1.37,共有部分,鋼筋混凝土造,81年1月7日,十層,
RPQOMLNKJINFFFA97CC,40,65.85,住家用,鋼筋混凝土造,67年9月12日,十二層,
RPQOMLNKJINFFFA97CC,40,12.60,共有部分,鋼筋混凝土造,67年9月12日,十二層,
RPTNMLNKJINFFFA18CC,38,113.17,商業用,鋼筋混凝土造,69年11月17日,十二層,
RPTNMLNKJINFFFA18CC,38,18.78,共有部分,鋼筋混凝土造,69年11月17日,十二層,
RPPNMLNKJINFFAA37DC,,81.24,住家用,鋼筋混凝土造,,五層,
RPRNMLMKJINFFAA37CC,15,84.20,國民住宅,鋼筋混凝土造,92年6月9日,九層,
RPRNMLMKJINFFAA37CC,15,53.83,共有部分,鋼筋混凝土造,92年6月9日,十二層,
RPWNMLMKJINFFEA28CC,13,100.07,住家用,鋼筋混凝土造,94年12月28日,十四層,
RPWNMLMKJINFFEA28CC,13,42.43,共有部分,鋼筋混凝土造,94年12月28日,十四層,
RPWNMLMKJINFFEA28CC,13,6.85,共有部分,鋼筋混凝土造,94年12月28日,十四層,
RPWNMLMKJINFFEA28CC,13,6.07,共有部分,鋼筋混凝土造,94年12月28日,十四層,
RPQOMLMKJINFFEA77CC,39,110.71,住家用,鋼筋混凝土造,68年5月3日,十四層,
RPQOMLMKJINFFEA77CC,39,11.47,共有部分,鋼筋混凝土造,68年5月3日,十四層,
RPSOMLMKJINFFEA97CC,44,86.93,住家用,鋼筋混凝土造,63年6月2日,四層,
RPPPMLNKJINFFEA87CC,10,38.83,住家用,鋼筋混凝土造,97年10月13日,十四層,
RPPPMLNKJINFFEA87CC,10,7.98,共有部分,鋼筋混凝土造,97年10月13日,十四層,
RPQOMLNKJINFFEA87CC,49,50.12,住家用,加強磚造,59年2月16日,二層,
RPQNMLNKJINFFEA77CC,3,168.40,住家用,鋼筋混凝土造,104年11月19日,五層,
RPQNMLNKJINFFEA77CC,3,83.05,本共有部分之項目有管委會空間、大廳、梯廳、樓梯間、機械室、水箱、停車空間、台電配電場所、電信室、蓄水池（Ａ、Ｂ、Ｃ、Ｄ、Ｅ）、緊急發電機室、雨遮、空橋、陽台、涼亭、管委會、管委會陽台、機房、機電設備空間、發電機排風管道、發電機進風管道、景觀樓梯間、消防機房、無障礙坡道、汽（機）車坡道、機車停車空間、電梯間、受電箱等二十八項。,鋼筋混凝土造,104年11月19日,五層,
RPPOMLNKJINFFEA77CC,49,50.12,住家用,加強磚造,59年2月16日,二層,
RPOOMLNKJINFFEA67CC,49,42.40,住家用,加強磚造,59年2月16日,二層,
RPXNMLNKJINFFEA48CC,33,163.38,工業用,鋼筋混凝土造,74年12月27日,十一層,
RPXNMLNKJINFFEA48CC,33,7.56,共有部分,鋼筋混凝土造,74年12月27日,十一層,
RPWNMLNKJINFFDA28CC,9,34.20,住家用,鋼筋混凝土造,98年3月31日,十八層,
RPWNMLNKJINFFDA28CC,9,12.78,共有部分,鋼筋混凝土造、鋼骨造,98年3月31日,十八層,
RPWNMLNKJINFFDA28CC,9,4.30,共有部分,鋼筋混凝土造,98年3月31日,十八層,
RPSOMLNKJINFFDA97CC,36,75.88,見使用執照,鋼筋混凝土造,71年10月18日,十二層,
RPSOMLNKJINFFDA97CC,36,61.06,見使用執照,鋼筋混凝土造,71年10月18日,十二層,
RPSOMLNKJINFFDA97CC,36,61.06,見使用執照,鋼筋混凝土造,71年10月18日,十二層,
RPSOMLNKJINFFDA97CC,36,86.24,共有部分,鋼筋混凝土造,71年10月18日,十二層,
RPROMLNKJINFFCA77CC,21,165.22,工業用,鋼筋混凝土造,86年11月14日,七層,
RPROMLNKJINFFCA77CC,21,74.14,共有部分,鋼筋混凝土造,86年11月14日,七層,
RPROMLNKJINFFCA77CC,21,35.90,共有部分,鋼筋混凝土造,86年11月14日,七層,
RPOOMLNKJINFFCA47CC,22,149.01,商業用,鋼筋混凝土造,85年10月21日,十一層,
RPOOMLNKJINFFCA47CC,22,8.07,商業用,鋼筋混凝土造,85年10月21日,十一層,
RPOOMLNKJINFFCA47CC,22,15.46,商業用,鋼筋混凝土造,85年12月5日,十六層,
RPOOMLNKJINFFCA47CC,22,5.63,商業用,鋼筋混凝土造,85年12月5日,十六層,
RPOOMLNKJINFFCA47CC,22,8.94,商業用,鋼筋混凝土造,85年12月5日,十六層,
RPOOMLNKJINFFCA47CC,22,45.27,商業用,鋼筋混凝土造,85年12月5日,十六層,
RPOOMLNKJINFFCA47CC,22,13.07,商業用,鋼筋混凝土造,85年12月5日,十六層,
RPOOMLNKJINFFCA47CC,22,41.38,商業用,鋼筋混凝土造,85年12月5日,十六層,
RPRPMLNKJINFFCA87CC,18,85.72,住家用,鋼筋混凝土造,89年6月28日,十二層,
RPRPMLNKJINFFCA87CC,18,15.56,共有部分,鋼筋混凝土造,89年6月28日,十二層,
RPRPMLNKJINFFCA87CC,18,54.18,共有部分,鋼筋混凝土造,89年6月28日,十二層,
RPQQMLNKJINFFCA87CC,36,142.85,住家用,鋼筋混凝土造,72年3月28日,六層,
RPUOMLNKJINFFCA08CC,14,135.35,住家用,鋼筋混凝土造,93年12月30日,十一層,
RPQQMLNKJINFFCA87CC,36,6.83,共有部分,鋼筋混凝土造,72年3月28日,六層,
RPUOMLNKJINFFCA08CC,14,115.02,共有部分,鋼筋混凝土造,93年12月30日,十一層,
RPXOMLNKJINFFCA38CC,6,129.92,住家用,鋼筋混凝土造,101年11月23日,十四層,
RPXOMLNKJINFFCA38CC,6,61.79,本共有部分項目計有機車停車空間、機電設備空間、排煙室進風管道、排煙室排風管道、梯廳兼排煙室、梯廳、安全梯、昇降機、陽台、雨遮、管理員室、管委會空間、防空避難室兼停車空間、水箱、地下室進風管道、地下室排風管道、發電機排風管道、發電機房、台電配電室、機房（供電信使用）、電錶、公共廁所、消防泵浦室等２３項。,鋼筋混凝土造,101年11月23日,十四層,
RPSOMLNKJINFFCA87CC,7,53.56,住家用,鋼筋混凝土造,101年1月9日,九層,
RPSOMLNKJINFFCA87CC,7,17.92,本共有部分之項目有梯廳、客梯、管理員室、乙梯、丙梯、機車升降機、汽車升降機、陽台、消防水箱、電梯機房、水箱一、水箱二、甲梯、機房（供電信使用）、台電配電室、儲藏室、防空避難室兼停車空間、停車空間、緊急發電機室及消防泵浦室等２０項,鋼筋混凝土造,101年1月9日,九層,
