鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南區,房地(土地+建物)+車位,臺中市南區福田二街３５９號,25.58,住,,,1071018,土地2建物1車位1,一層，騎樓,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0900810,188.38,3,2,2,有,有,8500000,45122,坡道平面,20.18,0,,RPSOMLMKJINFFAB47CA,119.53,0.41,5.51,,
東區,土地,旱平段302地號,69.79,住,,,1071022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4850000,69494,,0.0,0,,RPQPMLMKJINFFAB37CA,0.0,0.0,0.0,,
南區,房地(土地+建物),臺中市南區忠明南路１２４４號５樓之１,28.5,住,,,1070912,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750917,111.02,4,1,4,有,無,6150000,55395,,0.0,0,,RPQNMLNKJINFFAB27CA,100.79,0.0,10.23,,
東區,房地(土地+建物),臺中市東區忠孝路２９０巷６一３號,42.0,住,,,1071009,土地3建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700513,77.38,2,2,2,有,無,2550000,32954,,0.0,0,,RPWNMLNKJINFFAB87CA,77.38,0.0,0.0,,
東區,房地(土地+建物),臺中市東區進化路１３８巷４號５樓之２,17.0,住,,,1071010,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701111,46.81,2,1,1,有,無,2200000,46999,,0.0,0,,RPSOMLNKJINFFAB57CA,46.81,0.0,0.0,,
南區,房地(土地+建物)+車位,臺中市南區工學路１５５巷１８號十樓之１,26.09,住,,,1071025,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050328,170.67000000000002,3,2,2,有,無,11000000,64452,坡道平面,32.41,0,,RPTOMLNKJINFFAB67CA,81.06,2.64,9.11,,
西區,房地(土地+建物),臺中市西區華美街１０３巷３號３樓之１,25.06,住,,,1071030,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0841205,135.07,3,2,2,有,有,4000000,29614,,0.0,0,,RPPOMLKLJINFFAB07CA,75.96,14.16,14.14,,
南區,房地(土地+建物)+車位,臺中市南區正氣街４７號四樓之２,18.66,商,,,1071019,土地3建物1車位2,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040413,186.95,3,2,2,有,有,10750000,57502,坡道平面,45.04,0,,RPWNMLLLJINFFAB77CA,78.17,3.5,11.09,,
西區,房地(土地+建物),臺中市西區向上路一段７９巷６６弄１７號,73.0,住,,,1071007,土地2建物1車位0,一層，二層,二層,店面(店鋪),住家用,見其他登記事項,0610331,83.58,5,2,3,有,無,18000000,215363,,0.0,0,,RPUNMLMLJINFFAB67CA,83.58,0.0,0.0,,
