鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西屯區,建物,臺中市西屯區福星路427號，地下二層，3~11樓,1114.0,商,,,1071012,土地0建物1車位0,見其他登記事項,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0791006,7302.0,140,1,140,有,無,有,1800000,247,坡道平面,774.47,0,含增建或未登記建物。；外牆作為廣告使用。；屋頂突出物作為基地台或廣告使用。；,RPVNMLLKJINFFCB97CC
西屯區,房地(土地+建物),臺中市西屯區臺灣大道四段925號12樓之9,4.06,住,,,1071101,土地1建物1車位0,十二層,28,辦公商業大樓,見其他登記事項,見其他登記事項,0810701,85.22,2,1,1,有,有,無,19000,223,,0.0,0,,RPWOMLMKJINFFCB28CC
西屯區,房地(土地+建物),臺中市西屯區何安里1鄰何厝街37巷17號11樓之7,14.27,住,,,1071110,土地1建物1車位0,十一層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030507,137.49,2,2,2,有,無,有,34000,247,,0.0,0,,RPXOMLMKJINFFCB38CC
北屯區,房地(土地+建物),臺中市北屯區松義街158-12號,26.67,住,,,1071101,土地1建物3車位0,二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0860127,39.69,1,1,1,有,有,有,12800,322,,0.0,0,租金含網路費、第四台、管理費、清潔費.,RPWOMLMKJINFFBB18CC
北屯區,房地(土地+建物),臺中市北區永興街357號,31.43,住,,,1071012,土地1建物1車位0,一層,7,店面(店鋪),住商用,鋼筋混凝土造,0780617,144.19,0,0,0,無,無,有,33000,229,,0.0,0,,RPOPMLMKJINFFBB47CC
西區,房地(土地+建物),臺中市西區忠明南路112號6樓之1,10.97,住,,,1071103,土地1建物1車位0,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,90.78,2,1,1,有,無,有,35000,386,,0.0,0,,RPXOMLMKJINFFAB18CC
豐原區,房地(土地+建物),臺中市豐原區南陽路298巷42號四樓,0.0,住,,,1071108,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780928,98.49,3,2,2,有,有,無,7000,71,,0.0,0,,RPOOMLMKJINFFDB67DC
南區,房地(土地+建物),臺中市南區興大路46號3樓之2,11.52,住,,,1071101,土地1建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830707,114.19,3,2,2,有,有,有,13500,118,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原租金15000元房東租金9折13500元房客租金7折10500元,RPTNMLNKJINFFAB77CC
豐原區,房地(土地+建物),臺中市豐原區中正路132號,100.0,商,,,1071112,土地1建物1車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0710717,485.85,4,4,5,有,無,無,108000,222,,0.0,0,,RPUNMLNKJINFFDB18CC
