編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLPKJINFFBC87CA,長潭段,8.13,都市：住,15,1,持分移轉,02880000
RPSNMLPKJINFFBC87CA,長潭段,2.20,都市：住,15,1,持分移轉,02890000
RPSNMLPKJINFFBC87CA,長潭段,.80,都市：住,15,1,持分移轉,02930005
RPPNMLPKJINFFBC57CA,深澳段,56.40,都市：住,10000,77,持分移轉,04440000
RPPNMLPKJINFFBC57CA,深澳段,3.45,都市：其他:保護區,10000,77,持分移轉,04440001
RPPNMLPKJINFFBC57CA,深澳段,.00,都市：其他:保護區,10000,77,持分移轉,04440002
RPSNMLQJKINFFBC97CA,長潭段,8.13,都市：住,15,1,持分移轉,02880000
RPSNMLQJKINFFBC97CA,長潭段,2.20,都市：住,15,1,持分移轉,02890000
RPSNMLQJKINFFBC97CA,長潭段,.80,都市：住,15,1,持分移轉,02930005
RPSNMLOKJINFFBC77CA,延平段,3.17,都市：商,100000,209,持分移轉,04070000
RPSNMLOKJINFFBC77CA,延平段,.01,都市：商,100000,209,持分移轉,04110003
RPVNMLNKJINFFCC08CA,代天府段,21.58,都市：其他:部分住宅區部分道路用地,100000,53,持分移轉,08370000
RPVNMLNKJINFFCC08CA,代天府段,.13,都市：其他:道路用地,100000,53,持分移轉,08370001
RPVNMLNKJINFFCC08CA,代天府段,.17,都市：住,100000,53,持分移轉,08370002
RPVNMLNKJINFFCC08CA,代天府段,.04,都市：其他:保護區,100000,53,持分移轉,08370003
RPVNMLNKJINFFCC08CA,代天府段,.00,都市：住,100000,53,持分移轉,08370004
RPVNMLNKJINFFCC08CA,代天府段,.09,都市：住,100000,53,持分移轉,08370005
RPVNMLNKJINFFCC08CA,代天府段,.05,都市：其他:道路用地,100000,53,持分移轉,08370006
RPUNMLQJKINFFBC18CA,長潭段,8.13,都市：住,15,1,持分移轉,02880000
RPUNMLQJKINFFBC18CA,長潭段,2.20,都市：住,15,1,持分移轉,02890000
RPUNMLQJKINFFBC18CA,長潭段,.80,都市：住,15,1,持分移轉,02930005
RPTNMLQJKINFFBC08CA,長潭段,8.13,都市：住,15,1,持分移轉,02880000
RPTNMLQJKINFFBC08CA,長潭段,2.20,都市：住,15,1,持分移轉,02890000
RPTNMLQJKINFFBC08CA,長潭段,.80,都市：住,15,1,持分移轉,02930005
RPQNMLNKJINFFBC47CA,調和段,.34,都市：其他:道路用地,1,1,全筆移轉,08460001
RPWNMLNKJINFFBC08CA,長潭段,24.57,都市：住,100000,90,持分移轉,08920000
RPVNMLQJKINFFBC28CA,長潭段,8.13,都市：住,15,1,持分移轉,02880000
RPVNMLQJKINFFBC28CA,長潭段,2.20,都市：住,15,1,持分移轉,02890000
RPVNMLQJKINFFBC28CA,長潭段,.80,都市：住,15,1,持分移轉,02930005
RPTNMLLLJINFFCC77CA,情人湖段,25.26,都市：住,100000,107,持分移轉,01350000
RPTNMLLLJINFFCC77CA,情人湖段,.08,都市：其他:道路用地,100000,107,持分移轉,01350001
RPPNMLKLJINFFCC27CA,武嶺段,.05,都市：其他:道路用地,100000,133,持分移轉,04930000
RPPNMLKLJINFFCC27CA,武嶺段,.07,都市：其他:道路用地,100000,133,持分移轉,04940000
RPPNMLKLJINFFCC27CA,武嶺段,5.24,都市：住,100000,133,持分移轉,04950000
RPPNMLKLJINFFCC27CA,武嶺段,.05,都市：其他:道路用地,100000,133,持分移轉,04950001
RPPNMLKLJINFFCC27CA,武嶺段,.12,都市：住,100000,133,持分移轉,04960000
RPPNMLKLJINFFCC27CA,武嶺段,2.41,都市：其他:都市計畫,100000,133,持分移轉,04970000
RPPNMLKLJINFFCC27CA,武嶺段,.01,都市：其他:到路用地,100000,133,持分移轉,04980000
RPPNMLKLJINFFCC27CA,武嶺段,5.55,都市：住,100000,133,持分移轉,04990000
RPPNMLKLJINFFCC27CA,武嶺段,.12,都市：其他:道路用地,100000,133,持分移轉,04990001
RPPNMLKLJINFFCC27CA,武嶺段,.05,都市：其他:道路用地,100000,133,持分移轉,05000000
RPPNMLKLJINFFCC27CA,武嶺段,.02,都市：其他:部份住宅/部份道路,100000,133,持分移轉,05010001
RPPNMLKLJINFFCC27CA,武嶺段,.12,都市：其他:道路用地,100000,133,持分移轉,05020000
RPPNMLKLJINFFCC27CA,武嶺段,.02,都市：住,100000,133,持分移轉,05020001
RPPNMLKLJINFFCC27CA,武嶺段,.03,都市：其他:道路用地,100000,133,持分移轉,05060000
RPPNMLKLJINFFCC27CA,武嶺段,.00,都市：住,100000,133,持分移轉,05060001
RPPNMLKLJINFFCC27CA,武嶺段,1.19,都市：住,100000,133,持分移轉,05100000
RPPNMLKLJINFFCC27CA,武嶺段,.09,都市：其他:部份住宅/部份道路,100000,133,持分移轉,05110000
RPPNMLKLJINFFCC27CA,武嶺段,7.87,都市：住,100000,133,持分移轉,05120000
RPPNMLKLJINFFCC27CA,武嶺段,.00,都市：其他:道路用地,100000,133,持分移轉,05120001
RPPNMLKLJINFFCC27CA,武嶺段,1.78,都市：住,100000,133,持分移轉,05130000
RPPNMLKLJINFFCC27CA,武嶺段,.02,都市：住,100000,133,持分移轉,05140000
RPPNMLKLJINFFCC27CA,武嶺段,.06,都市：住,100000,133,持分移轉,05150000
RPPNMLKLJINFFCC27CA,武嶺段,.03,都市：住,100000,133,持分移轉,05160000
RPPNMLKLJINFFCC27CA,武嶺段,2.71,都市：住,100000,133,持分移轉,05170000
RPPNMLKLJINFFCC27CA,武嶺段,.06,都市：住,100000,133,持分移轉,05190000
RPPNMLKLJINFFCC27CA,武嶺段,.03,都市：住,100000,133,持分移轉,05240000
RPPNMLKLJINFFCC27CA,武嶺段,.02,都市：住,100000,133,持分移轉,05250000
RPPNMLKLJINFFCC27CA,武嶺段,.04,都市：住,100000,133,持分移轉,05270000
RPUOMLOKJINFFCC28DA,武嶺段,5.77,都市：住,4,1,持分移轉,02190000
RPUOMLOKJINFFCC28DA,武嶺段,2.85,都市：其他:道路用地,4,1,持分移轉,02190001
RPUOMLOKJINFFCC28DA,武嶺段,22.22,都市：住,4,1,持分移轉,02200000
RPUOMLOKJINFFCC28DA,武嶺段,3.98,都市：住,4,1,持分移轉,02210000
RPPNMLKLJINFFCC27CA,武嶺段,.02,都市：住,100000,133,持分移轉,05280000
RPPNMLKLJINFFCC27CA,武嶺段,.09,都市：其他:道路用地,100000,133,持分移轉,05280001
RPPNMLKLJINFFCC27CA,武嶺段,.05,都市：住,100000,133,持分移轉,05290000
RPPNMLKLJINFFCC27CA,武嶺段,.00,都市：其他:道路用地,100000,133,持分移轉,05290001
RPPNMLKLJINFFCC27CA,武嶺段,.21,都市：其他:道路用地,100000,133,持分移轉,05010000
RPUNMLOKJINFFCC08CA,安國段,43.73,都市：住,30,1,持分移轉,00030003
