編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUOMLNJKINFFBG58DB,新三泰段,65.87,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14330000
RPUOMLNJKINFFBG58DB,新三泰段,15.81,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14380000
RPUOMLNJKINFFBG58DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14340000
RPUOMLNJKINFFBG58DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14580000
RPVOMLNJKINFFBG68DB,新三泰段,56.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14320000
RPVOMLNJKINFFBG68DB,新三泰段,23.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14400000
RPVOMLNJKINFFBG68DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14340000
RPVOMLNJKINFFBG68DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14580000
RPOPMLNJKINFFBG08DB,新三泰段,56.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14300000
RPOPMLNJKINFFBG08DB,新三泰段,23.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14450000
RPOPMLNJKINFFBG08DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14340000
RPOPMLNJKINFFBG08DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14580000
RPXOMLNJKINFFBG88DB,新三泰段,56.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14310000
RPXOMLNJKINFFBG88DB,新三泰段,23.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14410000
RPXOMLNJKINFFBG88DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14340000
RPXOMLNJKINFFBG88DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14580000
RPWQMLNJKINFFBG98DB,新三泰段,59.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14640000
RPWQMLNJKINFFBG98DB,新三泰段,27.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14550000
RPWQMLNJKINFFBG98DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14340000
RPUPMLNJKINFFBG68DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14340000
RPWQMLNJKINFFBG98DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14580000
RPUPMLNJKINFFBG68DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14580000
RPUPMLNJKINFFBG68DB,新三泰段,102.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14240000
RPUPMLNJKINFFBG68DB,新三泰段,6.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14570000
RPUQMLNJKINFFBG78DB,新三泰段,91.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14630000
RPUQMLNJKINFFBG78DB,新三泰段,4.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14560000
RPUQMLNJKINFFBG78DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14340000
RPUQMLNJKINFFBG78DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14580000
RPVPMLNJKINFFBG78DB,新三泰段,56.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14270000
RPVPMLNJKINFFBG78DB,新三泰段,23.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14510000
RPVPMLNJKINFFBG78DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14340000
RPVPMLNJKINFFBG78DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14580000
RPXPMLNJKINFFBG98DB,新三泰段,23.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14530000
RPXPMLNJKINFFBG98DB,新三泰段,1.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14340000
RPXPMLNJKINFFBG98DB,新三泰段,3.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,23000,995,持分移轉,14580000
RPXPMLNJKINFFBG98DB,新三泰段,56.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14260000
