編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLMKJINFFBH97CC,1,54.77,集合住宅,鋼筋混凝土造,106年6月5日,十五層,
RPPNMLMKJINFFBH97CC,1,61.19,本共有部分之項目有：停車空間、防空避難室兼停車空間、供管委會使用空間、樓梯間、排煙室、水箱、機房、排風機房、蓄水池、消防機房、污水機房、車道、台電配電室、水池機房、電錶區、發電機室、電信機房、垃圾暫存區、梯廳及消防水箱等二十項。,鋼筋混凝土造,106年6月5日,十五層,
RPPNMLNKJINFFGH58CC,14,26.16,集合住宅、梯廳、電機空間,鋼筋混凝土造,94年1月30日,十二層,
RPPNMLNKJINFFGH58CC,14,11.10,共有部份,鋼筋混凝土造,94年1月30日,十二層,
RPRNMLNKJINFFHH88CC,33,330.92,住家用,鋼筋混凝土造,75年4月4日,三層,
RPRNMLNKJINFFHH88CC,33,330.92,住家用,鋼筋混凝土造,75年4月4日,三層,
RPRNMLNKJINFFHH88CC,33,330.92,住家用,鋼筋混凝土造,75年4月4日,三層,
RPPPMLNKJINFFCH38CC,11,84.96,住家用,鋼筋混凝土造,96年9月30日,十三層,
RPPPMLNKJINFFCH38CC,11,16.11,共用【集合住宅（附屬停車空間、附屬防空避難室兼停車空間、附屬公共設施）】,鋼筋混凝土造,96年9月30日,十三層,
RPPPMLNKJINFFCH38CC,11,20.29,共用：【集合住宅（附屬樓電梯間、附屬機械室、附屬水箱）】,鋼筋混凝土造,96年9月30日,十三層,
RPQNMLNKJINFFDH38CC,24,88.26,住家用,鋼筋混凝土造,83年8月25日,五層,
RPQNMLNKJINFFDH38CC,24,39.50,共有部份,鋼筋混凝土造,83年8月25日,五層,
RPQNMLNKJINFFDH38CC,24,6.32,共有部份,鋼筋混凝土造,83年8月25日,五層,
RPSPMLMKJINFFAH38CC,23,39.48,住家用,鋼筋混凝土造,84年12月30日,十二層,
RPSNMLNKJINFFDH58CC,25,75.51,住家用,鋼筋混凝土造,82年10月22日,十二層,
RPSNMLNKJINFFDH58CC,25,8.73,見其他登記事項,,82年10月22日,000,
RPSNMLNKJINFFDH58CC,25,10.03,見其他登記事項,鋼筋混凝土造,82年10月22日,十二層,
RPOOMLMKJINFFCH08CC,46,21.00,住商用,加強磚造,62年2月15日,二層,
RPSNMLNKJINFFHH98CC,3,853.36,事務所及工商服務業,鋼筋混凝土造,104年7月28日,五層,
RPRNMLNKJINFFDH48CC,1,60.46,集合住宅,鋼筋混凝土造,106年8月2日,十五層,
RPRNMLNKJINFFDH48CC,1,59.99,本共有部分之項目有附屬管理室、防空避難室兼停車空間、蓄水池、消防泵浦室、污水處理設備、發電機房、梯間、台電配電場所、水循環設備、電信室、垃圾處理空間、公共服務空間、門廊、水箱、機房、雨水機房等１７項,鋼筋混凝土造,106年8月2日,十五層,
RPQNMLMKJINFFBH08CC,39,76.30,住家用,加強磚造,69年1月28日,二層,
RPXNMLNKJINFFAH78CC,10,101.70,商業用,鋼骨鋼筋混凝土造,98年1月6日,二層,
RPXPMLNKJINFFAH98CC,23,68.42,住家用,鋼筋混凝土造,84年5月20日,十二層,
RPXPMLNKJINFFAH98CC,23,12.14,共有部份,鋼筋混凝土造,84年5月20日,十二層,
RPXNMLNKJINFFAH78CC,10,8.93,共有部份,鋼骨鋼筋混凝土造,98年1月6日,二層,
RPXPMLNKJINFFAH98CC,23,6.77,共有部份,鋼筋混凝土造,84年5月20日,十三層,
RPXPMLNKJINFFAH98CC,23,16.98,共有部份,鋼筋混凝土造,84年5月20日,十三層,
RPSNMLNKJINFFAH28CC,8,26.92,住宅（附屬停車空間、梯間）,鋼筋混凝土造,99年9月24日,五層,
RPOPMLNKJINFFAH08CC,13,130.95,住家用,鋼筋混凝土造,95年5月5日,五層,
RPOPMLNKJINFFAH08CC,13,12.56,住家用,鋼筋混凝土造,95年5月5日,五層,
RPOPMLNKJINFFAH08CC,13,19.41,共有部份,鋼筋混凝土造,95年5月5日,五層,
RPWPMLNKJINFFAH88CC,17,109.54,住家用,鋼筋混凝土造,90年6月20日,九層,
RPWPMLNKJINFFAH88CC,17,3.90,共有部份,鋼筋混凝土造,90年6月20日,九層,
RPWPMLNKJINFFAH88CC,17,18.70,共有部份,鋼筋混凝土造,90年6月20日,九層,
RPROMLNKJINFFAH28CC,7,34.03,自由職業事務所,鋼筋混凝土造,100年10月24日,十七層,
RPWPMLNKJINFFAH88CC,17,.24,住家用,鋼筋混凝土造,90年6月20日,九層,
RPWPMLNKJINFFAH88CC,17,32.83,共有部份,鋼筋混凝土造,90年6月20日,九層,
RPWNMLNKJINFFAH68CC,23,77.70,住商用,鋼筋混凝土造,84年6月14日,七層,
RPWNMLNKJINFFAH68CC,23,18.90,共有部份,鋼筋混凝土造,84年6月14日,七層,
RPWNMLNKJINFFAH68CC,23,4.00,共有部份,鋼筋混凝土造,84年6月14日,七層,
RPTPMLMKJINFFAH48CC,20,83.88,住家用,鋼筋混凝土造,88年1月11日,二十一層,
RPTPMLMKJINFFAH48CC,20,16.33,共有部份,鋼筋混凝土造,88年1月11日,二十一層,
RPTPMLMKJINFFAH48CC,20,70.10,共有部份,鋼筋混凝土造,88年1月11日,二十二層,
RPTPMLMKJINFFAH48CC,20,.09,辦公室,鋼筋混凝土造,88年1月11日,二十二層,
