編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLOKJINFFAI97CA,台斗坑段,15.13,都市：住,10000,59,持分移轉,03240005
RPOOMLOKJINFFAI97CA,台斗坑段,.01,都市：住,10000,59,持分移轉,03240010
RPXNMLPKJINFFAI88CA,鳥岫段,22.89,都市：住,320,10,持分移轉,06040000
RPXNMLPKJINFFAI88CA,鳥岫段,.56,都市：住,320,10,持分移轉,06140001
RPXNMLPKJINFFAI88CA,鳥岫段,.99,都市：住,320,10,持分移轉,06140002
RPPNMLNKJINFFAI87CA,下路頭段,65.00,都市：住,1,1,全筆移轉,07360072
RPXNMLPKJINFFAI88CA,鳥岫段,.54,都市：農,320,10,持分移轉,06150001
RPQNMLOKJINFFAI08CA,竹圍子段,126.00,都市：住,1,1,全筆移轉,02430000
RPQNMLMLJINFFAI97CA,埤子頭段,14.56,都市：住,10000,40,持分移轉,03120000
RPQNMLOKJINFFAI08CA,竹圍子段,17.64,都市：住,14,1,持分移轉,02430014
RPOOMLKLJINFFAI67CA,南門段五小段,50.00,都市：商,1,1,全筆移轉,00050010
RPVNMLKLJINFFAI28CA,檜段四小段,3.50,都市：住,10000,100,持分移轉,00020000
RPWNMLOLJINFFAI78CA,同興段,9.57,都市：住,10000,7,持分移轉,14350000
RPWNMLOLJINFFAI78CA,同興段,9.57,都市：住,10000,7,持分移轉,14350000
RPUNMLNJKINFFAI38CA,竹圍子段,59.00,都市：住,1,1,全筆移轉,03570234
RPUNMLNJKINFFAI38CA,竹圍子段,25.00,都市：住,1,1,全筆移轉,03570237
RPQNMLNKJINFFAI18EA,中山段二小段,89.00,都市：商,1,1,全筆移轉,00120012
RPWNMLPKJINFFAI78CA,檜段四小段,2.91,都市：商,10000,83,持分移轉,00020000
RPRNMLTKJINFFAI68CA,埤子頭段,14.56,都市：住,10000,40,持分移轉,03120000
RPPOMLOKJINFFAI08CA,湖子內段新民小段,445.07,都市：商,1,1,全筆移轉,03790000
RPQNMLNLJINFFAI08CA,下路頭段,53.00,都市：住,1,1,全筆移轉,07220036
RPSOMLPKJINFFAI48CA,北社尾段,11.75,都市：住,10000,208,持分移轉,06530014
RPSNMLPKJINFFAI38CA,彌陀段,21.22,都市：住,10000,110,持分移轉,04010003
RPROMLPKJINFFAI38CA,埤子頭段,7.02,都市：住,10000,111,持分移轉,03430001
RPROMLPKJINFFAI38CA,埤子頭段,7.97,都市：住,10000,111,持分移轉,03430019
RPUNMLQKJINFFAI68CA,盧厝段,335.00,都市：農,1,1,全筆移轉,03660001
RPUNMLQKJINFFAI68CA,盧厝段,1640.00,都市：農,1,1,全筆移轉,03830000
RPUNMLQKJINFFAI68CA,盧厝段,105.00,都市：農,1,1,全筆移轉,03840000
RPUNMLQKJINFFAI68CA,盧厝段,842.00,都市：農,1,1,全筆移轉,03850000
RPUNMLPKJINFFAI58CA,竹圍子段二小段,82.00,都市：住,1,1,全筆移轉,02970000
RPRNMLNLJINFFAI18CA,台斗坑段,90.00,都市：住,1,1,全筆移轉,03300012
RPVNMLOLJINFFAI68CA,中庄段,100.00,都市：住,1,1,全筆移轉,03890010
RPTNMLPKJINFFAI48CA,竹圍子段一小段,10.84,都市：住,10000,95,持分移轉,00030000
RPQNMLOLJINFFAI18CA,遠東段,81.00,都市：住,1,1,全筆移轉,00490075
RPSNMLOLJINFFAI38CA,玉川段,89.00,都市：住,1,1,全筆移轉,00100007
RPVNMLPKJINFFAI68CA,盧厝段,971.00,都市：農,1,1,全筆移轉,00720019
RPUOMLPKJINFFAI88EA,溪東段,95.37,都市：住,1,1,全筆移轉,03220000
RPUOMLPKJINFFAI88EA,溪東段,2.00,都市：住,9,1,持分移轉,03220006
RPUOMLPKJINFFAI88EA,溪東段,17.40,都市：住,9,1,持分移轉,03220007
RPUOMLPKJINFFAI88EA,溪東段,.13,都市：住,9,1,持分移轉,03220013
RPPNMLPKJINFFAI28EA,竹圍子段三小段,85.00,都市：住,1,1,全筆移轉,01890006
RPSNMLNJKINFFAI18CA,盧東段,29.31,都市：住,1,1,全筆移轉,04360047
RPOOMLRLJINFFAI38CA,民族段四小段,17.00,都市：住,1,1,全筆移轉,00180002
RPOOMLRLJINFFAI38CA,民族段四小段,40.00,都市：住,1,1,全筆移轉,00180013
RPOOMLRLJINFFAI38CA,民族段四小段,1.00,都市：住,1,1,全筆移轉,00180022
RPOOMLRLJINFFAI38CA,民族段四小段,1.00,都市：住,1,1,全筆移轉,00180023
RPSOMLSLJINFFAI88CA,白川段,34.83,都市：住,100000,707,持分移轉,00160007
RPSNMLQLJINFFAI58CA,盧厝段,41.69,都市：住,100000,178,持分移轉,03020000
RPRNMLLLJINFFAI97CA,遠東段,16.80,都市：住,10000,18,持分移轉,00680007
RPUNMLLLJINFFAI28CA,盧厝段,8.15,都市：住,10000,15,持分移轉,02600004
RPQQMLTKJINFFAI88CA,盧東段,11.94,都市：住,518400,2433,持分移轉,07960000
RPQQMLTKJINFFAI88CA,盧東段,106.90,都市：住,1,1,全筆移轉,08180005
RPPNMLTKJINFFAI48CA,湖子內段興安小段,279.73,都市：住,1,1,全筆移轉,00390000
RPWNMLTKJINFFAI56CA,湖子內段興安小段,199.59,都市：住,1,1,全筆移轉,01100000
RPPNMLQKJINFFAI18CA,竹圍子段,125.00,都市：住,1,1,全筆移轉,03570323
RPQNMLTKJINFFAI58CA,盧東段,128.79,都市：住,1,1,全筆移轉,03960000
RPQNMLTKJINFFAI58CA,盧東段,705.57,都市：住,1,1,全筆移轉,03970000
RPTNMLQKJINFFAI58CA,湖子內段興安小段,582.94,都市：住,1,1,全筆移轉,01510000
RPTNMLTKJINFFAI88CA,南門段二小段,3.59,都市：商,10000,211,持分移轉,00600000
RPRNMLMLJINFFAI08CA,車店段,4.05,都市：住,100000,900,持分移轉,00600000
RPRNMLMLJINFFAI08CA,白川段,42.09,都市：住,100000,900,持分移轉,00210000
RPXNMLTKJINFFAI66CA,竹圍子段,.14,都市：住,100000,2857,持分移轉,00160011
RPXNMLTKJINFFAI66CA,竹圍子段,37.05,都市：住,10000,279,持分移轉,00190004
RPWNMLMLJINFFAI58CA,竹圍子段二小段,6.23,都市：住,10000,15,持分移轉,01120000
RPTOMLQLJINFFAI78CA,玉川段,75.00,都市：住,1,1,全筆移轉,00580036
RPTOMLQLJINFFAI78CA,玉川段,5.33,都市：住,18,1,持分移轉,01040001
RPPOMLNJKINFFAI97CA,短竹段,4.76,都市：住,50000,40,持分移轉,09120071
RPOOMLSLJINFFAI48CA,港子坪段港坪小段,24.16,都市：住,10000,404,持分移轉,01310000
RPPOMLSLJINFFAI58CA,下路頭段,23.47,都市：住,73500,2347,持分移轉,02090010
RPQOMLSLJINFFAI68CA,車店段,35.54,都市：住,1000,33,持分移轉,03410032
RPTNMLMLJINFFAI48EA,車店段車店小段,6.98,都市：住,10000,178,持分移轉,10430000
RPPOMLKLJINFFAI97EA,遠東段,70.00,都市：商,1,1,全筆移轉,00310027
RPPOMLKLJINFFAI97EA,遠東段,16.00,都市：商,575,16,持分移轉,00310040
RPTNMLOLJINFFAI48CA,何庄段,696.61,都市：農,1,1,全筆移轉,06470003
RPTNMLOLJINFFAI48CA,何庄段,60.10,都市：農,213,60,持分移轉,06470022
RPUNMLOLJINFFAI58CA,何庄段,640.21,都市：農,1,1,全筆移轉,06470019
RPUNMLOLJINFFAI58CA,何庄段,55.10,都市：農,213,55,持分移轉,06470022
RPRNMLRLJINFFAI58CA,下路頭段,8.00,都市：住,1,1,全筆移轉,08360057
RPRNMLRLJINFFAI58CA,下路頭段,17.00,都市：住,1,1,全筆移轉,08370015
RPRNMLRLJINFFAI58CA,下路頭段,55.00,都市：住,1,1,全筆移轉,08370052
RPRNMLRLJINFFAI58CA,下路頭段,10.00,都市：住,1,1,全筆移轉,08370053
RPPNMLKMJINFFAI77CA,太平段,.61,都市：住,38,1,持分移轉,00440037
RPPNMLKMJINFFAI77CA,太平段,106.00,都市：住,1,1,全筆移轉,00450014
RPQOMLQLJINFFAI48CA,何庄段,.40,都市：農,10,1,持分移轉,04680004
RPQOMLQLJINFFAI48CA,何庄段,51.87,都市：農,1,1,全筆移轉,05640005
RPQOMLQLJINFFAI48CA,何庄段,30.22,都市：農,9,1,持分移轉,05640009
