編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPQMLTJJHOFFBJ98CB,坡道平面,1000000,24.82,
RPSQMLKKJHOFFBJ48CB,坡道平面,980000,24.82,
RPSQMLKKJHOFFBJ48CB,坡道平面,980000,24.82,
RPVQMLKKJHOFFBJ78CB,坡道平面,1030000,24.82,
RPTQMLKKJHOFFBJ58CB,坡道平面,980000,24.82,
RPTQMLKKJHOFFBJ58CB,坡道平面,980000,24.82,
RPUQMLKKJHOFFBJ68CB,坡道平面,1000000,24.82,
RPURMLKKJHOFFBJ78CB,坡道平面,830000,24.82,
RPVRMLKKJHOFFBJ88CB,坡道平面,930000,24.82,
RPTRMLKKJHOFFBJ68CB,坡道平面,1030000,24.82,
RPPRMLKKJHOFFBJ28CB,坡道平面,980000,24.82,
RPRRMLKKJHOFFBJ48CB,坡道平面,980000,24.82,
RPSRMLKKJHOFFBJ58CB,坡道平面,1030000,24.82,
RPORMLKKJHOFFBJ18CB,坡道平面,1030000,24.82,
RPWQMLKKJHOFFBJ88CB,坡道平面,930000,24.82,
RPXQMLKKJHOFFBJ98CB,坡道平面,1030000,24.82,
RPQRMLKKJHOFFBJ38CB,坡道平面,1280000,37.87,
RPXRMLKKJHOFFBJ09CB,坡道平面,930000,24.82,
RPOSMLKKJHOFFBJ28CB,坡道平面,930000,22.87,
RPPSMLKKJHOFFBJ38CB,坡道平面,930000,27.07,
RPQSMLKKJHOFFBJ48CB,坡道平面,980000,24.82,
RPUSMLKKJHOFFBJ88CB,坡道平面,1230000,29.80,
RPRSMLKKJHOFFBJ58CB,坡道平面,980000,24.82,
RPSSMLKKJHOFFBJ68CB,坡道平面,930000,22.87,
RPWRMLKKJHOFFBJ98CB,坡道平面,930000,22.87,
RPVSMLKKJHOFFBJ98CB,坡道平面,1030000,24.82,
RPTSMLKKJHOFFBJ78CB,坡道平面,980000,27.07,
RPWSMLKKJHOFFBJ09CB,坡道平面,1030000,24.82,
RPWSMLKKJHOFFBJ09CB,坡道平面,1030000,24.82,
RPOTMLKKJHOFFBJ38CB,坡道平面,880000,22.87,
RPPTMLKKJHOFFBJ48CB,坡道平面,930000,27.07,
RPXSMLKKJHOFFBJ56CB,坡道平面,930000,22.87,
RPRTMLKKJHOFFBJ68CB,坡道平面,980000,24.82,
RPQTMLKKJHOFFBJ58CB,坡道平面,930000,24.82,
RPPUMLKKJHOFFBJ58CB,坡道平面,1000000,24.82,
RPPUMLKKJHOFFBJ58CB,坡道平面,1300000,45.10,
RPWTMLKKJHOFFBJ56CB,坡道平面,1030000,24.82,
RPOUMLKKJHOFFBJ48CB,坡道平面,980000,24.82,
RPXTMLKKJHOFFBJ66CB,坡道平面,930000,24.82,
RPVTMLKKJHOFFBJ09CB,坡道平面,930000,24.82,
RPTTMLKKJHOFFBJ88CB,坡道平面,930000,24.82,
RPSTMLKKJHOFFBJ78CB,坡道平面,980000,24.82,
RPUTMLKKJHOFFBJ98CB,坡道平面,980000,24.82,
RPWUMLKKJHOFFBJ66CB,坡道平面,900000,24.82,
RPPVMLKKJHOFFBJ68CB,坡道平面,850000,22.87,
RPUUMLKKJHOFFBJ09CB,坡道平面,1030000,24.82,
RPVUMLKKJHOFFBJ56CB,坡道平面,980000,24.82,
RPXUMLKKJHOFFBJ76CB,坡道平面,900000,24.82,
RPTUMLKKJHOFFBJ98CB,坡道平面,950000,24.82,
RPOVMLKKJHOFFBJ58CB,坡道平面,930000,24.82,
RPRUMLKKJHOFFBJ78CB,坡道平面,980000,24.82,
RPSUMLKKJHOFFBJ88CB,坡道平面,880000,24.82,
RPQUMLKKJHOFFBJ68CB,坡道平面,1030000,24.82,
RPUVMLKKJHOFFBJ56CB,坡道平面,880000,24.82,
RPTVMLKKJHOFFBJ09CB,坡道平面,830000,24.82,
RPSVMLKKJHOFFBJ98CB,坡道平面,1330000,45.10,
RPXVMLKKJHOFFBJ86CB,坡道平面,900000,24.82,
RPVVMLKKJHOFFBJ66CB,坡道平面,980000,24.82,
RPQVMLKKJHOFFBJ78CB,坡道平面,980000,24.82,
RPWVMLKKJHOFFBJ76CB,坡道平面,1030000,24.82,
RPOWMLKKJHOFFBJ68CB,坡道平面,1130000,24.82,
RPRVMLKKJHOFFBJ88CB,坡道平面,880000,22.87,
RPQWMLKKJHOFFBJ88CB,坡道平面,1030000,24.82,
RPPWMLKKJHOFFBJ78CB,坡道平面,1080000,24.82,
RPTWMLKKJHOFFBJ56CB,坡道平面,980000,24.82,
RPUWMLKKJHOFFBJ66CB,坡道平面,930000,24.82,
RPSWMLKKJHOFFBJ09CB,坡道平面,1230000,29.80,
RPPNNLKKJHOFFBJ97CB,坡道平面,930000,24.82,
RPRWMLKKJHOFFBJ98CB,坡道平面,1030000,24.82,
RPVWMLKKJHOFFBJ76CB,坡道平面,880000,24.82,
RPWWMLKKJHOFFBJ86CB,坡道平面,980000,24.82,
RPXWMLKKJHOFFBJ96CB,坡道平面,980000,24.82,
RPRNNLKKJHOFFBJ18CB,坡道平面,980000,24.82,
RPONNLKKJHOFFBJ87CB,坡道平面,1030000,24.82,
RPSNNLKKJHOFFBJ28CB,坡道平面,930000,24.82,
RPQNNLKKJHOFFBJ08CB,坡道平面,980000,22.87,
RPUNNLKKJHOFFBJ48CB,坡道平面,930000,24.82,
RPVNNLKKJHOFFBJ58CB,坡道平面,1030000,24.82,
RPTNNLKKJHOFFBJ38CB,坡道平面,880000,22.87,
RPXNNLKKJHOFFBJ78CB,坡道平面,930000,24.82,
RPPONLKKJHOFFBJ08CB,坡道平面,980000,24.82,
RPXNNLKKJHOFFBJ78CB,坡道平面,930000,24.82,
RPWNNLKKJHOFFBJ68CB,坡道平面,880000,24.82,
RPOONLKKJHOFFBJ97CB,坡道平面,880000,24.82,
RPQONLKKJHOFFBJ18CB,坡道平面,930000,24.82,
RPTONLKKJHOFFBJ48CB,坡道平面,980000,24.82,
RPRONLKKJHOFFBJ28CB,坡道平面,1030000,24.82,
RPSONLKKJHOFFBJ38CB,坡道平面,930000,24.82,
RPTPNLKKJHOFFBJ58CB,坡道平面,930000,24.82,
RPPPNLKKJHOFFBJ18CB,坡道平面,1030000,24.82,
RPPPNLKKJHOFFBJ18CB,坡道平面,980000,24.82,
RPRPNLKKJHOFFBJ38CB,坡道平面,980000,24.82,
RPQPNLKKJHOFFBJ28CB,坡道平面,980000,24.82,
RPSPNLKKJHOFFBJ48CB,坡道平面,930000,24.82,
RPWONLKKJHOFFBJ78CB,坡道平面,930000,22.87,
RPUONLKKJHOFFBJ58CB,坡道平面,930000,22.87,
RPOPNLKKJHOFFBJ08CB,坡道平面,1300000,45.10,
RPVONLKKJHOFFBJ68CB,坡道平面,980000,24.82,
RPXONLKKJHOFFBJ88CB,坡道平面,880000,22.87,
RPWPNLKKJHOFFBJ88CB,坡道平面,1030000,24.82,
RPXPNLKKJHOFFBJ98CB,坡道平面,930000,22.87,
RPUPNLKKJHOFFBJ68CB,坡道平面,980000,27.07,
RPVPNLKKJHOFFBJ78CB,坡道平面,880000,22.87,
RPPQNLKKJHOFFBJ28CB,坡道平面,880000,22.87,
RPRQNLKKJHOFFBJ48CB,坡道平面,880000,24.82,
