鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新竹市,建物,新竹市新竹市科學園區工業東七路5號,0.0,其他,,,1071012,土地0建物0車位0,五層,5,廠辦,見其他登記事項,鋼筋混凝土造,1011210,3656.15,0,0,0,無,有,無,1101410,301,,0.0,0,,RPRNMLMKJINFFAO78CC
新竹市,建物,新竹市新竹市金山七街六巷10號6樓,0.0,住,,,1071024,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061120,67.07,2,2,2,有,無,有,29440,439,,0.0,0,租金二代健保補充保費和租賃所得稅,RPXNMLMKJINFFAO76CC
新竹市,建物,新竹市新竹市中華路二段３１２巷９號,0.0,商,,,1071023,土地0建物0車位0,三層,3,套房(1房1廳1衛),見其他登記事項,見其他登記事項,,22.77,1,0,1,有,無,有,6000,264,,0.0,0,,RPOOMLMKJINFFAO58CC
新竹市,房地(土地+建物)+車位,新竹市新竹市明湖路729號三樓,13.27,其他,,,1071103,土地1建物1車位1,三層,4,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940220,76.03999999999999,1,1,1,有,有,有,12500,164,坡道平面,0.0,0,含管理費、稅金或水電等費用。；水費、電費租客自付,RPPPMLOKJINFFAO09DC
新竹市,建物,新竹市新竹市關新路２９號１２樓之１６,0.0,其他,,,1071101,土地0建物1車位1,十二層,13,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0970911,60.29,1,1,1,有,有,有,16000,265,坡道平面,0.0,0,1租金含管理費。2車位面積無法分算。,RPRPMLPKJINFFAO66CC
新竹市,建物,新竹市新竹市光華街72巷79號,0.0,住,,,1071026,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0720606,228.9,5,3,2,有,無,無,25000,109,,0.0,0,,RPRQMLQKJINFFAO86CC
新竹市,建物,新竹市新竹市光復路一段２６８巷１２號２樓之１,0.0,商,,,1071110,土地0建物1車位0,二層,16,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0850214,122.99000000000001,3,2,2,有,有,有,16000,130,,0.0,0,,RPRSMLQKJINFFAO07CC
新竹市,建物,新竹市新竹市西大路709巷11號11樓之3,0.0,住,,,1071021,土地0建物1車位0,十一層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0810129,45.959999999999994,1,0,1,有,有,有,10000,218,,0.0,0,租金含管理費850元,RPQNMLKLJINFFAO58CC
新竹市,建物,新竹市新竹市慈雲路139號22樓之3,0.0,商,,,1071113,土地0建物1車位1,二十二層,28,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,159.8,3,2,2,有,有,無,25000,156,坡道平面,0.0,0,含管理費、稅金或水電等費用。；,RPTPMLKLJINFFAO09CC
新竹市,建物,新竹市新竹市經國路二段187號2樓之3,0.0,商,,,1071101,土地0建物1車位0,二層,11,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0971108,108.49000000000001,1,1,1,有,有,有,19250,177,,0.0,0,租賃範圍不含車位，且無法區分車位面積。；含管理費、稅金或水電等費用。；,RPTPMLLLJINFFAO56CC
新竹市,建物,新竹市新竹市三民路87號23樓之2,0.0,住,,,1071101,土地0建物1車位0,二十三層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970720,216.7,4,2,2,有,有,有,55000,254,,0.0,0,租賃範圍不含車位，且無法區分車位面積。；含管理費、稅金或水電等費用。；,RPQNMLMLJINFFAO78CC
新竹市,建物,新竹市新竹市中華路二段508號8樓之4,0.0,商,,,1071031,土地0建物1車位0,八層,11,套房(1房1廳1衛),商業用,鋼筋混凝土造,0851105,28.340000000000003,1,1,1,有,有,有,5500,194,,0.0,0,,RPQOMLPLJINFFAO56CC
新竹市,建物,新竹市新竹市民生路10巷25號六樓之10,0.0,住,,,1071031,土地0建物1車位0,六層,8,套房(1房1廳1衛),辦公室,鋼筋混凝土造,0961001,33.14,1,1,1,有,有,有,12000,362,,0.0,0,,RPROMLPLJINFFAO66CC
新竹市,建物,新竹市新竹市公園路２８６號,0.0,其他,,,1071029,土地0建物1車位1,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,0891026,161.28,0,1,1,有,有,有,34056,211,坡道平面,0.0,0,,RPUPMLRLJINFFAO27CC
新竹市,建物,新竹市新竹市民生路50號,0.0,住,,,1071115,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850327,86.5,4,0,4,有,無,有,28000,324,,0.0,0,3樓1間，4樓2間，5樓1間,RPPNMLSLJINFFAO66CC
新竹市,房地(土地+建物),新竹市新竹市新竹市鐵道路一段28巷50號13樓,19.64,其他,,,1071031,土地1建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000718,128.78,3,2,2,有,有,有,36500,283,,0.0,0,,RPWNMLTLJINFFAO47CC
新竹市,房地(土地+建物),新竹市新竹市新竹市北大路8號8樓之1,4.64,商,,,1071031,土地1建物1車位0,八層,28,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,0960703,123.35,3,2,2,有,有,有,35000,284,,0.0,0,,RPOOMLTLJINFFAO76CC
新竹市,建物,新竹市新竹市中華路四段490號,0.0,其他,,,1071031,土地0建物0車位0,一層,2,店面(店鋪),,加強磚造,0700430,72.0,0,0,0,無,無,無,22000,306,,0.0,0,承租一層部分,RPXQMLKMJINFFAO07CC
新竹市,建物,新竹市新竹市中華路二段170巷56號二樓之7,0.0,住,,,1071103,土地0建物1車位0,二層,6,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0951115,26.97,1,0,1,有,有,有,6000,222,,0.0,0,租金含管理費500元,RPVNMLMJKINFFAO56CC
