編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLNLJINFFCT86CC,23,40.62,住商用,鋼筋混凝土造,84年5月24日,四層,
RPUNMLLLKINFFAT17DC,43,219.42,住商用,鋼筋混凝土加強磚造,65年3月23日,二層,
RPOOMLQLKINFFAT17DC,24,82.66,住家用,鋼筋混凝土造,83年10月6日,七層,
RPOOMLQLKINFFAT17DC,24,34.27,防空避難室及停車空間,鋼筋混凝土造,83年10月6日,七層,
RPOPMLSLKINFFAT47DC,37,93.48,集合住宅,鋼筋混凝土造,70年12月31日,五層,
RPOPMLSLKINFFAT47DC,37,93.48,集合住宅,鋼筋混凝土造,70年12月31日,五層,
RPSNMLPKJINFFAT17DC,20,35.26,住家用,鋼筋混凝土造,87年5月19日,五層,
RPROMLSKKINFFAT57DC,28,82.00,住家用,鋼筋混凝土造,79年7月22日,四層,
RPVNMLNJJHOFFCT27CC,29,212.48,住商用,鋼筋混凝土造,79年6月10日,四層,
RPQOMLTLJINFFAT47CC,3,127.60,集合住宅,鋼筋混凝土造,104年6月17日,十五層,
RPQOMLTLJINFFAT47CC,3,66.50,防空避難室兼停車空間、梯間、梯廳、管委會使用空間、機械室、樓梯間,鋼筋混凝土造,104年6月17日,十五層,
RPOOMLPJKINFFAT76CC,14,66.73,防空避難室、停車空間、活動中心、管理中心、警衛室、門廳、通廊,鋼筋混凝土造,93年9月9日,十四層,
RPOOMLPJKINFFAT76CC,14,114.28,集合住宅,鋼筋混凝土造,93年9月9日,十四層,
RPWNMLPLJHOFFAT57CC,40,126.40,住商用,加強磚造,67年9月16日,二層,
RPSNMLMJJHOFFAT66CC,25,117.15,住商用,鋼筋混凝土造,83年4月13日,三層,
RPQOMLTKJHOFFAT37CC,23,236.73,住商用,鋼筋混凝土造,84年10月20日,五層,
RPPNMLMJJHOFFAT98CC,23,81.89,住家用,鋼筋混凝土造,85年3月15日,七層,
RPPNMLMJJHOFFAT98CC,23,35.85,停車空間．防空避難梯間,鋼筋混凝土造,85年3月15日,七層,
RPSOMLTLJINFFAT67CC,43,185.50,住家用,加強磚造,64年7月7日,二層,
RPSOMLTLJINFFAT67CC,43,10.60,住家用,加強磚造,64年7月7日,二層,
