編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLNKJINFFAX86CA,中衛段,508.68,非都市： ; 非都市編定：,1,1,全筆移轉,04490003
RPPNMLNKJINFFAX96EA,烏崁新段,86.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09720005
RPRNMLOKJINFFAX07CA,五福段,112.24,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,14090000
RPRNMLOKJINFFAX07CA,五福段,33.95,非都市：一般農業區 ; 非都市編定：交通用地,14,1,持分移轉,14190000
RPQNMLOKJINFFAX96CA,紅羅段,213.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,06930000
RPUNMLOKJINFFAX37CA,大池段,718.03,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08310000
RPSNMLKMJINFFAX96CA,橫礁新段,70.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,06730000
RPSNMLKMJINFFAX96CA,橫礁新段,57.98,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,06740000
RPQNMLQKJINFFAX17CA,山水西段,76.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00180000
RPPNMLOKJINFFAX86CA,尖山北段,1688.04,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03490000
RPRNMLQKJINFFAX27CA,內垵三段,478.78,非都市：一般農業區 ; 非都市編定：農牧用地,8,5,持分移轉,06670000
RPSNMLTKJINFFAX67CA,尖山中段,1740.54,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13250000
RPPNMLLLJINFFAX66CA,龍門南段,111.55,非都市：一般農業區 ; 非都市編定：農牧用地,10,1,持分移轉,04170000
RPQNMLLLJINFFAX76CA,龍門南段,133.81,非都市：一般農業區 ; 非都市編定：農牧用地,10,1,持分移轉,04200000
RPPNMLQKJINFFAX17DA,赤崁北段,63.06,非都市：鄉村區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01080000
RPRNMLLLJINFFAX86CA,城北段,1321.52,非都市：一般農業區 ; 非都市編定：農牧用地,10000,4380,持分移轉,09760000
RPQNMLPKJINFFAX07CA,城北段,279.51,非都市：一般農業區 ; 非都市編定：農牧用地,1000,593,持分移轉,09090000
RPQNMLPKJINFFAX07CA,城北段,191.84,非都市：一般農業區 ; 非都市編定：農牧用地,1000,407,持分移轉,09090000
RPQNMLPKJINFFAX07CA,城北段,6.09,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,09090003
RPTNMLKMJINFFAX07CA,文光段,98.93,非都市： ; 非都市編定：,5,1,持分移轉,02020000
RPQNMLRLJINFFAX37CA,竹灣段,815.09,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,07910000
RPSNMLSLJINFFAX67CA,雙湖段,238.43,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08280000
RPTNMLLKKINFFAX07CA,許家段,223.70,非都市：一般農業區 ; 非都市編定：農牧用地,10000,779,持分移轉,11650000
RPTNMLLKKINFFAX07CA,許家段,223.70,非都市：一般農業區 ; 非都市編定：農牧用地,10000,779,持分移轉,11650000
RPTNMLLKKINFFAX07CA,許家段,223.70,非都市：一般農業區 ; 非都市編定：農牧用地,10000,779,持分移轉,11650000
RPTNMLLKKINFFAX07CA,許家段,223.70,非都市：一般農業區 ; 非都市編定：農牧用地,10000,779,持分移轉,11650000
RPTNMLLKKINFFAX07CA,許家段,290.61,非都市：一般農業區 ; 非都市編定：農牧用地,10000,1012,持分移轉,11650000
RPTNMLLKKINFFAX07CA,許家段,263.33,非都市：一般農業區 ; 非都市編定：農牧用地,10000,917,持分移轉,11650000
RPTNMLLKKINFFAX07CA,許家段,229.44,非都市：一般農業區 ; 非都市編定：農牧用地,10000,799,持分移轉,11650000
RPTNMLLKKINFFAX07CA,許家段,204.17,非都市：一般農業區 ; 非都市編定：農牧用地,10000,711,持分移轉,11650000
RPTNMLLKKINFFAX07CA,許家段,258.16,非都市：一般農業區 ; 非都市編定：農牧用地,10000,899,持分移轉,11650000
RPTNMLLKKINFFAX07CA,許家段,283.43,非都市：一般農業區 ; 非都市編定：農牧用地,10000,987,持分移轉,11650000
RPTNMLLKKINFFAX07CA,許家段,223.99,非都市：一般農業區 ; 非都市編定：農牧用地,10000,780,持分移轉,11650000
RPTNMLLKKINFFAX07CA,許家段,223.70,非都市：一般農業區 ; 非都市編定：農牧用地,10000,779,持分移轉,11650000
RPQNMLTJKINFFAX47CA,文石段,188.19,非都市：一般農業區 ; 非都市編定：農牧用地,1000,230,持分移轉,14890000
RPQNMLTJKINFFAX47CA,文石段,187.37,非都市：一般農業區 ; 非都市編定：農牧用地,1000,229,持分移轉,14890000
RPQNMLTJKINFFAX47CA,文石段,189.01,非都市：一般農業區 ; 非都市編定：農牧用地,1000,231,持分移轉,14890000
RPQNMLTJKINFFAX47CA,文石段,253.65,非都市：一般農業區 ; 非都市編定：農牧用地,1000,310,持分移轉,14890000
RPPNMLQLJINFFAX17CA,案山段,297.78,非都市： ; 非都市編定：,5,2,持分移轉,00140000
RPPNMLQLJINFFAX17CA,案山段,47.01,非都市： ; 非都市編定：,5,2,持分移轉,00160000
RPPNMLQLJINFFAX17CA,案山段,33.82,非都市： ; 非都市編定：,5,2,持分移轉,00700000
RPSNMLQLJINFFAX47CA,東澳段,2.49,非都市： ; 非都市編定：,10,1,持分移轉,11340000
RPSNMLQLJINFFAX47CA,東澳段,36.82,非都市： ; 非都市編定：,10,1,持分移轉,11440000
RPRNMLQLJINFFAX37CA,尖山中段,56.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08900000
RPSNMLQLJINFFAX47CA,東澳段,1.55,非都市： ; 非都市編定：,10,1,持分移轉,11460000
RPRNMLQLJINFFAX37CA,尖山中段,299.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08780000
RPPNMLNJKINFFAX76CA,鐵線段,206.25,非都市：一般農業區 ; 非都市編定：農牧用地,10000,2469,持分移轉,03490000
RPPNMLNJKINFFAX76CA,鐵線段,206.33,非都市：一般農業區 ; 非都市編定：農牧用地,10000,2470,持分移轉,03490000
RPPNMLNJKINFFAX76CA,鐵線段,211.26,非都市：一般農業區 ; 非都市編定：農牧用地,10000,2529,持分移轉,03490000
RPPNMLNJKINFFAX76CA,鐵線段,211.51,非都市：一般農業區 ; 非都市編定：農牧用地,10000,2532,持分移轉,03490000
RPQNMLQLJINFFAX27CA,虎井段,81.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,13320001
RPRNMLRLJINFFAX47CA,四維段,33.14,非都市： ; 非都市編定：,16,1,持分移轉,11830000
RPSNMLRLJINFFAX67DA,龍門南段,616.01,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04010000
RPSNMLRLJINFFAX67DA,龍門南段,829.13,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,10390000
RPSNMLRLJINFFAX67DA,龍門北段,1338.15,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11310000
RPTNMLRLJINFFAX77DA,鼎灣新段,433.91,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02850000
RPPNMLSLJINFFAX47DA,五德西段,732.84,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07770000
RPOOMLTJNHOFFAX67CA,春暉段,68.73,非都市： ; 非都市編定：,1,1,全筆移轉,04790000
RPTNMLNLJINFFAX27CA,北澳段,54.85,非都市：一般農業區 ; 非都市編定：甲種建築用地,3,2,持分移轉,00840000
RPRNMLNLJINFFAX07CA,五福段,23.17,非都市：一般農業區 ; 非都市編定：交通用地,11,1,持分移轉,13450000
RPRNMLNLJINFFAX07CA,五福段,88.06,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,13500000
RPQNMLNLJINFFAX96CA,五福段,323.04,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05110000
RPQNMLMKKINFFAX86CA,成功南段,219.82,非都市：一般農業區 ; 非都市編定：農牧用地,10,1,持分移轉,08580000
RPQNMLMKKINFFAX86CA,成功南段,219.82,非都市：一般農業區 ; 非都市編定：農牧用地,10,1,持分移轉,08580000
RPQNMLMKKINFFAX86CA,成功南段,219.82,非都市：一般農業區 ; 非都市編定：農牧用地,10,1,持分移轉,08580000
RPQNMLMKKINFFAX86CA,成功南段,219.82,非都市：一般農業區 ; 非都市編定：農牧用地,10,1,持分移轉,08580000
RPQNMLMKKINFFAX86CA,成功南段,219.82,非都市：一般農業區 ; 非都市編定：農牧用地,10,1,持分移轉,08580000
RPQNMLMKKINFFAX86CA,成功南段,219.82,非都市：一般農業區 ; 非都市編定：農牧用地,10,1,持分移轉,08580000
RPQNMLMKKINFFAX86CA,成功南段,219.82,非都市：一般農業區 ; 非都市編定：農牧用地,10,1,持分移轉,08580000
RPQNMLMKKINFFAX86CA,成功南段,219.82,非都市：一般農業區 ; 非都市編定：農牧用地,10,1,持分移轉,08580000
RPPNMLNLJINFFAX86CA,山水北段,64.65,非都市： ; 非都市編定：,1,1,全筆移轉,03260000
RPPNMLNLJINFFAX86CA,山水北段,91.98,非都市： ; 非都市編定：,1,1,全筆移轉,03270000
RPPNMLNLJINFFAX86CA,山水北段,26.41,非都市： ; 非都市編定：,1,1,全筆移轉,03460000
RPPNMLNLJINFFAX86CA,山水北段,75.38,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,03510000
RPRNMLRKKINFFAX47CA,城北段,233.20,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05740000
RPRNMLRKKINFFAX47CA,城北段,466.03,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08080000
RPUNMLNLJINFFAX37CA,湖東新段,5.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,96,5,持分移轉,01760000
RPUNMLNLJINFFAX37CA,湖東新段,11.70,非都市：鄉村區 ; 非都市編定：乙種建築用地,96,5,持分移轉,01770000
RPUNMLNLJINFFAX37CA,湖東新段,113.97,非都市：一般農業區 ; 非都市編定：農牧用地,96,5,持分移轉,01960000
RPUNMLNLJINFFAX37CA,湖東新段,31.32,非都市：一般農業區 ; 非都市編定：農牧用地,96,5,持分移轉,05520000
RPUNMLNLJINFFAX37CA,湖東新段,32.21,非都市：一般農業區 ; 非都市編定：農牧用地,96,5,持分移轉,06170000
RPUNMLNLJINFFAX37CA,湖東新段,24.64,非都市：一般農業區 ; 非都市編定：農牧用地,96,5,持分移轉,06260000
RPUNMLNLJINFFAX37CA,湖東新段,23.85,非都市：一般農業區 ; 非都市編定：農牧用地,96,5,持分移轉,06330000
RPUNMLNLJINFFAX37CA,湖東新段,15.16,非都市：一般農業區 ; 非都市編定：農牧用地,96,5,持分移轉,06460000
RPUNMLNLJINFFAX37CA,湖東新段,6.77,非都市：一般農業區 ; 非都市編定：農牧用地,96,5,持分移轉,06790000
RPUNMLNLJINFFAX37CA,湖東新段,9.52,非都市：一般農業區 ; 非都市編定：農牧用地,96,5,持分移轉,06990000
RPUNMLNLJINFFAX37CA,湖東新段,13.15,非都市：一般農業區 ; 非都市編定：農牧用地,96,5,持分移轉,07650000
RPUNMLNLJINFFAX37CA,湖東新段,26.77,非都市：一般農業區 ; 非都市編定：農牧用地,96,5,持分移轉,08950000
RPUNMLNLJINFFAX37CA,湖東新段,16.67,非都市：一般農業區 ; 非都市編定：農牧用地,96,5,持分移轉,09020000
RPUNMLNLJINFFAX37CA,湖東新段,12.21,非都市：一般農業區 ; 非都市編定：農牧用地,96,5,持分移轉,14320000
RPUNMLNLJINFFAX37CA,湖東新段,190.00,非都市：一般農業區 ; 非都市編定：農牧用地,96,5,持分移轉,14830000
RPSNMLNLJINFFAX17CA,中衛段,90.75,非都市： ; 非都市編定：,3,1,持分移轉,13450000
RPSNMLNLJINFFAX17CA,中衛段,13.85,非都市： ; 非都市編定：,3,1,持分移轉,13450001
RPSNMLNLJINFFAX17CA,中衛段,27.89,非都市： ; 非都市編定：,3,1,持分移轉,13460000
RPSNMLNLJINFFAX17CA,中衛段,7.10,非都市： ; 非都市編定：,3,1,持分移轉,13460001
RPSNMLNLJINFFAX17CA,中衛段,405.27,非都市： ; 非都市編定：,3,1,持分移轉,13470000
RPROMLOKKINFFAX27CA,鼎灣新段,62.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,10,1,持分移轉,01660000
RPROMLOKKINFFAX27CA,鼎灣新段,142.61,非都市：一般農業區 ; 非都市編定：農牧用地,10,1,持分移轉,02620000
RPROMLOKKINFFAX27CA,鼎灣新段,12.63,非都市：鄉村區 ; 非都市編定：乙種建築用地,10,1,持分移轉,03720000
RPROMLOKKINFFAX27CA,鼎灣新段,28.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,10,1,持分移轉,03850000
