編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLKKINFFAZ96DA,福沃段,3.99,都市：其他:公園/機關用地,10000,121,持分移轉,05140000
RPPNMLNKKINFFAZ17DA,?里段,53.39,都市：其他:保護區,4,1,持分移轉,07690000
RPPNMLNKKINFFAZ17DA,?里段,15.55,都市：其他:保護區,4,1,持分移轉,07690001
RPPNMLPLKINFFAZ47DA,塘岐段,357.76,都市：住,1,1,全筆移轉,02020000
RPPNMLPLKINFFAZ47DA,塘岐段,429.45,都市：其他:保護區,1,1,全筆移轉,02020001
RPPNMLKMJINFFAZ96DA,介壽段,64.09,都市：住,6,1,持分移轉,01420000
RPPNMLSLJHOFFAZ67DA,介壽段,53.92,都市：農,1,1,全筆移轉,08900000
RPPNMLSLJHOFFAZ67DA,介壽段,144.30,都市：農,1,1,全筆移轉,08860001
RPQNMLTJJHOFFAZ67DA,塘岐段,27.63,都市：住,1,1,全筆移轉,05020000
RPPNMLOKJHOFFAZ17DA,介壽段,14.54,都市：商,16,2,持分移轉,06840000
RPPNMLKMJHOFFAZ96DA,?里段,53.39,都市：其他:保護區,4,1,持分移轉,07690000
RPPNMLKMJHOFFAZ96DA,?里段,15.55,都市：其他:保護區,4,1,持分移轉,07690001
RPPNMLTJJHOFFAZ57DA,塘岐段,23.30,都市：其他:機關用地,1,1,全筆移轉,08190000
RPPNMLTJJHOFFAZ57DA,塘岐段,9.40,都市：住,1,1,全筆移轉,08190001
