編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLOKNHOFFBC87CA,坡道平面,550000,40.41,
RPQNMLPKNHOFFBC08CA,坡道平面,0,24.17,
RPSNMLQKNHOFFCC48CA,坡道平面,0,,
RPRNMLRKNHOFFBC38CA,坡道平面,800000,34.17,
RPPNMLTLNHOFFBC48CA,坡道平面,0,29.77,
RPQOMLKMNHOFFCC97CA,坡道平面,1200000,30.04,
RPTNMLQJOHOFFBC48CA,坡道平面,1000000,35.96,
RPQPMLNLNHOFFCC28CA,坡道平面,0,,
RPUNMLRLNHOFFCC88CA,坡道機械,0,,
RPUPMLNJOHOFFCC58CA,坡道平面,0,,
RPPOMLQJOHOFFBC18CA,坡道平面,1200000,35.96,
RPOOMLQJOHOFFBC08CA,坡道平面,1050000,35.96,
RPQOMLQJOHOFFBC28CA,坡道平面,1200000,35.96,
RPUNMLQJOHOFFBC58CA,坡道平面,1200000,35.96,
RPWNMLQJOHOFFBC78CA,坡道平面,1050000,35.96,
RPVNMLQJOHOFFBC68CA,坡道平面,1050000,35.96,
RPXNMLQJOHOFFBC88CA,坡道平面,1200000,35.96,
RPTOMLQJOHOFFBC58CA,坡道平面,1150000,31.21,
RPSOMLQJOHOFFBC48CA,坡道平面,1150000,31.21,
RPUOMLQJOHOFFBC68CA,坡道平面,950000,31.21,
RPXOMLQJOHOFFBC98CA,坡道平面,1000000,35.96,
RPQNMLRKNHOFFBC28CA,坡道平面,0,34.47,
RPUNMLKKOHOFFBC08CA,坡道平面,950000,31.21,
RPSNMLKKOHOFFBC87CA,坡道平面,1150000,31.21,
RPVNMLRKNHOFFCC88CA,坡道平面,0,31.42,
RPTNMLOLNHOFFBC38CA,坡道平面,0,,
RPVNMLKMNHOFFCC38CA,坡道平面,0,,
RPQNMLRLNHOFFCC48CA,坡道平面,1200000,33.36,
RPRNMLRLNHOFFCC58CA,坡道平面,1200000,33.36,
RPSNMLRLNHOFFCC68CA,坡道平面,1650000,32.55,
RPPPMLQJOHOFFBC28CA,坡道平面,1050000,35.96,
RPQNMLNLNHOFFCC08CA,坡道平面,1200000,33.36,
RPQPMLQJOHOFFBC38CA,坡道平面,1050000,35.96,
RPQNMLLLNHOFFCC87CA,坡道平面,1000000,13.47,
RPXNMLNLNHOFFCC78CA,坡道平面,1200000,33.36,
RPUNMLNLNHOFFCC48CA,坡道平面,1200000,33.36,
