編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLMKNHOFFEF58CC,淡海段,21.03,都市：住,,,,00530000
RPPNMLLKNHOFFCF18CC,大豐段,.00,都市：住,,,,00460000
RPVNMLLKNHOFFHF66CC,中原段,.00,都市：工,,,,05230000
RPRNMLNKNHOFFCF58CC,香坡段,48.66,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,05440000
RPOPMLNKNHOFFCF48CC,香坡段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,00110000
RPPNMLMKNHOFFDF38CC,智興段,.00,都市：商,,,,04710000
RPPNMLMKNHOFFDF38CC,智興段,.00,都市：住,,,,04760000
RPSNMLNKNHOFFCF68CC,玫瑰段,.00,都市：其他:已開發建築密集地區,,,,11440000
RPTPMLNKNHOFFAF78CC,中山段,.00,都市：住,,,,13250000
RPSNMLNKNHOFFCF68CC,玫瑰段,.00,都市：其他:已開發建築密集地區,,,,11450000
RPPNMLMKNHOFFEF48CC,公司田段,12.97,都市：住,,,,00270001
RPVNMLNKNHOFFDF09CC,福興段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,22660000
RPVPMLNKNHOFFAF98CC,廷寮段,.00,都市：住,,,,02460000
RPORMLNKNHOFFBF58CC,建林段,14.08,都市：住,,,,02940000
RPQRMLNKNHOFFBF78CC,建林段,.00,都市：住,,,,11180000
RPUPMLNKNHOFFAF88CC,新雅段,.00,都市：住,,,,10740000
RPQOMLNKNHOFFEF78CC,新興段,.00,都市：住,,,,07430000
RPORMLNKNHOFFEF88CC,海天段,14.78,都市：住,,,,01810000
RPQRMLNKNHOFFEF09CC,海天段,6.15,都市：住,,,,01900000
RPVQMLNKNHOFFHF17CC,保生段,.00,都市：住,,,,05200000
RPTNMLNKNHOFFGF56CC,仁愛段,.00,都市：工,,,,24200000
RPTNMLNKNHOFFGF56CC,仁愛段,.00,都市：住,,,,24200001
RPQOMLNKNHOFFGF98CC,保和段,.00,都市：住,,,,00270000
RPPQMLNKNHOFFGF09CC,忠孝段,.00,都市：住,,,,08240000
