編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLMKNHOFFEF58CC,坡道平面,0,36.85,
RPVNMLLKNHOFFHF66CC,坡道平面,0,,
RPORMLNKNHOFFBF58CC,坡道平面,0,,
RPQRMLNKNHOFFBF78CC,坡道平面,0,20.74,
RPUPMLNKNHOFFAF88CC,坡道平面,0,28.06,
RPORMLNKNHOFFEF88CC,坡道平面,0,33.43,
RPQOMLNKNHOFFGF98CC,升降平面,0,,
RPURMLNKNHOFFBF56CC,坡道平面,0,30.97,
RPSRMLNKNHOFFBF98CC,坡道平面,0,30.36,
RPOOMLOKNHOFFBF38CC,坡道平面,0,21.52,
RPSNMLOKNHOFFEF98CC,坡道平面,0,16.88,
RPSQMLPKNHOFFBF09CC,坡道平面,0,21.63,
RPTNMLOKNHOFFDF98CC,坡道平面,0,37.10,
RPXNMLPKNHOFFHF27CC,塔式車位,0,,
RPPRMLPKNHOFFIF96CC,坡道機械,0,,
RPORMLQKNHOFFBF88CC,坡道平面,3500,41.36,
RPPNMLQKNHOFFDF78CC,坡道平面,0,37.09,
RPSNMLQKNHOFFDF09CC,坡道機械,0,,
RPQTMLPKNHOFFHF17CC,升降機械,0,10.65,
RPSTMLPKNHOFFHF37CC,坡道平面,0,37.15,
RPRPMLQKNHOFFEF66CC,坡道平面,0,28.11,
RPPVMLRKNHOFFEF17CC,坡道平面,0,24.24,
RPXRMLRKNHOFFEF57CC,坡道平面,0,32.83,
RPUQMLRKNHOFFHF47CC,坡道機械,0,,
RPQNMLSKNHOFFEF56CC,坡道機械,0,26.19,
RPPNMLSKNHOFFEF09CC,坡道平面,0,28.18,
RPUWMLRKNHOFFEF77CC,坡道平面,0,26.54,
RPRNMLSKNHOFFBF98CC,坡道平面,0,15.85,
RPPNMLSKNHOFFBF78CC,坡道機械,0,,
RPPNMLTKNHOFFEF56CC,坡道平面,0,33.30,
RPWNMLKLNHOFFDF98CC,坡道平面,0,39.45,
RPVPMLLLNHOFFCF09CC,坡道平面,0,,
RPTNMLLLNHOFFEF88CC,坡道平面,0,,
RPSOMLLLNHOFFEF88CC,坡道平面,0,34.31,
RPQPMLMLNHOFFAF68EC,坡道平面,0,24.71,
RPSOMLLLNHOFFBF58CC,坡道平面,0,,
RPTNMLSKNHOFFBF56CC,坡道平面,0,,
RPOOMLMLNHOFFEF58CC,坡道平面,0,5.72,
RPPRMLMLNHOFFEF98CC,坡道平面,0,26.26,
RPQRMLMLNHOFFEF09CC,坡道平面,0,30.05,
RPSNMLNLNHOFFDF88CC,坡道平面,0,37.10,
RPXNMLNLNHOFFCF66CC,坡道機械,0,26.50,
RPPPMLNLNHOFFBF58CC,坡道平面,0,,
RPXOMLNLNHOFFBF66CC,坡道平面,0,28.26,
RPPPMLNLNHOFFEF88CC,坡道平面,0,1.54,
RPWQMLNLNHOFFEF07CC,坡道平面,0,30.47,
RPUOMLNLNHOFFIF07CC,坡道平面,0,36.82,
RPTOMLOLNHOFFIF07CC,坡道平面,0,40.86,
RPOPMLOLNHOFFIF66CC,坡道平面,0,32.81,
RPXOMLOLNHOFFEF07CC,坡道平面,0,30.58,
RPVQMLOLNHOFFEF07CC,坡道平面,0,30.84,
RPVQMLNLNHOFFEF96CC,坡道機械,0,15.23,
RPSQMLNLNHOFFEF66CC,坡道平面,0,30.47,
RPVNMLOLNHOFFDF66CC,坡道平面,0,40.17,
RPQQMLNLNHOFFBF78CC,坡道平面,0,,
RPROMLOLNHOFFDF98CC,坡道平面,3000,36.28,
RPPNMLQLNHOFFBF68CC,坡道平面,0,26.94,
RPWNMLRLNHOFFEF17CC,坡道平面,0,30.46,
RPQNMLRLNHOFFDF09CC,坡道平面,4000,37.10,
RPPOMLRLNHOFFCF98CC,塔式車位,0,4.92,
RPSQMLRLNHOFFBF76CC,坡道機械,0,6.20,
RPOTMLSLNHOFFBF76CC,坡道平面,0,12.90,
RPSQMLSLNHOFFBF86CC,坡道平面,0,31.29,
RPXPMLSLNHOFFHF87CC,坡道平面,0,41.64,
RPTOMLSLNHOFFHF37CC,坡道平面,0,40.48,
RPPOMLSLNHOFFEF66CC,坡道平面,0,33.53,
RPSPMLTLNHOFFCF96CC,坡道平面,0,,
RPSPMLTLNHOFFCF96CC,坡道平面,0,,
RPXNMLTLNHOFFBF17CC,坡道平面,0,26.94,
RPTSMLTLNHOFFBF27CC,坡道平面,2500,26.81,
RPOQMLSLNHOFFEF76CC,坡道平面,0,23.51,
RPSOMLSLNHOFFEF96CC,坡道平面,8888,26.54,
RPWRMLTLNHOFFEF77CC,坡道平面,0,23.51,
RPUUMLTLNHOFFEF87CC,坡道平面,0,15.42,
RPWOMLTLNHOFFEF47CC,坡道機械,0,15.23,
RPPOMLLMNHOFFEF68CC,坡道平面,0,30.84,
RPSOMLLMNHOFFEF98CC,坡道平面,0,30.84,
RPUQMLLMNHOFFGF96CC,坡道平面,0,26.99,
RPUOMLLMNHOFFHF86CC,坡道機械,0,,
RPRRMLLMNHOFFGF76CC,坡道平面,3000,,
RPVNMLLMNHOFFDF09CC,坡道平面,0,39.45,
RPVNMLLMNHOFFBF88CC,坡道平面,0,28.80,
RPRNMLLJOHOFFBF28CC,坡道平面,0,23.13,
RPRNMLLJOHOFFEF58CC,坡道平面,0,38.21,
RPPNMLMJOHOFFEF48CC,坡道平面,0,23.30,
RPPOMLNJOHOFFBF38CC,坡道平面,0,,
RPPOMLNJOHOFFBF38CC,坡道平面,0,,
RPOOMLNJOHOFFCF38CC,坡道平面,0,45.65,
RPRNMLMJOHOFFEF68CC,坡道平面,0,15.42,
RPTNMLMJOHOFFEF88CC,坡道平面,0,30.84,
RPUOMLNJOHOFFEF56CC,坡道平面,0,30.46,
RPSNMLMJOHOFFEF78CC,坡道平面,0,30.84,
RPTQMLNJOHOFFGF86CC,坡道平面,0,37.40,
RPSQMLOJOHOFFIF07CC,坡道機械,0,14.86,
RPPNMLLJOHOFFDF28CC,坡道平面,0,39.45,
RPRQMLOJOHOFFEF56CC,坡道平面,0,30.89,
RPXSMLOJOHOFFEF37CC,坡道平面,0,36.85,
RPPUMLOJOHOFFEF76CC,坡道平面,0,34.78,
RPUUMLOJOHOFFEF27CC,坡道平面,0,30.47,
