鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,土地,法政段1100地號,6.45,其他,,,1080503,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,312000,48372,,0.0,0,共有人間買賣。,RPSRMLNKNHOFFAH88CA,0.0,0.0,0.0,,
桃園區,房地(土地+建物),桃園市桃園區民生路４９８號十三樓之３,5.97,商,,,1080411,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861020,80.8,2,1,1,有,有,4650000,57550,,0.0,0,,RPUUMLNKNHOFFAH76CA,53.52,0.87,6.83,,
桃園區,房地(土地+建物)+車位,桃園市桃園區中正路887號十樓,18.44,住,,,1080413,土地4建物1車位1,十層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020128,234.44,4,2,2,有,有,20800000,88722,坡道平面,23.2,0,,RPSVMLNKNHOFFAH66CA,132.23,1.98,12.56,,
桃園區,房地(土地+建物)+車位,桃園市桃園區龍泉二街６１之１號十三樓,13.59,商,,,1080328,土地1建物1車位1,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021023,154.73000000000002,3,2,2,有,有,8200000,52996,坡道平面,0.0,0,,RPTVMLNKNHOFFAH76CA,77.58,0.0,9.39,,
桃園區,土地,中路段1750-16地號,38.0,其他,,,1080403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,570000,15000,,0.0,0,包含公共設施保留地之交易。；,RPPNMLOKNHOFFAH28CA,0.0,0.0,0.0,,
桃園區,土地,中路段1750-16地號,2.0,其他,,,1080429,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30000,15000,,0.0,0,包含公共設施保留地之交易。；,RPQNMLOKNHOFFAH38CA,0.0,0.0,0.0,,
桃園區,房地(土地+建物),桃園市桃園區國豐三街２６號十一樓,13.27,住,,,1080416,土地1建物1車位0,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841215,112.00999999999999,3,2,2,有,有,5250000,46871,,0.0,0,含增建或未登記建物。；,RPWQMLOKNHOFFAH66CA,80.89,1.12,11.06,,
桃園區,土地,和平段203地號,1046.11,其他,,,1080502,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5523467,5280,,0.0,0,,RPTRMLOKNHOFFAH09CA,0.0,0.0,0.0,,
桃園區,房地(土地+建物),桃園市桃園區中正路412號,67.0,商,,,1080329,土地2建物1車位0,一層，騎樓,一層,店面(店鋪),住家用,加強磚造,0590330,37.49,5,3,3,有,無,14400000,384102,,0.0,0,親友、員工或其他特殊關係間之交易。；由權利人及義務人提供現況格局實際資訊，供地政士申報登錄。權利人不願登錄電話。含增建或未登記建物。權利人*2  。標的物持分1/3,RPQOMLPKNHOFFAH58CA,37.49,0.0,0.0,,
桃園區,房地(土地+建物)+車位,桃園市桃園區中埔六街８３號九樓,23.47,住,,,1080328,土地1建物2車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0940606,125.47,3,2,2,有,有,9300000,74121,升降機械,0.0,0,,RPPQMLPKNHOFFAH68CA,74.44,1.03,10.81,,
桃園區,房地(土地+建物)+車位,桃園市桃園區慈德街９４之１號三樓,24.4,住,,,1080415,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831227,136.81,3,2,2,有,有,6900000,50435,升降機械,0.0,0,,RPQQMLPKNHOFFAH78CA,107.85,0.0,8.3,,
桃園區,房地(土地+建物)+車位,桃園市桃園區正康二街２３號十一樓,21.04,住,,,1080321,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850130,146.69,3,2,2,有,有,6750000,46015,坡道平面,0.0,0,,RPRNMLQKNHOFFAH68CA,78.5,1.54,10.48,,
桃園區,房地(土地+建物),桃園市桃園區林森路46之2號,27.22,住,,,1080426,土地3建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700120,105.7,3,2,2,有,無,4500000,42573,,0.0,0,,RPQNMLRKNHOFFAH68CA,105.7,0.0,0.0,,
桃園區,房地(土地+建物)+車位,桃園市桃園區民生路５９９巷３號,28.11,住,,,1080411,土地2建物1車位1,一層，二層,八層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0840801,174.13,2,2,2,有,有,9500000,54557,坡道平面,0.0,0,,RPPPMLLLNHOFFAH28CA,95.14,6.62,6.62,,
桃園區,房地(土地+建物)+車位,桃園市桃園區經國一路１０８號四樓,14.96,商,,,1080406,土地1建物1車位1,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060929,150.39,2,2,1,有,有,9800000,75046,坡道平面,41.79,1650000,,RPQOMLNLNHOFFAH48CA,66.92,2.74,3.21,,
桃園區,房地(土地+建物)+車位,桃園市桃園區經國一路１００號四樓,12.28,商,,,1080404,土地1建物1車位1,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060929,131.22,2,2,1,有,有,8400000,77155,坡道平面,41.79,1500000,,RPROMLNLNHOFFAH58CA,55.22,1.65,3.19,,
桃園區,房地(土地+建物)+車位,桃園市桃園區國強一街１９８號十五樓,25.49,住,,,1080422,土地2建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980815,233.34,3,2,2,有,有,11000000,47142,坡道平面,0.0,2000000,,RPTOMLOLNHOFFAH88CA,104.01,2.7,12.48,,
桃園區,房地(土地+建物),桃園市桃園區寶慶路４２８之１號四樓　　　　　　,10.97,住,,,1080308,土地1建物1車位0,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831005,103.34,3,2,2,有,有,5600000,54190,,0.0,0,,RPVQMLOLNHOFFAH66CA,62.6,3.96,8.14,,
桃園區,房地(土地+建物)+車位,桃園市桃園區國強一街１７０之１１號十二樓,15.24,住,,,1080411,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030403,125.79,2,2,1,有,有,7250000,57636,坡道平面,36.45,0,,RPQNMLRLNHOFFAH78CA,54.76,0.0,6.41,,
桃園區,房地(土地+建物)+車位,桃園市桃園區龍泉二街５１號五樓,18.63,商,,,1080423,土地1建物1車位2,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021023,227.82,4,2,2,有,有,13000000,57063,坡道平面,55.26,0,,RPRQMLRLNHOFFAH56CA,102.19,1.26,14.9,,
桃園區,房地(土地+建物)+車位,桃園市桃園區中埔二街２５號四樓,13.0,住,,,1080113,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940425,140.88,3,2,2,有,有,11000000,78086,坡道平面,0.0,0,,RPOSMLRLNHOFFAH09CA,74.41,1.87,13.49,,
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路８６巷２５號九樓,27.88,住,,,1080412,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070709,161.35000000000002,3,2,2,有,有,10650000,71532,坡道平面,37.63,1800000,,RPURMLRLNHOFFAH96CA,80.3,0.0,4.43,,
桃園區,房地(土地+建物),桃園市桃園區中正路６０號八樓之３７號,8.96,商,,,1080429,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740215,85.42,2,1,1,有,有,3600000,42145,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPOTMLRLNHOFFAH56CA,50.07,0.0,7.54,,
桃園區,房地(土地+建物)+車位,桃園市桃園區中埔一街１２１號十一樓,17.66,商,,,1080316,土地2建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070306,167.14,3,2,2,有,無,15100000,99745,坡道平面,29.79,1400000,,RPROMLSLNHOFFAH09CA,78.2,6.06,10.32,,
桃園區,車位,桃園市桃園區中山路775號1樓之1等,0.0,,,,1080307,土地0建物0車位1,,,其他,,,,15.41,0,0,0,有,有,500000,,坡道機械,15.41,500000,,RPPNMLKMNHOFFAH08CA,0.0,0.0,0.0,,
桃園區,房地(土地+建物),桃園市桃園區江南十街３０號一樓,16.42,住,,,1080305,土地1建物1車位0,一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821104,104.39,3,2,2,有,有,5080000,48664,,0.0,0,,RPRSMLOJOHOFFAH98CA,76.6,14.31,0.0,,
