編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLNKNHOFFAV96CA,豐利段,38.56,都市：住,4,1,持分移轉,07640001
RPOOMLNKNHOFFAV96CA,豐利段,21.95,都市：住,2,1,持分移轉,07640002
RPOOMLNKNHOFFAV96CA,豐利段,106.40,都市：其他:道路用地,4,1,持分移轉,07640003
RPOOMLNKNHOFFAV96CA,豐利段,136.99,都市：住,1,1,全筆移轉,07640005
RPTNMLPKNHOFFAV57CA,中山段,107.00,都市：住,1,1,全筆移轉,09010000
RPUNMLPKNHOFFAV67CA,馬蘭段,37.04,都市：住,10000,196,持分移轉,14460000
RPPOMLOLNHOFFAV27CA,岩灣段,106.10,都市：住,1,1,全筆移轉,00340001
RPPNMLOKNHOFFAV07CA,自強段,73.00,都市：住,1,1,全筆移轉,00740000
RPVNMLOLNHOFFAV77CA,梧州段,103.92,都市：住,1,1,全筆移轉,01760000
RPXOMLKMNHOFFAV77CA,自強段,64.03,都市：住,1,1,全筆移轉,09760005
RPROMLOLNHOFFAV47CA,知本段,150.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,75500005
RPOPMLKMNHOFFAV96CA,新生段,111.00,都市：住,1,1,全筆移轉,14290000
RPOPMLKMNHOFFAV96CA,新生段,111.00,都市：住,1,1,全筆移轉,14290008
RPPNMLPKNHOFFBV27CA,小湊段石傘小段,980.00,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,01720002
RPPNMLLKOHOFFCV07CA,大同段,75.36,都市：農,1000,36,持分移轉,08730000
RPPNMLLKOHOFFCV07CA,大同段,54.09,都市：農,1000,36,持分移轉,10390000
RPPNMLLKOHOFFCV07CA,大同段,88.37,都市：農,1000,36,持分移轉,10400000
RPPNMLLKOHOFFCV07CA,大同段,70.05,都市：農,1000,36,持分移轉,10410000
RPQNMLPKNHOFFAV27CA,新生段,14.89,都市：住,10000,60,持分移轉,00440000
RPPNMLOKNHOFFCV37DA,慶福段,7.04,都市：住,1,1,全筆移轉,03850002
RPPNMLOKNHOFFCV37DA,慶福段,98.25,都市：住,1,1,全筆移轉,03860006
RPSNMLPKNHOFFAV47CA,豐里段,107.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,49561,10764,持分移轉,09090001
RPSNMLPKNHOFFAV47CA,豐里段,38.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,09090009
RPPOMLRLNHOFFAV57CA,東谷段,55.11,都市：住,2,1,持分移轉,02080006
RPPOMLRLNHOFFAV57CA,東谷段,55.11,都市：住,2,1,持分移轉,02080006
RPXNMLQKNHOFFAV08CA,台東段,34.30,都市：商,84,67,持分移轉,04810046
RPVNMLQKNHOFFAV87CA,岩灣段,157.20,都市：住,1,1,全筆移轉,00730000
RPSNMLQKNHOFFAV57CA,明峰段,2789.19,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02930000
RPUNMLQKNHOFFAV77CA,新生段,167.51,都市：住,1,1,全筆移轉,12260011
RPOOMLQKNHOFFAV27CA,馬蘭段,101.00,都市：住,1,1,全筆移轉,14550003
RPWNMLQKNHOFFAV97CA,豐年段,19.88,都市：住,10000,77,持分移轉,00270003
RPSNMLRKNHOFFAV67CA,下賓朗段,196.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07500000
RPQNMLQKNHOFFCV57CA,水井段,126.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10570000
RPPNMLKLNHOFFAV76CA,公?東段,2222.14,都市：農,1,1,全筆移轉,03290000
RPPNMLKLNHOFFAV76CA,公?東段,3895.72,都市：農,1,1,全筆移轉,03350000
RPRNMLQKNHOFFCV67CA,龍田段,10.30,都市：其他:道路用地,5,1,持分移轉,12230000
RPRNMLQKNHOFFCV67CA,龍田段,141.12,都市：住,1,1,全筆移轉,12260000
RPRNMLLLNHOFFAV07CA,新園段,146.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06010000
RPRNMLLLNHOFFAV07CA,新園段,112.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06030000
RPPNMLRKNHOFFDV77DA,土?段,15000.00,非都市：森林區 ; 非都市編定：林業用地,1,1,全筆移轉,05270034
RPQNMLQKNHOFFAV37CA,台東段,46.13,都市：住,10000,416,持分移轉,18120000
RPPNMLQKNHOFFCV57DA,大池段,8813.08,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03700000
RPRNMLRKNHOFFBV67CA,高原段,30.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06480010
RPRNMLRKNHOFFDV97DA,新大武段,1394.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,10470000
RPRNMLRKNHOFFDV97DA,新大武段,272.85,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,10630000
RPRNMLQKNHOFFAV47CA,豐里段,101.94,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,08180000
RPRNMLQKNHOFFAV47CA,大豐段,1056.75,非都市：特定農業區 ; 非都市編定：農牧用地,3,1,持分移轉,07310002
RPWNMLPKNHOFFAV87CA,豐里段,75.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,49561,7548,持分移轉,09090001
RPWNMLPKNHOFFAV87CA,豐里段,38.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,09090009
RPQNMLRKNHOFFBV57CA,都豐段,3613.46,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,08530000
RPVNMLPKNHOFFAV77CA,台東段,81.00,都市：住,1,1,全筆移轉,06940004
RPVNMLPKNHOFFAV77CA,台東段,41.00,都市：住,1,1,全筆移轉,06940006
RPTNMLRKNHOFFBV87CA,高原段,64.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06100004
RPVNMLRKNHOFFBV08CA,新大馬段,2555.25,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,06390000
RPPNMLLLNHOFFBV96CA,八仙洞段,434.71,都市：住,1,1,全筆移轉,07890000
RPPNMLLLNHOFFBV96CA,八仙洞段,512.00,都市：住,1,1,全筆移轉,07900000
RPPNMLLLNHOFFBV96CA,八仙洞段,110.28,都市：其他:道路用地,1,1,全筆移轉,07910000
RPPNMLLLNHOFFBV96CA,八仙洞段,197.45,都市：住,1,1,全筆移轉,07920000
RPPNMLLLNHOFFBV96CA,八仙洞段,174.55,都市：其他:保護區,1,1,全筆移轉,07940000
RPPNMLQKNHOFFAV27CA,豐年段,17.50,都市：住,10000,35,持分移轉,00270000
RPRNMLKLNHOFFAV07DA,利泰段,2204.27,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02230000
RPUNMLRKNHOFFAV87CA,豐里段,150.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06380000
RPSNMLLLNHOFFAV17CA,自強段,113.00,都市：住,1,1,全筆移轉,05130000
RPTNMLRKNHOFFAV77CA,知本段,2550.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,76210007
RPUNMLRKNHOFFBV97CA,新大馬段,301.43,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,06380000
RPPNMLMLNHOFFAV96CA,煙草間段,448.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03440000
RPPNMLMLNHOFFAV96CA,煙草間段,749.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03450000
RPPNMLMLNHOFFAV96CA,煙草間段,436.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03460000
RPQNMLKLNHOFFDV17CA,秀山段,10.39,都市：其他:出租旅館區,10000,9,持分移轉,07230000
RPQNMLKLNHOFFDV17CA,秀山段,.00,都市：其他:道路用地,10000,9,持分移轉,07230001
RPRNMLRKNHOFFAV57CA,自強段,57.00,都市：住,1,1,全筆移轉,01320000
RPTNMLQKNHOFFAV67CA,豐利段,100.90,都市：住,1,1,全筆移轉,02070002
RPTNMLQKNHOFFAV67CA,豐利段,2.04,都市：住,1,1,全筆移轉,02070003
RPTNMLQKNHOFFAV67CA,豐利段,36.42,都市：住,1,1,全筆移轉,02070004
RPTNMLQKNHOFFAV67CA,豐利段,87.30,都市：其他:道,3,1,持分移轉,02410000
RPTNMLQKNHOFFAV67CA,豐利段,11.52,都市：其他:道,3,1,持分移轉,02420000
RPTNMLSLNHOFFAV97CA,利吉段,2925.24,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00120000
RPTNMLSLNHOFFAV97CA,利吉段,1775.38,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01400000
RPTNMLSLNHOFFAV97CA,利吉段,1554.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01470000
RPTOMLKMNHOFFAV37CA,豐富段,3779.50,都市：農,1,1,全筆移轉,02890000
RPQNMLRKNHOFFAV47CA,普優瑪段,235.63,都市：住,1,1,全筆移轉,07850004
RPXNMLOLNHOFFAV97CA,新生段,129.00,都市：住,1,1,全筆移轉,11330000
RPQNMLKLNHOFFAV86CA,石壁段,1698.12,都市：農,1,1,全筆移轉,11870000
RPQNMLRLNHOFFAV57CA,台東段,92.00,都市：住,1,1,全筆移轉,00010049
RPSNMLKLNHOFFAV07CA,利家段,4212.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,67270000
RPTNMLKLNHOFFAV17CA,馬蘭段,41.96,都市：住,10000,222,持分移轉,14460000
RPUOMLKMNHOFFAV47CA,梧州段,96.73,都市：住,1,1,全筆移轉,01970000
RPPNMLTLNHOFFBV77CA,成功段,64.98,都市：住,1,1,全筆移轉,00970011
RPPNMLTLNHOFFBV77CA,成功段,23.85,都市：住,1,1,全筆移轉,01180005
RPQNMLLLNHOFFAV07DA,新生段,227.00,都市：住,1,1,全筆移轉,02830000
RPPNMLMLNHOFFBV07CA,東河段,483.71,都市：農,1,1,全筆移轉,01350000
RPQNMLNLNHOFFBV27CA,高原段,2929.00,非都市：森林區 ; 非都市編定：農牧用地,1,1,全筆移轉,02740000
RPPNMLNJOHOFFBV07CA,阿都蘭段,1862.24,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,04790000
RPVNMLLLNHOFFAV47CA,台東段,112.00,都市：住,1,1,全筆移轉,00030485
RPPNMLLLNHOFFAV86CA,豐康段,2657.24,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04340001
RPQNMLMLNHOFFAV07CA,光明段,54.00,都市：住,1,1,全筆移轉,01090000
RPTNMLMLNHOFFAV37CA,台東段,10.23,都市：住,100000,632,持分移轉,00040009
RPWNMLMLNHOFFAV67CA,普優瑪段,85.64,都市：住,1,1,全筆移轉,07210002
RPQNMLOLNHOFFAV27CA,中清段,628.04,都市：住,1,1,全筆移轉,01620000
RPQNMLOLNHOFFAV27CA,中清段,2.17,都市：其他:道路,1,1,全筆移轉,01620001
RPSOMLOLNHOFFAV57CA,南清段,142.21,都市：住,1,1,全筆移轉,08990000
RPUNMLMLNHOFFAV47CA,康樂段,5835.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01700000
RPUNMLMLNHOFFAV47CA,康樂段,39.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01970000
RPSNMLMLNHOFFAV27CA,東海段,64.80,都市：住,2,1,持分移轉,07470003
RPSNMLMLNHOFFAV27CA,東海段,64.80,都市：住,2,1,持分移轉,07470003
RPTNMLOLNHOFFAV57CA,台東段,64.50,都市：住,4,3,持分移轉,04420000
RPTNMLOLNHOFFAV57CA,台東段,1.50,都市：住,4,3,持分移轉,04410005
RPTNMLRLNHOFFAV97DA,豐富段,43.17,都市：其他:水利用地,1,1,全筆移轉,02610001
SPTNMLRLNHOFFAV08DA,豐富段,89.76,都市：其他:水利用地,1,1,全筆移轉,02620001
RPQNMLNLNHOFFAV27DA,常德段,32.92,都市：住,10000,257,持分移轉,06970000
RPQNMLQJOHOFFAV37CA,常德段,116.74,都市：住,1,1,全筆移轉,09010000
RPPOMLOJOHOFFAV17CA,永清段,2369.26,都市：住,1,1,全筆移轉,00160000
RPQNMLLKOHOFFAV96CA,馬蘭段,19.00,都市：住,10000,152,持分移轉,16940000
RPPNMLKKOHOFFAV76CA,豐年段,23.06,都市：住,10,1,持分移轉,00020043
RPPNMLKKOHOFFAV76CA,豐年段,65.77,都市：住,1,1,全筆移轉,00030047
RPWNMLKKOHOFFAV47CA,豐谷段,116.78,都市：住,1,1,全筆移轉,00510001
RPPNMLLKOHOFFAV86CA,台東段,13.10,都市：住,100000,809,持分移轉,00040009
RPPNMLOLNHOFFBV37DA,大霸來段,7190.17,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,04670000
RPQNMLRLNHOFFBV67CA,八仙洞段,3646.27,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,00980000
RPQOMLOJOHOFFAV27CA,富岡段,127.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07520000
RPTOMLOLNHOFFAV67CA,常德段,149.43,都市：住,1,1,全筆移轉,05670000
RPVNMLKMNHOFFAV47CA,德安段,.16,都市：住,30000,186,持分移轉,00630001
RPVNMLKMNHOFFAV47CA,德安段,23.26,都市：住,30000,186,持分移轉,00630000
RPVNMLKMNHOFFAV47CA,德安段,2.15,都市：住,30000,186,持分移轉,00630002
RPVNMLKMNHOFFAV47CA,德安段,.04,都市：住,30000,186,持分移轉,00630003
RPUNMLMKOHOFFAV47CA,台東段,51.96,都市：住,100000,646,持分移轉,25450000
RPSNMLOLNHOFFAV47CA,鎮樂段,516.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05540000
RPVNMLSLNHOFFAV18CA,台東段,125.00,都市：住,1,1,全筆移轉,00250077
RPPNMLOLNHOFFAV17CA,新生段,89.00,都市：住,2,1,持分移轉,07590005
RPPNMLOLNHOFFAV17CA,新生段,89.00,都市：住,2,1,持分移轉,07590005
RPRNMLNLNHOFFAV27CA,東海段,95.49,都市：住,1,1,全筆移轉,08790000
RPWNMLSLNHOFFAV28CA,興安段,242.62,都市：住,1,1,全筆移轉,03240000
RPPNMLRLNHOFFAV47CA,台東段,12.64,都市：住,100000,781,持分移轉,00040009
RPQOMLOLNHOFFAV37CA,知本段,2696.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,84490001
RPQOMLRLNHOFFAV67CA,豐田段,187.00,都市：住,1,1,全筆移轉,15870008
RPVNMLRLNHOFFAV08CA,豐里段,152.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,09300003
RPPNMLSLNHOFFAV57CA,台東段,174.00,都市：住,1,1,全筆移轉,01600080
RPQNMLSLNHOFFAV67CA,台東段,115.00,都市：住,1,1,全筆移轉,05410062
RPTOMLNJOHOFFAV47CA,豐田段,275.44,都市：住,10000,1401,持分移轉,13330003
RPPNMLSKOHOFFBV67CA,黃金橋段,3986.63,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,10760000
