編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLOJOHOFFAV57DC,豐富段,26.00,都市：住,,,,04770007
RPRNMLSKOHOFFAV08DC,南清段,62.08,都市：住,,,,08790000
RPQNMLSKOHOFFAV87CC,台東段,98.00,都市：商,,,,04940000
RPQNMLSKOHOFFAV87CC,台東段,108.00,都市：商,,,,04940002
RPQNMLSKOHOFFAV87CC,台東段,16.00,都市：商,,,,04940005
RPVNMLQKPHOFFAV28CC,豐里段,75.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09090001
RPVNMLQKPHOFFAV28CC,豐里段,38.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09090009
RPQNMLPKPHOFFAV67CC,台東段,72.00,都市：住,,,,19260000
RPTNMLLLNHOFFAV47CC,豐里段,75.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09090001
RPTNMLLLNHOFFAV47CC,豐里段,38.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,09090009
RPVNMLTLPHOFFAV78DC,中心段,18.87,都市：住,,,,02500000
RPQNMLMKPHOFFAV47DC,豐樂段,81.00,都市：住,,,,31560023
