編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLLLNHOFFAX87CA,,131.13,非都市： ; 非都市編定：,1,1,全筆移轉,09850000
RPXNMLLLNHOFFAX87CA,,44.16,非都市： ; 非都市編定：,1,1,全筆移轉,10910000
RPQNMLTKNHOFFAX87CA,馬公段,97.00,非都市： ; 非都市編定：,1,1,全筆移轉,06110015
RPOOMLPKNHOFFAX37CA,赤崁中段,1530.45,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12180000
RPSPMLOKNHOFFAX77CA,上瓦硐段,1474.52,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03830000
RPRNMLPKNHOFFAX57CA,五福段,10.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,03390000
RPSNMLOKNHOFFAX67DA,埕西段,78.02,非都市： ; 非都市編定：,1,1,全筆移轉,03020000
RPTNMLLLNHOFFAX47CA,,75.33,非都市： ; 非都市編定：,12,4,持分移轉,05590000
RPTNMLLLNHOFFAX47CA,,248.10,非都市： ; 非都市編定：,12,4,持分移轉,05830000
RPSNMLPKNHOFFAX77DA,馬公段,18.00,非都市： ; 非都市編定：,4,1,持分移轉,08520000
RPSNMLPKNHOFFAX77DA,馬公段,14.50,非都市： ; 非都市編定：,4,1,持分移轉,08700000
RPRNMLRKNHOFFAX77CA,埕中段,49.09,非都市： ; 非都市編定：,1,1,全筆移轉,00960000
RPUNMLPKNHOFFAX87CA,,96.38,非都市： ; 非都市編定：,1,1,全筆移轉,07790000
RPQNMLTLNHOFFAX97CA,外垵二段,81.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,13640000
RPQNMLRKNHOFFAX77DA,北寮新段,335.36,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06540000
RPWNMLKKOHOFFAX77DA,赤崁中段,812.46,非都市：一般農業區 ; 非都市編定：農牧用地,102179,81246,持分移轉,11980001
RPQNMLMLNHOFFAX27CA,龍門南段,47.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,4,1,持分移轉,02380000
RPPNMLLLNHOFFAX07CA,,529.00,非都市： ; 非都市編定：,1,1,全筆移轉,17840000
RPPNMLTKNHOFFAX77CA,,87.15,非都市： ; 非都市編定：,1,1,全筆移轉,15670000
RPSNMLOLNHOFFAX77DA,四維段,221.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10300000
RPVNMLLLNHOFFAX77DA,馬公段,9.06,非都市： ; 非都市編定：,40000,36,持分移轉,02010000
RPVNMLLLNHOFFAX77DA,馬公段,.94,非都市： ; 非都市編定：,20000,15,持分移轉,02010003
