編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSOMLMKQHOFFAA18CB,河堤段二小段,7.33,都市：商,100000,2119,持分移轉,02930000
RPSOMLMKQHOFFAA18CB,河堤段二小段,.08,都市：商,100000,2119,持分移轉,03110002
RPXOMLMKQHOFFAA68CB,河堤段二小段,3.46,都市：商,100000,999,持分移轉,02930000
RPXOMLMKQHOFFAA68CB,河堤段二小段,.04,都市：商,100000,999,持分移轉,03110002
RPUOMLMKQHOFFAA38CB,河堤段二小段,5.35,都市：商,100000,1547,持分移轉,02930000
RPUOMLMKQHOFFAA38CB,河堤段二小段,.06,都市：商,100000,1547,持分移轉,03110002
RPQPMLMKQHOFFAA08CB,河堤段二小段,5.39,都市：商,100000,1557,持分移轉,02930000
RPQPMLMKQHOFFAA08CB,河堤段二小段,.06,都市：商,100000,1557,持分移轉,03110002
RPVOMLMKQHOFFAA48CB,河堤段二小段,5.35,都市：商,100000,1547,持分移轉,02930000
RPVOMLMKQHOFFAA48CB,河堤段二小段,.06,都市：商,100000,1547,持分移轉,03110002
RPVNMLQKQHOFFDA09CB,經貿段,22.82,都市：住,10000,287,持分移轉,00370002
RPXNMLQKQHOFFDA66CB,經貿段,21.79,都市：住,10000,274,持分移轉,00370002
RPQOMLQKQHOFFDA68CB,經貿段,24.26,都市：住,10000,305,持分移轉,00370002
RPUNMLQKQHOFFDA98CB,經貿段,22.43,都市：住,10000,282,持分移轉,00370002
RPWNMLQKQHOFFDA56CB,經貿段,21.00,都市：住,10000,264,持分移轉,00370002
RPSOMLQKQHOFFDA88CB,經貿段,21.15,都市：住,10000,266,持分移轉,00370002
RPTOMLQKQHOFFDA98CB,經貿段,21.15,都市：住,10000,266,持分移轉,00370002
RPXOMLQKQHOFFDA76CB,經貿段,21.15,都市：住,10000,266,持分移轉,00370002
RPVOMLQKQHOFFDA56CB,經貿段,21.15,都市：住,10000,266,持分移轉,00370002
RPUOMLQKQHOFFDA09CB,經貿段,21.15,都市：住,10000,266,持分移轉,00370002
RPROMLQKQHOFFDA78CB,經貿段,24.26,都市：住,10000,305,持分移轉,00370002
RPOPMLQKQHOFFDA58CB,經貿段,21.15,都市：住,10000,266,持分移轉,00370002
RPPPMLQKQHOFFDA68CB,經貿段,21.15,都市：住,10000,266,持分移轉,00370002
RPQPMLQKQHOFFDA78CB,經貿段,20.76,都市：住,10000,261,持分移轉,00370002
RPSPMLQKQHOFFDA98CB,經貿段,24.26,都市：住,10000,305,持分移轉,00370002
RPQOMLMLQHOFFAA08CB,福和段一小段,7.88,都市：商,100000,2371,持分移轉,04960000
RPXNMLMLQHOFFAA68CB,福和段一小段,9.40,都市：商,100000,2830,持分移轉,04960000
RPPOMLMLQHOFFAA97CB,福和段一小段,7.88,都市：商,100000,2371,持分移轉,04960000
RPWNMLMLQHOFFAA58CB,福和段一小段,8.81,都市：商,100000,2651,持分移轉,04960000
RPROMLMLQHOFFAA18CB,福和段一小段,7.88,都市：商,100000,2371,持分移轉,04960000
RPOOMLMLQHOFFAA87CB,福和段一小段,8.81,都市：商,100000,2651,持分移轉,04960000
RPVOMLPJRHOFFEA56CB,三合段,17.81,都市：住,10000,126,持分移轉,00230000
RPPPMLPJRHOFFEA68CB,三合段,17.67,都市：住,10000,125,持分移轉,00230000
RPQPMLPJRHOFFEA78CB,三合段,17.67,都市：住,10000,125,持分移轉,00230000
RPRPMLPJRHOFFEA88CB,三合段,17.67,都市：住,10000,125,持分移轉,00230000
RPSPMLPJRHOFFEA98CB,三合段,19.08,都市：住,10000,135,持分移轉,00230000
RPTPMLPJRHOFFEA09CB,三合段,19.08,都市：住,10000,135,持分移轉,00230000
RPUPMLPJRHOFFEA56CB,三合段,19.08,都市：住,10000,135,持分移轉,00230000
RPQQMLPJRHOFFEA88CB,三合段,11.31,都市：住,10000,80,持分移轉,00230000
RPWQMLPJRHOFFEA86CB,三合段,11.17,都市：住,10000,79,持分移轉,00230000
RPXQMLPJRHOFFEA96CB,三合段,11.17,都市：住,10000,79,持分移轉,00230000
RPORMLPJRHOFFEA78CB,三合段,11.17,都市：住,10000,79,持分移轉,00230000
RPPNMLQJRHOFFEA58CB,三合段,11.31,都市：住,10000,80,持分移轉,00230000
