編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLOKQHOFFCD38CA,坡道平面,0,,
RPQNMLTKQHOFFCD98CA,坡道平面,0,24.09,
RPPRMLTKQHOFFCD66CA,坡道平面,1300000,35.45,
RPROMLMKQHOFFKD66CA,坡道平面,0,22.00,
RPPNMLPKQHOFFKD66CA,坡道平面,0,,
RPQOMLQKQHOFFKD96CA,坡道機械,600000,,
RPUQMLKLQHOFFKD07CA,坡道平面,0,25.59,
RPRQMLKLQHOFFKD76CA,坡道平面,0,25.59,
RPRPMLLLQHOFFKD76CA,坡道平面,0,25.59,
RPTPMLRLQHOFFKD57CA,坡道平面,0,,
RPXPMLKLQHOFFKD27CA,坡道平面,0,25.59,
RPVOMLOKQHOFFAD98DA,坡道平面,400000,39.31,
RPOOMLLLQHOFFKD98CA,一樓平面,1000000,19.25,
RPQOMLKLQHOFFKD09CA,坡道平面,0,35.70,
RPOOMLOKQHOFFKD56CA,坡道平面,0,33.01,
RPTOMLQLQHOFFCD76EA,坡道平面,0,26.98,
RPQNMLMLQHOFFHD88CA,坡道平面,0,,
RPXPMLPJRHOFFKD67CA,坡道機械,0,13.14,
RPTPMLKLQHOFFKD86CA,坡道平面,0,25.59,
RPVPMLKLQHOFFKD07CA,坡道平面,0,25.59,
RPSNMLTKQHOFFCD56CA,坡道平面,0,24.09,
RPROMLQKQHOFFCD88CA,坡道平面,0,,
RPTNMLTKQHOFFCD66CA,坡道平面,0,24.09,
RPRPMLQKQHOFFAD78CA,升降平面,0,,
RPQOMLOKQHOFFAD38CA,坡道平面,0,,
RPQOMLOKQHOFFAD38CA,坡道平面,0,,
RPOOMLKLQHOFFAD87CA,坡道平面,0,37.73,
RPOOMLKLQHOFFAD87CA,坡道平面,0,37.73,
RPPOMLPKQHOFFAD38CA,坡道機械,1000000,23.36,
RPQOMLKMQHOFFKD66DA,坡道平面,0,,
RPWNMLRLQHOFFAD66CA,坡道平面,1100000,29.39,
RPRPMLQLQHOFFAD88CA,坡道平面,0,14.99,
RPXNMLRLQHOFFAD76CA,坡道平面,1200000,29.39,
RPOOMLRLQHOFFAD58CA,坡道平面,0,29.39,
RPOOMLRLQHOFFAD58CA,坡道平面,0,29.39,
RPPOMLRLQHOFFAD68CA,坡道平面,1200000,29.39,
RPQNMLQLQHOFFBD68CA,坡道平面,0,,
RPWNMLMLQHOFFCD98CA,坡道機械,0,,
RPWNMLTKQHOFFCD96CA,坡道平面,0,24.09,
RPPNMLMLQHOFFCD28CA,坡道平面,0,12.48,
RPRNMLPKQHOFFKD86CA,坡道平面,0,25.59,
RPPOMLQKQHOFFKD86CA,坡道平面,0,2308.35,
RPPNMLRJRHOFFCD68CA,坡道平面,0,25.33,
RPQNMLSJRHOFFHD76CA,坡道平面,0,,
RPRNMLNLQHOFFKD76CA,一樓平面,1000000,17.14,
RPPNMLNJRHOFFID88CA,坡道平面,0,,
RPROMLQKRHOFFKD17CA,坡道平面,0,,
RPTNMLRLQHOFFHD07CA,坡道平面,0,,
RPUNMLQKQHOFFHD96CA,一樓平面,700000,,
RPSNMLSJRHOFFHD96CA,坡道平面,0,,
RPSNMLSJRHOFFHD96CA,坡道平面,0,,
RPTNMLSJRHOFFHD07CA,坡道平面,0,,
RPTNMLSJRHOFFHD07CA,坡道平面,0,,
RPQNMLRJRHOFFCD78CA,坡道平面,0,25.33,
RPTQMLTJRHOFFCD96CA,坡道平面,0,25.32,
RPSNMLQJRHOFFCD88CA,坡道平面,0,,
RPQPMLKLQHOFFCD38CA,一樓平面,1500000,19.88,
RPSPMLKLQHOFFCD58CA,一樓平面,1200000,19.88,
RPTPMLOJRHOFFAD78CA,坡道平面,0,23.28,
RPUNMLKLQHOFFAD38CA,升降機械,0,6.51,
RPPNMLPJRHOFFAD28CA,坡道平面,0,34.39,
RPVNMLTLQHOFFAD76CA,坡道平面,0,27.75,
RPPNMLPLQHOFFID56CA,坡道平面,0,,
RPWOMLKLQHOFFKD07CA,坡道平面,0,,
RPSOMLKKRHOFFHD98CA,一樓平面,0,,
RPXNMLLLQHOFFAD78CA,坡道平面,0,,
RPSNMLNLQHOFFAD48CA,坡道平面,0,,
RPQOMLTLQHOFFAD98CA,坡道平面,900000,26.54,
RPXNMLSJRHOFFHD47CA,坡道平面,0,,
RPWNMLLLQHOFFCD88CA,坡道平面,0,25.80,
RPPPMLQLQHOFFCD88CA,坡道平面,0,,
RPPPMLQLQHOFFCD88CA,坡道平面,0,,
RPUOMLOJRHOFFAD78CA,坡道平面,0,45.60,
RPTPMLMLQHOFFCD88CA,坡道平面,0,27.64,
RPUNMLKMQHOFFCD68CA,坡道平面,1200000,36.51,
RPSRMLTLQHOFFCD07CA,坡道機械,0,,
RPVNMLSJRHOFFHD27CA,坡道平面,0,,
RPWOMLRLQHOFFCD96CA,一樓平面,0,39.40,
RPUPMLQLQHOFFCD76CA,坡道平面,0,,
RPWPMLSLQHOFFCD17CA,坡道平面,0,,
RPQOMLTLQHOFFCD56CA,坡道機械,0,,
RPQPMLQLQHOFFCD98CA,坡道平面,1200000,35.45,
RPUNMLLLQHOFFCD68CA,坡道平面,0,,
RPPOMLTLQHOFFAD88CA,坡道平面,960000,30.66,
RPUNMLMJRHOFFAD48CA,坡道平面,1100000,28.87,
RPXOMLMLQHOFFAD98CA,坡道平面,0,33.75,
RPQNMLLLQHOFFAD08CA,坡道平面,1200000,44.77,
RPVOMLTLQHOFFAD86CA,坡道平面,0,,
RPQNMLPKRHOFFHD56CA,一樓平面,0,,
RPTNMLPKRHOFFHD86CA,一樓平面,0,,
RPWNMLNJRHOFFCD98CA,坡道平面,0,31.43,
RPUNMLSLQHOFFKD57CA,坡道機械,0,,
RPQNMLOLQHOFFKD76CA,坡道平面,0,38.58,
RPUOMLNLQHOFFKD17CA,坡道機械,0,,
RPUOMLNLQHOFFKD17CA,坡道機械,0,,
RPOOMLQLQHOFFKD86CA,坡道平面,1300000,19.23,
RPROMLQLQHOFFKD17CA,坡道平面,1100000,19.23,
RPWNMLSKRHOFFAD76CA,坡道平面,0,,
RPUNMLQLQHOFFKD37CA,坡道平面,1200000,19.23,
RPOPMLQLQHOFFKD96CA,坡道平面,1300000,19.23,
RPPPMLQLQHOFFKD07CA,坡道平面,1300000,19.23,
RPPQMLQLQHOFFKD17CA,坡道平面,1300000,19.23,
RPSQMLQLQHOFFKD47CA,坡道平面,1200000,19.23,
RPXOMLQLQHOFFKD77CA,坡道平面,1400000,19.23,
RPXOMLQLQHOFFKD77CA,坡道平面,1400000,19.23,
RPOPMLKLQHOFFKD98CA,坡道平面,0,22.39,
RPSOMLQLQHOFFKD27CA,坡道平面,1400000,19.23,
RPWOMLLLQHOFFKD17CA,一樓平面,1000000,15.35,
RPTNMLQJRHOFFAD78CA,坡道平面,0,21.52,
RPPPMLLLQHOFFKD56CA,坡道平面,0,,
RPRNMLKKRHOFFFD58CA,升降機械,0,,
RPRNMLKKRHOFFFD58CA,升降機械,0,,
RPSNMLQLQHOFFKD17CA,坡道平面,1300000,19.23,
RPTNMLQLQHOFFKD27CA,坡道平面,1100000,19.23,
RPXNMLLLQHOFFKD17CA,坡道平面,0,22.39,
RPRNMLRLQHOFFKD17CA,坡道平面,0,,
RPPPMLMJRHOFFKD56CA,坡道平面,0,25.59,
RPQPMLMJRHOFFKD66CA,坡道平面,0,25.59,
RPRNMLQJRHOFFHD66CA,坡道平面,1000000,36.72,
RPVNMLMLQHOFFAD68CA,升降平面,0,,
RPUNMLMLQHOFFAD58CA,坡道平面,1200000,33.80,
RPWNMLMLQHOFFAD78CA,坡道平面,1100000,33.80,
RPWNMLMLQHOFFAD78CA,坡道平面,1100000,33.80,
RPQOMLMLQHOFFAD28CA,坡道平面,600000,33.87,
RPRNMLNLQHOFFAD38CA,坡道平面,0,33.10,
RPRNMLNLQHOFFAD38CA,坡道平面,0,36.37,
RPPNMLQLQHOFFAD48CA,坡道平面,1000000,28.87,
RPPNMLQLQHOFFAD48CA,坡道平面,1000000,28.87,
RPWNMLKMRHOFFFD66CA,升降機械,0,11.74,
RPRNMLQLQHOFFAD68CA,坡道平面,1100000,28.87,
RPRNMLQLQHOFFAD68CA,坡道平面,1060000,26.49,
RPVPMLNLQHOFFAD98CA,坡道平面,0,,
RPVNMLMJRHOFFAD58CA,坡道平面,1100000,28.87,
RPOOMLKMQHOFFAD97CA,坡道平面,1400000,35.35,
RPOOMLKMQHOFFAD97CA,坡道平面,1400000,35.35,
