編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOPMLQKQHOFFAE58CA,青海段,12.32,都市：住,100000,366,持分移轉,05520000
RPQOMLNKQHOFFAE38CA,龍中段,6.43,都市：商,10000,80,持分移轉,01120000
RPPNMLNKQHOFFAE18CA,青海段,9.26,都市：商,100000,324,持分移轉,01210000
RPOOMLMLQHOFFAE18CA,內惟段一小段,6.00,都市：住,1,1,全筆移轉,04190002
RPOOMLMLQHOFFAE18CA,內惟段一小段,29.00,都市：住,1,1,全筆移轉,04200000
RPOOMLMLQHOFFAE18CA,內惟段一小段,9.00,都市：住,1,1,全筆移轉,04590000
RPOOMLMLQHOFFAE18CA,內惟段一小段,26.00,都市：住,1,1,全筆移轉,04590001
RPOOMLMLQHOFFAE18CA,內惟段一小段,43.00,都市：住,1,1,全筆移轉,04590002
RPPPMLNKQHOFFBE48CA,新興段二小段,155.00,都市：商,1,1,全筆移轉,08650000
RPTOMLNKQHOFFBE78CA,新興段二小段,3.63,都市：商,10000,70,持分移轉,11080000
RPOOMLLLQHOFFBE18CA,武聖段,61.00,都市：商,1,1,全筆移轉,18450000
RPRNMLPKQHOFFBE68CA,五權段,25.01,都市：住,100000,710,持分移轉,03770000
RPPOMLQKQHOFFBE68CA,福裕段,28.85,都市：住,200000,2524,持分移轉,14340000
RPXOMLMKQHOFFCE56CA,港和段四小段,38.02,都市：住,100000,1280,持分移轉,08500000
RPXOMLMKQHOFFCE56CA,港和段四小段,5.53,都市：商,100000,1280,持分移轉,08500001
RPXNMLNKQHOFFCE56CA,新生段,2.86,都市：住,1000000,10877,持分移轉,08710000
RPXNMLNKQHOFFCE56CA,新生段,11.91,都市：商,1000000,10877,持分移轉,08740000
RPOOMLNKQHOFFCE38CA,新生段,1.56,都市：住,1000000,5928,持分移轉,08710000
RPOOMLNKQHOFFCE38CA,新生段,6.49,都市：商,1000000,5928,持分移轉,08740000
RPPOMLNKQHOFFCE48CA,新生段,1.56,都市：住,1000000,5928,持分移轉,08710000
RPPOMLNKQHOFFCE48CA,新生段,6.49,都市：商,1000000,5928,持分移轉,08740000
RPSOMLNKQHOFFCE78CA,獅甲段,39.74,都市：住,752600000,4852186,持分移轉,01040002
RPVOMLNKQHOFFCE09CA,中安段,85.98,都市：住,1,1,全筆移轉,00380003
RPUOMLOKQHOFFCE09CA,青島段四小段,85.46,都市：住,1,1,全筆移轉,08250000
RPQNMLLLQHOFFCE38CA,仁愛段,81.00,都市：住,1,1,全筆移轉,07830167
RPVNMLNKQHOFFDE09CA,中都段四小段,28.80,都市：住,10,1,持分移轉,01490000
RPUOMLNKQHOFFDE09CA,覆鼎金段覆鼎金小段,20.55,都市：住,10000,84,持分移轉,11710000
RPWPMLNKQHOFFDE76CA,陽明段二小段,31.50,都市：住,10,1,持分移轉,00770015
RPPOMLOKQHOFFDE68CA,中都段三小段,73.94,都市：住,1,1,全筆移轉,11690002
RPTOMLOKQHOFFDE09CA,義民段,2.70,都市：商,1000,8,持分移轉,00030000
RPTOMLOKQHOFFDE09CA,獅頭段,1.87,都市：商,1000,8,持分移轉,26880000
RPWOMLOKQHOFFDE76CA,獅頭段,9.76,都市：商,10000,30,持分移轉,26770000
RPPNMLPKQHOFFDE68CA,大豐段三小段,12.94,都市：住,10000,330,持分移轉,01210000
RPTNMLSLQHOFFBE66CA,成功段,15.59,都市：商,10000,61,持分移轉,07030000
RPSNMLPKQHOFFDE98CA,水源段,32.77,都市：住,10000,129,持分移轉,00230000
RPSNMLPKQHOFFDE98CA,水源段,.37,都市：其他:分區界線尚未分割,10000,129,持分移轉,00230001
RPRNMLLLQHOFFDE58CA,獅頭段,2.78,都市：商,10200000,6426,持分移轉,26560000
RPPNMLMLQHOFFDE48CA,灣興段,56.04,都市：工,1,1,全筆移轉,00740022
RPPNMLMLQHOFFDE48CA,灣興段,23.77,都市：工,56,1,持分移轉,00740030
RPRNMLQJRHOFFCE88CA,坪松段,128.78,都市：住,1,1,全筆移轉,01570010
RPPNMLTKQHOFFAE78CA,大智段,5.00,都市：商,1,1,全筆移轉,03860000
RPPNMLTKQHOFFAE78CA,大智段,22.00,都市：商,1,1,全筆移轉,03870000
RPPNMLTKQHOFFAE78CA,大智段,12.00,都市：商,1,1,全筆移轉,03880000
RPPOMLNKQHOFFEE68CA,楠都段三小段,11.07,都市：商,100000,965,持分移轉,10670000
RPQPMLNKQHOFFEE88CA,楠都段二小段,65.00,都市：住,1,1,全筆移轉,02690039
RPSNMLOKQHOFFEE98CA,菜公段六小段,13.47,都市：住,20000,70,持分移轉,11350000
RPOOMLRLQHOFFDE98CA,大港段,23.30,都市：住,40,1,持分移轉,34450000
RPVPMLQLQHOFFDE07CA,建民段,11.63,都市：商,1000000,5861,持分移轉,03700000
RPQOMLOKQHOFFEE88CA,菜公段六小段,10.95,都市：住,100000,273,持分移轉,10800000
RPRNMLPKQHOFFEE98CA,新庄段一小段,39.00,都市：住,1,1,全筆移轉,07020000
RPRNMLTKQHOFFEE76CA,清豐段,14.34,都市：商,10000,98,持分移轉,04560000
RPSNMLTKQHOFFEE86CA,清豐段,13.02,都市：商,10000,89,持分移轉,04560000
RPWNMLOKQHOFFBE09CA,苓東段,.98,都市：其他:道,200000,507,持分移轉,00090013
RPQOMLPKQHOFFEE98CA,楠梓段三小段,13.41,都市：商,10000,117,持分移轉,01220000
RPWNMLOKQHOFFBE09CA,苓東段,9.54,都市：住,200000,507,持分移轉,00130000
RPRPMLTKQHOFFEE96CA,清豐段,1.67,都市：商,100000,234,持分移轉,04740000
RPSOMLQKQHOFFEE66CA,新庄段八小段,756.00,都市：住,1,1,全筆移轉,01280000
RPWRMLTKQHOFFEE67CA,右昌段三小段,65.00,都市：住,1,1,全筆移轉,09210000
RPWPMLKLQHOFFEE66CA,和平段四小段,71.00,都市：住,1,1,全筆移轉,00220003
RPPNMLMLQHOFFEE58CA,右昌段七小段,321.00,都市：住,1,1,全筆移轉,09940000
RPWNMLMLQHOFFEE66CA,新庄段七小段,12.00,都市：住,1,1,全筆移轉,05730021
RPWNMLMLQHOFFEE66CA,新庄段七小段,60.00,都市：住,1,1,全筆移轉,05740018
RPPOMLMLQHOFFEE68CA,興隆段,17.94,都市：住,100000,247,持分移轉,08580022
RPROMLQJRHOFFAE78CA,龍華段八小段,13.42,都市：商,10000,108,持分移轉,22510000
RPTNMLTKQHOFFCE76CA,獅甲段二小段,23.91,都市：住,100000,79,持分移轉,05890000
RPSNMLTKQHOFFCE66CA,光華段,52.00,都市：住,1,1,全筆移轉,05340013
RPRQMLMLQHOFFEE09CA,新夏段,77.92,都市：住,1,1,全筆移轉,00460002
RPVQMLKLQHOFFEE66CA,楠梓段三小段,10.80,都市：住,100000,138,持分移轉,03040000
RPVOMLNLQHOFFEE76CA,新庄段十三小段,11.48,都市：商,10000,86,持分移轉,14770000
RPQNMLMKQHOFFFE68CA,甲圍段,101.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12470000
RPQNMLMKQHOFFFE68CA,甲圍段,100.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12480000
RPRNMLMKQHOFFFE78CA,大智段協和小段,19.59,都市：住,10000,104,持分移轉,01440000
RPPOMLTKQHOFFEE66CA,藍田西段,6.72,都市：商,10000,20,持分移轉,01440000
RPQOMLTKQHOFFEE76CA,藍田西段,5.71,都市：商,10000,17,持分移轉,01440000
RPTNMLNKQHOFFFE09CA,岡山段,70.00,都市：住,1,1,全筆移轉,06300020
RPOOMLNKQHOFFFE68CA,頂?田段一小段,2.75,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,10,持分移轉,07280002
RPOOMLNKQHOFFFE68CA,典寶段,.06,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,10,持分移轉,04420000
RPOOMLNKQHOFFFE68CA,典寶段,4.61,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,10,持分移轉,04430000
RPPNMLPKQHOFFFE88CA,頂蚵子寮段,88.00,都市：住,1,1,全筆移轉,00150316
RPVNMLQKQHOFFFE96CA,介壽段,10.50,都市：其他:都市計畫道路用地,4,1,持分移轉,13550000
RPVNMLQKQHOFFFE96CA,介壽段,38.00,都市：住,4,1,持分移轉,13580000
RPWNMLQKQHOFFFE07CA,介壽段,1.17,都市：其他:都市計畫道路用地,36,1,持分移轉,13550000
RPWNMLQKQHOFFFE07CA,介壽段,4.22,都市：住,36,1,持分移轉,13580000
RPXNMLQKQHOFFFE17CA,介壽段,2.33,都市：其他:都市計畫道路用地,18,1,持分移轉,13550000
RPXNMLQKQHOFFFE17CA,介壽段,8.44,都市：住,18,1,持分移轉,13580000
RPPNMLQKQHOFFFE98CA,頂?田段,2310.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,21910000
RPPNMLQKQHOFFFE98CA,頂?田段,2310.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,21920000
RPSNMLMLQHOFFFE98CA,嘉興段,42.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,23450000
RPSNMLMLQHOFFFE98CA,嘉興段,8.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,23540000
RPUOMLMLQHOFFFE66CA,灣裡段,201.70,都市：工,10000,2642,持分移轉,12510000
RPUOMLMLQHOFFFE66CA,灣裡段,2181.76,都市：工,1,1,全筆移轉,12510001
RPQPMLLLQHOFFFE88CA,後壁田段,17.04,都市：商,100000,132,持分移轉,00610000
RPPPMLLLQHOFFFE78CA,後壁田段,16.39,都市：商,100000,127,持分移轉,00610000
RPSNMLNJRHOFFEE88CA,清豐段,9.33,都市：商,10000,32,持分移轉,04210000
RPQNMLOJRHOFFBE48CA,苓洲段,1.74,都市：商,10000,111,持分移轉,16260000
RPTNMLKMQHOFFAE48CA,青海段,19.09,都市：住,100000,192,持分移轉,00610000
RPUNMLNLQHOFFEE56CA,菜公段二小段,14.51,都市：住,100000,405,持分移轉,05960000
RPUNMLNLQHOFFEE56CA,菜公段二小段,.11,都市：其他:道路用地,100000,405,持分移轉,05960001
RPPNMLMKQHOFFGE68CA,竹子腳段,.61,都市：住,10000,227,持分移轉,01200009
RPPNMLMKQHOFFGE68CA,竹子腳段,22.70,都市：住,10000,227,持分移轉,01480000
RPXNMLMKQHOFFGE86CA,赤山段,18.63,都市：住,10000,50,持分移轉,03580002
RPXNMLMKQHOFFGE86CA,赤山段,.02,都市：其他:道路用地,10000,50,持分移轉,03580022
RPOOMLMKQHOFFGE68CA,五甲段,113.00,都市：住,1,1,全筆移轉,15320000
RPROMLNKQHOFFGE09CA,保成段,282.37,都市：住,1,1,全筆移轉,01040000
RPTOMLNKQHOFFGE66CA,水寮段,500.83,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,08880000
RPTNMLOKQHOFFGE66CA,華鳳段,9.66,都市：住,20000,34,持分移轉,01440000
RPTNMLOKQHOFFGE66CA,華鳳段,.44,都市：住,20000,34,持分移轉,01440001
RPPNMLPKQHOFFGE98CA,竹子腳段,.25,都市：住,10000,94,持分移轉,01200009
RPPNMLPKQHOFFGE98CA,竹子腳段,9.40,都市：住,10000,94,持分移轉,01480000
RPQNMLQKQHOFFGE56CA,中崙段,33.95,都市：住,100000,54,持分移轉,00150000
RPQNMLQKQHOFFGE56CA,中崙段,.07,都市：住,625000000,715,持分移轉,00150000
RPUNMLTKQHOFFGE27CA,水寮段,67.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12500018
RPUNMLTKQHOFFGE27CA,水寮段,14.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,579,持分移轉,12500029
RPRNMLKKRHOFFFE68CA,後壁田段,21.61,都市：住,10000,30,持分移轉,03570000
RPQNMLKKRHOFFFE58CA,後壁田段,18.73,都市：住,10000,26,持分移轉,03570000
RPSNMLKKRHOFFFE78CA,後壁田段,10.81,都市：住,10000,15,持分移轉,03570000
RPVOMLTKQHOFFGE47CA,竹子腳段,6.18,都市：住,10000,13,持分移轉,02830019
RPSNMLLLQHOFFGE98CA,新甲段,17.48,都市：住,10000,124,持分移轉,10190003
RPXNMLSLQHOFFGE57CA,鳳甲段,43.41,都市：住,1,1,全筆移轉,00170003
