鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
嘉義市,房地(土地+建物),嘉義市嘉義市嘉北街１２巷２１號七樓４,17.16,住,,,1080520,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791015,144.39,3,2,2,有,有,3420000,23686,,0.0,0,,RPPNMLNKQHOFFAI58CA,71.76,52.45,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義市民國路２６９之１號三樓之３,17.7,住,,,1080524,土地1建物1車位0,三層,五層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1071211,54.25,1,1,1,有,無,3525000,64977,,0.0,0,,RPQNMLNKQHOFFAI68CA,38.94,0.0,5.18,,
嘉義市,房地(土地+建物),嘉義市嘉義市民國路２６９之１號四樓之３,17.7,住,,,1080709,土地1建物1車位0,四層,五層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1071211,54.25,1,1,1,有,無,4200000,77419,,0.0,0,,RPSNMLNKQHOFFAI88CA,38.94,0.0,5.18,,
嘉義市,土地,湖子內段湖美小段214-1地號,198.35,商,,,1080705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9900000,49912,,0.0,0,,RPVNMLNKQHOFFAI56CA,0.0,0.0,0.0,,
嘉義市,土地,湖子內段興安小段324地號,468.37,住,,,1080717,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24000000,51242,,0.0,0,,RPVOMLKLQHOFFAI09CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義市成功街１６號之１,83.0,住,,,1080529,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0620601,112.48,6,1,4,有,無,5000000,44452,,0.0,0,親友、員工或其他特殊關係間之交易。；本買賣案件係屬二等親間特殊交易其交易價格可能易於市場正常交易價格,RPPOMLMKQHOFFAI78EA,112.48,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義市成功街１６號,81.0,住,,,1080529,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0620601,112.48,6,1,4,有,無,5000000,44452,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQOMLMKQHOFFAI88EA,112.48,0.0,0.0,,
嘉義市,土地,湖子內段新民小段387地號,1043.68,其他,,,1080729,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35500000,34014,,0.0,0,向政府機關承購之案件。；,RPPOMLRLQHOFFAI76EA,0.0,0.0,0.0,,
嘉義市,土地,育人段917-2地號,51.35,住,,,1080723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,315000,6134,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPXOMLKLQHOFFAI66CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義市南興路２１６巷１５號,120.33,住,,,1080715,土地3建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1080128,197.59,5,3,4,有,無,12200000,61744,,0.0,0,,RPWNMLNKQHOFFAI66CA,182.08,0.0,15.51,,
嘉義市,土地,榮段四小段54-5地號,82.0,商,,,1080729,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3385000,41280,,0.0,0,,RPUOMLNKQHOFFAI56CA,0.0,0.0,0.0,,
嘉義市,土地,埤子頭段401-162地號,39.0,住,,,1080730,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,520000,13333,,0.0,0,部分土地遭鄰地占用。,RPPNMLQKQHOFFAI88CA,0.0,0.0,0.0,,
嘉義市,土地,湖子內段湖美小段466-1地號,1440.01,其他,,,1080802,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,41391001,28744,,0.0,0,,RPRNMLSKQHOFFAI66CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義市文化路４３２巷５２號５樓２,25.18,住,,,1080708,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801125,137.51999999999998,3,2,2,有,有,4350000,31632,,0.0,0,,RPOPMLNLQHOFFAI78CA,109.47,0.0,10.41,,
嘉義市,土地,湖子內段興安小段167-1地號,184.41,住,,,1080722,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14500000,78629,,0.0,0,,RPSPMLNLQHOFFAI56CA,0.0,0.0,0.0,,
嘉義市,房地(土地+建物),嘉義市嘉義市文雅街１５０巷２１之１號,139.9,住,,,1080719,土地2建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1070917,344.4,3,3,5,有,有,28000000,81301,,0.0,0,,RPWOMLRLQHOFFAI27CA,323.35,0.0,20.8,,
