編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQPMLNKQHOFFBJ66CC,9,112.80,商業用,鋼筋混凝土造,99年5月26日,六層,
RPQPMLNKQHOFFBJ66CC,9,90.94,本共有部分之項目有防空避難室、停車空間、管理員室、梯間、機房、水塔等六項。,鋼筋混凝土造,99年5月26日,六層,
RPTNMLTKQHOFFBJ37CC,14,88.46,住家用,鋼筋混凝土造,94年8月31日,十二層,
RPTNMLTKQHOFFBJ37CC,14,19.36,共用部分,鋼筋混凝土造,94年8月31日,十二層,
RPTNMLTKQHOFFBJ37CC,14,12.98,共用部分,鋼筋混凝土造,94年8月31日,十二層,
RPTNMLTKQHOFFBJ37CC,14,.12,守衛室,鋼筋混凝土造,94年8月31日,十二層,
RPTNMLTKQHOFFBJ37CC,14,19.76,共用部分,鋼筋混凝土造,94年8月31日,十二層,
RPOPMLQKQHOFFBJ76CC,14,113.42,住家用,鋼筋混凝土造,94年10月5日,十四層,
RPOPMLQKQHOFFBJ76CC,14,21.17,共用部分,鋼筋混凝土造,94年10月5日,二十一層,
RPOPMLQKQHOFFBJ76CC,14,13.22,共用部分,鋼筋混凝土造,94年10月5日,二十一層,
RPUOMLQKQHOFFBJ27CC,8,117.97,住家用,鋼筋混凝土造,100年11月28日,十九層,
RPUOMLQKQHOFFBJ27CC,8,28.47,本共有部分之項目有樓梯間、水箱、機房等３項,鋼筋混凝土造,100年11月28日,十九層,
RPUOMLQKQHOFFBJ27CC,8,80.34,本共有部份之項目有防空避難室兼停車空間、樓梯間、水箱、機房、停車空間及供公眾停車空間、管理員室、頂蓋型廣場式開放空間、健身娛樂室等８項,鋼筋混凝土造,100年11月28日,十九層,
RPTNMLMLQHOFFDJ96CC,25,193.55,住商用,鋼筋混凝土造,83年4月26日,四層,
RPVOMLQKQHOFFBJ37CC,3,73.17,住家用,鋼筋混凝土造,105年7月29日,十四層,
RPVOMLQKQHOFFBJ37CC,3,63.59,本共有部分之項目有停車空間兼防空避難室、開放空間、公共服務空間、管理室、樓梯間、水箱、機房等七項。,鋼筋混凝土造,105年7月29日,十四層,
RPWOMLNLQHOFFBJ27CC,24,80.61,住家用,鋼筋混凝土造,84年6月29日,五層,
RPWOMLNLQHOFFBJ27CC,24,12.67,共用部分,鋼筋混凝土造,84年6月29日,五層,
RPOPMLLLQHOFFBJ98CC,14,116.25,住家用,鋼筋混凝土造,94年9月23日,十四層,
RPOPMLLLQHOFFBJ98CC,14,19.84,共用部分,鋼筋混凝土造,94年9月23日,十四層,
RPOPMLLLQHOFFBJ98CC,14,21.06,共用部分,鋼筋混凝土造,94年9月23日,十五層,
RPOSMLRLQHOFFBJ27CC,4,94.65,商業用,鋼筋混凝土造,104年6月24日,十四層,
RPOSMLRLQHOFFBJ27CC,4,49.59,本共有部分之項目有停車空間、防空避難室兼停車空間、台電配電室、開放空間、公共服務空間、樓梯間、水錶室、水箱、機械室等九項,鋼筋混凝土造,104年6月24日,十四層,
RPOOMLKMQHOFFBJ88CC,2,100.38,住家用,鋼筋混凝土造,106年11月29日,十七層,
RPOOMLKMQHOFFBJ88CC,2,18.05,本共有部分之項目有停車空間、大廳、公共服務空間等三項。,鋼筋混凝土造,106年11月29日,十七層,
RPOOMLKMQHOFFBJ88CC,2,33.01,本共有部分之項目有樓梯間、機電設備空間、水箱、附屬中繼機房等四項。,鋼筋混凝土造,106年11月29日,十七層,
RPOOMLKMQHOFFBJ88CC,2,38.62,本共有部分之項目有停車空間、防空避難室兼停車空間等二項。,鋼筋混凝土造,106年11月29日,十七層,
RPUOMLLLQHOFFBJ86CC,8,63.83,住家用,鋼筋混凝土造,100年7月7日,十五層,
RPUOMLLLQHOFFBJ86CC,8,42.25,本共有部分之項目有開放空間、社區中心、梯間、防空避難室、停車空間、車道、冷藏室、前廊等八項。,鋼筋混凝土造,100年7月7日,十五層,
RPQNMLLJRHOFFBJ88CC,11,152.14,商業用,鋼筋混凝土造,97年3月21日,十四層,
RPUOMLLLQHOFFBJ86CC,8,18.38,本共有部分之項目有梯間等一項,鋼筋混凝土造,100年7月7日,十五層,
RPQNMLLJRHOFFBJ88CC,11,15.64,共用部分,鋼筋混凝土造,97年3月21日,十四層,
RPQNMLLJRHOFFBJ88CC,11,33.30,共用部分,鋼筋混凝土造,97年3月21日,十四層,
RPXNMLRLQHOFFBJ67CC,,15.35,住家用,加強磚造,,二層,
RPPPMLLLQHOFFBJ09CC,8,100.96,住家用,鋼筋混凝土造,100年8月5日,十四層,
RPPPMLLLQHOFFBJ09CC,8,29.28,本共有部分之項目有垃圾處理室、車道、公共服務空間、機械室、水箱、梯間及管委會使用空間、廣場式頂蓋型開放空間等八項,鋼筋混凝土造,100年8月5日,十四層,
RPPPMLLLQHOFFBJ09CC,8,10.73,本共有部分之項目有防空避難室、停車空間等二項,鋼筋混凝土造,100年8月5日,十四層,
RPUOMLMLQHOFFBJ96CC,15,37.26,住商用,鋼筋混凝土造,93年6月11日,十四層,
RPUOMLMLQHOFFBJ96CC,15,6.27,共用部分,鋼筋混凝土造,93年6月11日,十四層,
RPUOMLMLQHOFFBJ96CC,15,10.52,共用部分,鋼筋混凝土造,93年6月11日,十四層,
RPWOMLLLQHOFFBJ07CC,11,119.92,住家用,鋼筋混凝土造,98年1月13日,十四層,
RPWOMLLLQHOFFBJ07CC,11,115.37,共用部分,鋼筋混凝土造,98年1月13日,十四層,
RPRNMLLJRHOFFBJ98CC,14,70.30,住家用,鋼筋混凝土造,94年11月14日,十五層,
RPRNMLLJRHOFFBJ98CC,14,41.23,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPRNMLLJRHOFFBJ98CC,14,14.83,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPXOMLLLQHOFFBJ17CC,14,59.43,商業用,鋼筋混凝土造,94年7月21日,十層,
RPXOMLLLQHOFFBJ17CC,14,11.74,共用部分,鋼筋混凝土造,94年7月21日,十層,
RPXOMLLLQHOFFBJ17CC,14,5.55,共用部分,鋼筋混凝土造,94年7月21日,十層,
RPVNMLLJRHOFFBJ76CC,13,164.00,住家用,鋼筋混凝土造,95年9月29日,二十層,
RPVNMLLJRHOFFBJ76CC,13,41.42,共用部分,鋼筋混凝土造,95年9月29日,二十層,
RPVNMLLJRHOFFBJ76CC,13,24.87,共用部分,鋼筋混凝土造,95年9月29日,二十層,
RPTNMLLJRHOFFBJ56CC,14,31.09,住家用,鋼筋混凝土造,94年11月14日,十五層,
RPTNMLLJRHOFFBJ56CC,14,3.73,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPTNMLLJRHOFFBJ56CC,14,6.56,共用部分,鋼筋混凝土造,94年11月14日,十五層,
RPPOMLNJRHOFFDJ66CC,4,20.26,住宅、停車空間、樓梯間,鋼筋混凝土造,104年8月21日,四層,
RPQOMLNJRHOFFDJ76CC,4,20.27,住宅、停車空間、樓梯間,鋼筋混凝土造,104年8月21日,四層,
RPSOMLNJRHOFFDJ96CC,22,26.59,住商用,鋼筋混凝土造,87年1月2日,三層,
RPRNMLQJRHOFFBJ86CC,,147.48,住家用,鋼筋混凝土造,,三層,
RPXNMLLJRHOFFBJ96CC,11,132.19,住家用,鋼筋混凝土造,97年4月18日,12,
RPXNMLLJRHOFFBJ96CC,11,24.59,共用部分,鋼筋混凝土造,97年4月18日,十二層,
RPXNMLLJRHOFFBJ96CC,11,71.14,共用部分,鋼筋混凝土造,97年4月18日,十四層,
RPVPMLOJRHOFFBJ27CC,21,146.11,商業用,見使用執照,87年9月22日,二層,
RPPPMLMJRHOFFBJ09CC,16,98.90,住家用,鋼筋混凝土造,92年7月24日,十層,
RPPPMLMJRHOFFBJ09CC,16,12.55,共用部分,鋼筋混凝土造,92年7月24日,十層,
RPPPMLMJRHOFFBJ09CC,16,45.06,共用部分,鋼筋混凝土造,92年7月24日,十層,
RPPPMLMJRHOFFBJ09CC,16,.06,守衛室,鋼筋混凝土造,92年7月24日,十層,
RPPPMLMJRHOFFBJ09CC,16,.01,共用部分,鋼筋混凝土造,92年7月24日,十層,
RPTNMLQJRHOFFBJ07CC,11,27.37,商業用,鋼筋混凝土造,97年3月10日,十層,
RPTNMLQJRHOFFBJ07CC,11,39.91,共用部分,鋼筋混凝土造,97年3月10日,十層,
RPROMLNJRHOFFBJ66CC,6,69.60,住家用,鋼筋混凝土造,103年1月27日,十四層,
RPROMLNJRHOFFBJ66CC,6,67.90,本共有部分之項目有防空避難室兼停車空間、特別安全梯、連續性前廊、管委會使用空間、安全梯、排煙室、梯間、機械室、造型牆、水箱等十項。,鋼筋混凝土造,103年1月27日,十四層,
RPRNMLNJRHOFFBJ56CC,14,128.64,住商用,鋼筋混凝土造,94年5月19日,四層,
RPSOMLNJRHOFFBJ76CC,12,48.14,住家用,鋼筋混凝土造,96年12月28日,九層,
RPSOMLNJRHOFFBJ76CC,12,48.80,共用部分,鋼筋混凝土造,96年12月28日,九層,
RPSOMLNJRHOFFBJ76CC,12,10.40,共用部分,鋼筋混凝土造,96年12月28日,九層,
RPXOMLLKRHOFFBJ17CC,2,184.36,住商用,鋼筋混凝土造,106年3月21日,四層,
RPXNMLRKRHOFFDJ87CC,4,20.27,住宅、停車空間、樓梯間,鋼筋混凝土造,104年8月21日,四層,
RPTOMLRKRHOFFDJ57CC,4,20.27,住宅、停車空間、樓梯間,鋼筋混凝土造,104年8月21日,四層,
RPTNMLSKRHOFFBJ57EC,10,378.89,商業用,鋼筋混凝土造,99年1月6日,二十層,
