編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQQMLOKIIOFFFK56CB,仁愛段,.21,非都市： ; 非都市編定：,10000,61,持分移轉,00490000
RPXPMLOKIIOFFFK17CB,仁愛段,.16,非都市： ; 非都市編定：,10000,53,持分移轉,00490000
RPPQMLOKIIOFFFK09CB,仁愛段,.13,非都市： ; 非都市編定：,10000,49,持分移轉,00490000
RPTQMLOKIIOFFFK86CB,仁愛段,.06,非都市： ; 非都市編定：,10000,32,持分移轉,00490000
RPSQMLOKIIOFFFK76CB,仁愛段,.16,非都市： ; 非都市編定：,10000,53,持分移轉,00490000
RPWQMLOKIIOFFFK17CB,仁愛段,.16,非都市： ; 非都市編定：,10000,53,持分移轉,00490000
RPORMLOKIIOFFFK09CB,仁愛段,.25,非都市： ; 非都市編定：,10000,67,持分移轉,00490000
RPPRMLOKIIOFFFK56CB,仁愛段,.16,非都市： ; 非都市編定：,10000,53,持分移轉,00490000
RPUQMLOKIIOFFFK96CB,仁愛段,.15,非都市： ; 非都市編定：,10000,52,持分移轉,00490000
RPQRMLOKIIOFFFK66CB,仁愛段,.21,非都市： ; 非都市編定：,10000,61,持分移轉,00490000
RPSRMLOKIIOFFFK86CB,仁愛段,.25,非都市： ; 非都市編定：,10000,67,持分移轉,00490000
RPRRMLOKIIOFFFK76CB,仁愛段,.13,非都市： ; 非都市編定：,10000,49,持分移轉,00490000
RPVQMLOKIIOFFFK07CB,仁愛段,.21,非都市： ; 非都市編定：,10000,61,持分移轉,00490000
RPTRMLOKIIOFFFK96CB,仁愛段,.13,非都市： ; 非都市編定：,10000,49,持分移轉,00490000
RPVRMLOKIIOFFFK17CB,仁愛段,.25,非都市： ; 非都市編定：,10000,67,持分移轉,00490000
RPURMLOKIIOFFFK07CB,仁愛段,.13,非都市： ; 非都市編定：,10000,49,持分移轉,00490000
RPXQMLOKIIOFFFK27CB,仁愛段,.21,非都市： ; 非都市編定：,10000,61,持分移轉,00490000
RPXRMLOKIIOFFFK37CB,仁愛段,.25,非都市： ; 非都市編定：,10000,67,持分移轉,00490000
RPQSMLOKIIOFFFK76CB,仁愛段,.25,非都市： ; 非都市編定：,10000,67,持分移轉,00490000
RPPSMLOKIIOFFFK66CB,仁愛段,.16,非都市： ; 非都市編定：,10000,53,持分移轉,00490000
RPOSMLOKIIOFFFK56CB,仁愛段,.16,非都市： ; 非都市編定：,10000,53,持分移轉,00490000
RPWRMLOKIIOFFFK27CB,仁愛段,.25,非都市： ; 非都市編定：,10000,68,持分移轉,00490000
RPRSMLOKIIOFFFK86CB,仁愛段,.13,非都市： ; 非都市編定：,10000,49,持分移轉,00490000
RPSSMLOKIIOFFFK96CB,仁愛段,.13,非都市： ; 非都市編定：,10000,49,持分移轉,00490000
RPTSMLOKIIOFFFK07CB,仁愛段,.16,非都市： ; 非都市編定：,10000,53,持分移轉,00490000
RPUSMLOKIIOFFFK17CB,仁愛段,.16,非都市： ; 非都市編定：,10000,53,持分移轉,00490000
RPWSMLOKIIOFFFK37CB,仁愛段,.06,非都市： ; 非都市編定：,10000,33,持分移轉,00490000
RPVSMLOKIIOFFFK27CB,仁愛段,.16,非都市： ; 非都市編定：,10000,53,持分移轉,00490000
RPXSMLOKIIOFFFK47CB,仁愛段,.25,非都市： ; 非都市編定：,10000,67,持分移轉,00490000
RPRTMLOKIIOFFFK96CB,仁愛段,.16,非都市： ; 非都市編定：,10000,53,持分移轉,00490000
RPSTMLOKIIOFFFK07CB,仁愛段,.16,非都市： ; 非都市編定：,10000,54,持分移轉,00490000
RPUTMLOKIIOFFFK27CB,仁愛段,.13,非都市： ; 非都市編定：,10000,49,持分移轉,00490000
RPWTMLOKIIOFFFK47CB,仁愛段,.25,非都市： ; 非都市編定：,10000,67,持分移轉,00490000
RPOQMLOKIIOFFFK98CB,仁愛段,.25,非都市： ; 非都市編定：,10000,67,持分移轉,00490000
RPRQMLOKIIOFFFK66CB,仁愛段,.16,非都市： ; 非都市編定：,10000,53,持分移轉,00490000
RPVTMLOKIIOFFFK37CB,仁愛段,.25,非都市： ; 非都市編定：,10000,67,持分移轉,00490000
RPOTMLOKIIOFFFK66CB,仁愛段,.26,非都市： ; 非都市編定：,10000,69,持分移轉,00490000
RPQUMLOKIIOFFFK96CB,仁愛段,.16,非都市： ; 非都市編定：,10000,53,持分移轉,00490000
RPOUMLOKIIOFFFK76CB,仁愛段,.25,非都市： ; 非都市編定：,10000,67,持分移轉,00490000
RPPUMLOKIIOFFFK86CB,仁愛段,.21,非都市： ; 非都市編定：,10000,61,持分移轉,00490000
RPPTMLOKIIOFFFK76CB,仁愛段,.16,非都市： ; 非都市編定：,10000,53,持分移轉,00490000
RPQTMLOKIIOFFFK86CB,仁愛段,.21,非都市： ; 非都市編定：,10000,61,持分移轉,00490000
RPSUMLOKIIOFFFK17CB,仁愛段,.16,非都市： ; 非都市編定：,10000,53,持分移轉,00490000
RPUUMLOKIIOFFFK37CB,仁愛段,.13,非都市： ; 非都市編定：,10000,49,持分移轉,00490000
RPTTMLOKIIOFFFK17CB,仁愛段,.25,非都市： ; 非都市編定：,10000,67,持分移轉,00490000
RPRUMLOKIIOFFFK07CB,仁愛段,.16,非都市： ; 非都市編定：,10000,53,持分移轉,00490000
RPVUMLOKIIOFFFK47CB,仁愛段,.16,非都市： ; 非都市編定：,10000,53,持分移轉,00490000
RPWUMLOKIIOFFFK57CB,仁愛段,.13,非都市： ; 非都市編定：,10000,49,持分移轉,00490000
