編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVOMLOKQHOFFAU97CA,8,287.67,住家用,鋼筋混凝土造,100年8月9日,三層,一層 二層 三層 陽台
RPQNMLNKQHOFFAU27CA,32,90.16,住家用,鋼筋混凝土造,76年10月8日,二層,一層 二層 陽台
RPPOMLOKQHOFFAU37CA,33,79.29,住家用,鋼筋混凝土造,75年11月11日,二層,一層 二層 陽台
RPSOMLMKQHOFFAU47CA,24,134.95,鄉村住宅,鋼筋混凝土造,84年9月12日,一層,一層
RPSNMLOKQHOFFAU57CA,26,54.16,住家用,鋼筋混凝土造,82年10月29日,五層,五層 陽台
RPSNMLOKQHOFFAU57CA,26,10.75,共有部份,鋼筋混凝土造,82年10月29日,五層,
RPTNMLKLQHOFFCU57CA,,125.62,住家用,木造,,一層,一層
RPUOMLOKQHOFFAU97DA,27,132.20,住家用,鋼筋混凝土造,81年9月22日,二層,一層 二層 陽台 屋頂突出物 見其他登記事項
RPXNMLPKQHOFFAU18CA,25,31.75,商業用,鋼筋混凝土造,83年6月30日,十二層,六層 陽台
RPXNMLPKQHOFFAU18CA,25,4.84,共有部份,鋼筋混凝土造,83年6月30日,十二層,
RPXNMLPKQHOFFAU18CA,25,7.74,共有部份,鋼筋混凝土造,83年6月30日,十二層,
RPRPMLOKQHOFFAU67CA,22,93.72,住家用,鋼筋混凝土造,86年8月27日,九層,八層 九層 陽台 花台
RPRPMLOKQHOFFAU67CA,22,15.47,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPRPMLOKQHOFFAU67CA,22,12.64,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPRPMLOKQHOFFAU67CA,22,4.42,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPVNMLPKQHOFFAU97CA,46,147.44,住商用,鋼筋混凝土加強磚造,62年11月26日,二層,一層 二層 騎樓 電梯樓梯間
RPXOMLPKQHOFFAU28CA,25,85.06,住家用,鋼筋混凝土造,83年10月26日,九層,四層 陽台 花台
RPXOMLPKQHOFFAU28CA,25,6.85,共有部份,鋼筋混凝土造,83年10月26日,九層,
RPXOMLPKQHOFFAU28CA,25,21.02,共有部份,鋼筋混凝土造,83年10月26日,九層,
RPRNMLTKQHOFFAU97CA,31,246.26,住商用,鋼筋混凝土造,78年1月12日,四層,一層 二層 三層 四層 陽台 騎樓
RPQNMLOKQHOFFAU37CA,16,100.43,住家用,鋼筋混凝土造,91年11月21日,十一層,七層 陽台
RPQNMLOKQHOFFAU37CA,16,66.82,共有部份,鋼筋混凝土造,91年11月21日,十一層,
RPOPMLOKQHOFFAU37CA,25,158.89,住商用,鋼筋混凝土造,84年1月14日,七層,一層 二層 陽台 平台 花台
RPOPMLOKQHOFFAU37CA,25,39.70,共有部份,鋼筋混凝土造,84年1月14日,七層,
RPQNMLNLQHOFFAU37CA,59,48.40,住家用,鋼筋混凝土加強磚造,49年12月9日,二層,一層 二層
RPQNMLQKQHOFFAU57CA,14,155.96,住家用,鋼筋混凝土造,94年7月19日,三層,一層 二層 三層 陽台
RPTOMLMLQHOFFAU67CA,46,18.35,住家用,磚石造、加強磚造,,一層,一層
RPWNMLTKQHOFFAU48CA,39,92.87,住商用,鋼筋混凝土加強磚造,69年5月19日,二層,一層 二層 屋頂突出物 騎樓
RPOOMLPKQHOFFAU37CA,26,102.03,住家用,鋼筋混凝土造,82年10月6日,六層,五層 陽台
RPOOMLPKQHOFFAU37CA,26,37.62,共有部份,鋼筋混凝土造,82年10月6日,六層,
RPQNMLKLQHOFFAU07CA,40,117.78,住商用,鋼筋混凝土造,67年12月28日,二層,一層 二層 屋頂突出物 騎樓
RPPOMLPKQHOFFAU47CA,3,193.34,住家用,鋼筋混凝土造,105年6月17日,四層,一層 二層 三層 四層 陽台
RPQPMLRLQHOFFAU97CA,38,358.68,住商用,鋼筋混凝土造,70年2月28日,三層,一層 二層 三層 防空避難室 屋頂突出物 騎樓
RPPOMLMJRHOFFAU17CA,20,17.80,住家用,鋼筋混凝土造,88年11月25日,六層,六層 陽台
RPWNMLPKQHOFFAU08CA,,72.17,集合住宅,鋼筋混凝土造,108年5月2日,五層,五層 陽台
RPPOMLMJRHOFFAU17CA,20,15.03,共有部份,鋼筋混凝土造,88年11月25日,六層,
RPWNMLPKQHOFFAU08CA,,23.61,本共有部分之項目有門廊、梯廳及樓梯間等３項,鋼筋混凝土造,108年5月2日,五層,
RPQOMLMJRHOFFAU27CA,25,82.41,住家用,鋼筋混凝土造,83年11月3日,六層,三層 陽台
RPQOMLMJRHOFFAU27CA,25,30.77,共有部份,鋼筋混凝土造,83年11月3日,六層,
RPWOMLPKQHOFFAU18CA,17,100.48,住家用,鋼筋混凝土造,91年11月21日,十一層,三層 陽台
RPWOMLPKQHOFFAU18CA,17,66.88,共有部份,鋼筋混凝土造,91年11月21日,十一層,
RPRNMLOKQHOFFCU67CA,2,218.14,住家用,鋼筋混凝土造,107年1月18日,三層,一層 二層 三層 陽台 屋頂突出物
RPPNMLQKQHOFFAU67EA,34,47.56,住家用,鋼筋混凝土造,74年4月10日,五層,四層
RPPNMLQKQHOFFAU67EA,34,3.43,共有部份,鋼筋混凝土造,74年4月10日,五層,
RPPNMLTKQHOFFBU87CA,33,129.61,住商用,鋼筋混凝土加強磚造,75年12月3日,二層,一層 二層 屋頂突出物 騎樓
RPWOMLMJRHOFFAU87CA,14,210.68,住家用,鋼筋混凝土造,94年2月23日,四層,一層 二層 三層 四層 陽台
RPPNMLLMQHOFFAU17CA,44,439.12,店舖、住宅,鋼筋混凝土造,64年10月15日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPRNMLKLQHOFFAU17CA,19,109.36,住家用,鋼筋混凝土造,89年6月9日,七層,四層 陽台
RPRNMLKLQHOFFAU17CA,19,22.07,共有部份,鋼筋混凝土造,89年6月9日,七層,
RPRNMLKLQHOFFAU17CA,19,56.21,共有部份,鋼筋混凝土造,89年6月9日,七層,
RPSNMLQKQHOFFAU77CA,4,299.95,住家用,鋼筋混凝土造,105年1月20日,四層,一層 二層 三層 四層 陽台
RPWNMLQJRHOFFCU38CA,37,143.50,人行、店舖、住宅,鋼筋混凝土加強磚造,71年2月20日,二層,一層 二層 陽台 屋頂突出物 騎樓
RPTOMLPKQHOFFAU87CA,26,154.54,住家用,鋼筋混凝土造,82年10月29日,三層,一層 二層 三層 陽台
RPUOMLTKQHOFFAU38CA,3,275.12,住家用,鋼筋混凝土造,105年2月19日,四層,一層 二層 三層 四層 陽台
RPVOMLLLQHOFFAU77CA,27,98.00,住家用,鋼筋混凝土造,81年11月20日,五層,二層 陽台
RPVOMLLLQHOFFAU77CA,27,6.28,共有部份,鋼筋混凝土造,81年11月20日,五層,
RPVOMLLLQHOFFAU77CA,27,1.22,共有部份,鋼筋混凝土造,81年11月20日,五層,
RPVOMLLLQHOFFAU77CA,27,16.36,共有部份,鋼筋混凝土造,81年11月20日,五層,
RPTOMLTKQHOFFAU28CA,2,270.89,住家用,鋼筋混凝土造,106年2月2日,四層,一層 二層 三層 四層 陽台
RPROMLTKQHOFFAU08CA,12,230.98,住家用,鋼筋混凝土造,96年4月25日,四層,一層 二層 三層 四層 陽台
RPTOMLKLQHOFFAU47CA,46,120.06,住家用,鋼筋混凝土造,62年5月21日,二層,一層 二層 騎樓
RPXNMLLLQHOFFAU87CA,1,53.05,集合住宅,鋼筋混凝土造,107年4月27日,十二層,七層 陽台
RPXNMLLLQHOFFAU87CA,1,12.09,本共有部份之項目有防空避難室兼停車空間、機電設備、騎樓、Ｆ梯安全梯、一樓梯廳、一樓門廳、管委會使用空間、車道、Ｃ棟垃圾處理區等９項。,鋼筋混凝土造,107年4月27日,十二層,
RPXNMLLLQHOFFAU87CA,1,15.67,共有部份,鋼筋混凝土造,107年4月27日,十二層,
RPQOMLKLQHOFFAU17CA,29,126.25,住家用,鋼筋混凝土造,79年8月27日,二層,一層 二層 陽台 屋頂突出物
RPQNMLMJRHOFFAU17CA,29,406.06,住商用,鋼筋混凝土造,78年10月30日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPTOMLQLQHOFFAU08CA,35,112.43,住家用,鋼筋混凝土加強磚造,74年1月1日,二層,一層 二層
RPROMLQLQHOFFAU87CA,31,46.13,住家用,鋼筋混凝土造,77年2月8日,六層,五層 陽台
RPROMLQLQHOFFAU87CA,31,13.44,共有部份,鋼筋混凝土造,77年2月8日,六層,
RPRNMLLLQHOFFCU47CA,86,136.23,住家用,木造,23年1月1日,一層,一層
RPPNMLRLQHOFFAU67CA,20,120.96,住家用,鋼筋混凝土造,88年4月14日,五層,五層 陽台 雨遮
RPPNMLRLQHOFFAU67CA,20,12.91,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPPNMLRLQHOFFAU67CA,20,8.26,共有部份,鋼筋混凝土造,88年4月14日,五層,
RPWNMLLKRHOFFAU77CA,38,109.66,住商用,鋼筋混凝土加強磚造,70年1月29日,二層,一層 二層 騎樓
RPOPMLRLQHOFFAU77CA,43,96.11,住商用,鋼筋混凝土造,66年1月8日,二層,一層 二層 騎樓
RPSNMLMJRHOFFAU37CA,35,99.23,住家用,鋼筋混凝土加強磚造,73年12月11日,二層,一層 二層
