編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLNLQHOFFAU47CA,坡道平面,550000,14.46,
RPRNMLNLQHOFFAU47CA,坡道機械,0,7.23,
RPSPMLLLQHOFFAU57CA,坡道平面,1700000,34.90,
RPOOMLLLQHOFFAU07CA,一樓平面,0,13.74,
RPQOMLRLQHOFFAU87CA,坡道機械,0,,
RPQOMLRLQHOFFAU87CA,坡道機械,0,,
RPWQMLQJRHOFFAU48CA,一樓平面,0,13.39,
RPRNMLTLQHOFFAU08CA,一樓平面,0,13.39,
RPPOMLSLQHOFFAU87CA,坡道平面,1500000,25.29,
RPOPMLKMQHOFFAU17CA,一樓平面,0,18.46,
RPTPMLTJRHOFFAU38CA,坡道平面,800000,23.36,
RPTPMLTJRHOFFAU38CA,坡道平面,900000,14.03,
RPWNMLTJRHOFFAU48CA,坡道平面,1000000,15.29,
RPXNMLTJRHOFFAU58CA,坡道平面,0,27.48,
RPQOMLTJRHOFFAU97CA,坡道平面,1000000,16.97,
RPOOMLTJRHOFFAU77CA,坡道平面,950000,22.02,
RPROMLTJRHOFFAU08CA,坡道平面,0,17.23,
RPRPMLTJRHOFFAU18CA,坡道平面,1900000,34.90,
RPVOMLKKRHOFFAU67CA,坡道平面,0,18.99,
RPTOMLTKRHOFFAU38CA,坡道平面,920000,22.02,
RPQPMLTJRHOFFAU08CA,坡道平面,0,19.24,
RPWOMLTJRHOFFAU58CA,坡道平面,0,16.55,
RPSPMLTJRHOFFAU28CA,坡道平面,0,23.87,
RPTOMLTJRHOFFAU28CA,坡道平面,1200000,20.00,
RPUOMLTJRHOFFAU38CA,坡道平面,0,22.69,
RPVOMLTJRHOFFAU48CA,坡道平面,0,23.28,
RPSOMLTJRHOFFAU18CA,坡道平面,0,27.48,
RPTNMLTJRHOFFAU18CA,坡道平面,650000,17.23,
RPRNMLOJRHOFFAU47CA,一樓平面,0,13.51,
RPRNMLPJRHOFFAU57CA,坡道平面,0,14.30,
RPSNMLQLRHOFFAU97CA,坡道平面,1000000,14.03,
RPPPMLTJRHOFFAU97CA,坡道平面,0,19.50,
RPOPMLTJRHOFFAU87CA,坡道平面,0,15.04,
RPPRMLQJRHOFFAU87CA,坡道平面,0,,
RPSNMLQKRHOFFAU87CA,坡道平面,2000000,40.22,
RPXNMLQKRHOFFAU38CA,坡道平面,1700000,34.90,
RPXOMLPLRHOFFAU48CA,一樓平面,0,,
RPROMLQLRHOFFAU97CA,坡道平面,1700000,34.90,
RPXOMLNJIIOFFAU27CA,坡道平面,1000000,15.97,
RPVOMLPJIIOFFAU27CA,坡道平面,1700000,34.90,
RPUPMLPJIIOFFAU27CA,坡道平面,1650000,34.47,
RPSPMLPJIIOFFAU07CA,坡道平面,1700000,34.90,
RPWOMLPJIIOFFAU37CA,坡道平面,1700000,34.90,
RPQOMLRKIIOFFAU07CA,坡道平面,1500000,25.29,
RPPNMLTJIIOFFAU96CA,坡道平面,0,14.09,
RPTNMLOKIIOFFAU96CA,坡道平面,1700000,34.90,
RPPPMLRKIIOFFAU07CA,坡道平面,1700000,34.90,
RPXOMLRKIIOFFAU77CA,坡道平面,1700000,34.90,
RPROMLLLIIOFFAU66CA,一樓平面,0,13.40,
RPTOMLLLIIOFFAU96DA,坡道平面,500000,14.30,
RPSNMLMLJIOFFAU86CA,坡道平面,0,24.03,
RPXNMLPJJIOFFAU47CA,坡道平面,0,,
RPTOMLSJJIOFFAU47CA,一樓平面,0,13.39,
RPSOMLRJJIOFFAU27CA,坡道平面,1700000,34.90,
RPOOMLMKJIOFFAU09CA,其他,300000,23.53,
