編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWOMLMKJIOFFAA87CA,,109.36,,鋼筋混凝土造,,四層,三層 陽臺
RPQOMLPKJIOFFAA57CA,1,42.72,集合住宅,鋼筋混凝土造,108年1月24日,十層,五層 陽臺 雨遮
RPQOMLPKJIOFFAA57CA,1,16.50,共有部分，本共有部分之項目有乙梯、戶外安全梯、梯廳、行動不便兼戶外安全梯、甲梯、供行動不便者使用電梯、管委會空間、陽台、電錶室Ｂ、樓梯間、水箱室、水箱、機房、安全梯、水錶室、水箱機房等１６項。,鋼筋混凝土造,108年1月24日,十層,
RPQOMLPKJIOFFAA57CA,1,4.28,共有部分，本共有部分之項目有警衛室、污物處理室、機車停車空間、電信室、台電配電場所、機房、消防泵浦室、緊急發電機室等８項。,鋼筋混凝土造,108年1月24日,十層,
RPQOMLPKJIOFFAA57CA,1,16.80,共有部分，本共有部分之項目有防空避難室兼停車空間、停車空間等２項。,鋼筋混凝土造,108年1月24日,十層,
RPUOMLOKJIOFFAA87CA,1,143.23,集合住宅,鋼筋混凝土造,108年1月24日,十層,一層
RPUOMLOKJIOFFAA87CA,1,46.36,共有部分，本共有部分之項目有乙梯、戶外安全梯、梯廳、行動不便兼戶外安全梯、甲梯、供行動不便者使用電梯、管委會空間、陽台、電錶室Ｂ、樓梯間、水箱室、水箱、機房、安全梯、水錶室、水箱機房等１６項。,鋼筋混凝土造,108年1月24日,十層,
RPUOMLOKJIOFFAA87CA,1,15.20,共有部分，本共有部分之項目有警衛室、污物處理室、機車停車空間、電信室、台電配電場所、機房、消防泵浦室、緊急發電機室等８項。,鋼筋混凝土造,108年1月24日,十層,
RPRNMLNKJIOFFAA37CA,39,109.42,住家用,鋼筋混凝土造,69年10月7日,五層,三層 陽臺
RPVNMLNKJIOFFAA77CA,24,97.45,住家用,鋼筋混凝土造,84年7月17日,十一層,三層 陽臺 栽植槽
RPVNMLNKJIOFFAA77CA,24,39.13,見使用執照,鋼筋混凝土造,84年7月17日,十一層,
RPVNMLNKJIOFFAA77CA,24,26.95,見使用執照,鋼筋混凝土造,84年7月17日,十一層,
RPTNMLNJKIOFFAA57CA,50,97.41,住家用,加強磚造,58年7月15日,四層,四層 露台
RPTNMLPKJIOFFAA77CA,1,57.06,集合住宅,鋼筋混凝土造,107年10月23日,十二層,十層 陽臺 雨遮
RPTNMLPKJIOFFAA77CA,1,23.87,共有部分，「本共有部分之項目有：梯廳兼排煙室、門廳、騎樓、緊急昇降梯兼行動不便昇降梯、行動不便昇降梯、無障礙樓梯、戶外安全梯、停車空間、發電機房、停車場進風管道、管委會空間、管委會空間（無障礙廁所）、陽台、雨遮、機電空間、管道間、水箱、發電機排風管道、電信室、坡道、電錶室、台電配電室、通風機房、管道、安全梯、防空避難室兼停車空間、停車空間、蓄水池、排煙管道、進風管道、電梯昇降道、發電機排煙管道、無障礙機車位、機房、消防水箱、電梯機房、消防泵浦室／通風機房及排風機房等３８項」。,鋼筋混凝土造,107年10月23日,十二層,
RPTNMLPKJIOFFAA77CA,1,7.76,共有部分，「本共有部分之項目有：梯廳兼排煙室、門廳、門廊及管道間等４項」。,鋼筋混凝土造,107年10月23日,十二層,
RPVOMLLKJIOFFBA77CA,26,18.81,共有部分,鋼筋混凝土造,83年3月4日,十層,
RPVOMLLKJIOFFBA77CA,26,140.47,住家用,鋼筋混凝土造,83年3月4日,十層,六層 陽臺 花台
