鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北投區,房地(土地+建物)+車位,臺北市北投區清江里磺港路A-4F,23.99,住,,,1080521,土地15建物1車位1,四層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.75,3,2,2,有,無,30300000,177675,坡道平面,44.41,2700000,,RPTNMLPKJIOFFEA28CB
北投區,房地(土地+建物)+車位,臺北市北投區清江里磺港路A-5F,23.99,住,,,1080716,土地15建物1車位1,五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,196.04,3,2,2,有,無,31050000,184434,坡道平面,40.7,2400000,,RPUNMLPKJIOFFEA38CB
北投區,房地(土地+建物)+車位,臺北市北投區清江里磺港路A-6F,23.99,住,,,1080629,土地15建物1車位1,六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.75,3,2,2,有,無,31380000,185676,坡道平面,44.21,2500000,,RPVNMLPKJIOFFEA48CB
北投區,房地(土地+建物)+車位,臺北市北投區清江里磺港路A-9F,23.99,住,,,1080718,土地15建物1車位1,九層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.55,3,2,2,有,無,32500000,193125,坡道平面,44.21,2500000,,RPWNMLPKJIOFFEA58CB
北投區,房地(土地+建物)+車位,臺北市北投區清江里磺港路A-10F,23.99,住,,,1080505,土地15建物1車位2,十層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,233.64,3,2,2,有,無,34680000,196215,坡道平面,78.3,4200000,,RPXNMLPKJIOFFEA68CB
北投區,房地(土地+建物)+車位,臺北市北投區清江里磺港路A-11F,23.99,住,,,1080908,土地15建物1車位2,十一層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,233.55,3,2,2,有,無,34500000,196344,坡道平面,78.21,4000000,,RPOOMLPKJIOFFEA87CB
北投區,房地(土地+建物)+車位,臺北市北投區清江里磺港路A-14F,23.99,住,,,1080917,土地15建物1車位2,十四層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,233.55,3,2,2,有,無,34500000,196987,坡道平面,78.21,3900000,,RPPOMLPKJIOFFEA97CB
北投區,房地(土地+建物)+車位,臺北市北投區清江里磺港路B-4F,23.99,住,,,1080413,土地15建物1車位1,四層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.55,3,2,2,有,無,30600000,180894,坡道平面,44.21,2500000,,RPQOMLPKJIOFFEA08CB
北投區,房地(土地+建物)+車位,臺北市北投區清江里磺港路B-7F,23.99,住,,,1080415,土地15建物1車位1,七層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.55,3,2,2,有,無,31780000,188490,坡道平面,44.21,2500000,,RPROMLPKJIOFFEA18CB
