編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLMKJIOFFBC37CA,39,54.99,住家用,鋼筋混凝土造,69年11月13日,五層,一層
RPWNMLLKJIOFFBC97CA,23,30.52,住家用,鋼筋混凝土造,85年4月26日,十六層,十一層 陽台
RPWNMLLKJIOFFBC97CA,23,6.02,共用部份,鋼筋混凝土造,85年4月26日,十六層,
RPWNMLLKJIOFFBC97CA,23,3.75,共用部份,鋼筋混凝土造,85年4月26日,十六層,
RPQNMLTKJIOFFBC18CA,52,67.00,住家用,加強磚造,56年11月1日,二層,一層 二層
RPSNMLNKJIOFFBC77CA,50,63.26,住家用,加強磚造,59年1月27日,二層,一層 二層
RPQNMLMLJIOFFBC57CA,2,65.96,集合住宅,鋼筋混凝土造,106年11月9日,十層,三層 陽台 雨遮
RPQNMLMLJIOFFBC57CA,2,33.43,本共有部分之項目有防空避難室兼停車空間、台電配電室、梯廳、排煙室、昇降機、信箱區、公共陽台、泳池、泳池水箱、安全梯、水箱、機房、雨水機房、消防機房、供行動不便者使用樓梯、發電機室、垃圾儲藏室、電信機房、停車空間、供管委會使用空間、供行動不便者使用電梯、門廊、男廁、女廁、梯間、消防水箱及陽台等二十七項,鋼筋混凝土造,106年11月9日,十層,
RPWNMLNJKIOFFBC18CA,2,95.56,集合住宅,鋼筋混凝土造,106年10月18日,十五層,四層 陽台 雨遮
RPWNMLNJKIOFFBC18CA,2,18.32,本共有部分之項目有公設空間、門廳、防空避難室兼停車空間、停車空間、社區中心、機械室、游泳池及管委會辦公室等共八項,鋼筋混凝土造,106年10月18日,十五層,
RPWNMLNJKIOFFBC18CA,2,23.28,本共有部分之項目有電梯間、樓梯間、蓄水池及水箱等共四項,鋼筋混凝土造,106年10月18日,十五層,
RPWNMLNJKIOFFBC18CA,2,.66,本共有部分之項目有台電配電室共一項,鋼筋混凝土造,106年10月18日,十五層,
RPUOMLNJKIOFFBC08CA,2,133.33,集合住宅,鋼筋混凝土造,106年10月18日,十五層,七層 陽台 雨遮
RPUOMLNJKIOFFBC08CA,2,61.74,本共有部分之項目有公設空間、門廳、防空避難室兼停車空間、停車空間、社區中心、機械室、游泳池及管委會辦公室等共八項,鋼筋混凝土造,106年10月18日,十五層,
RPUOMLNJKIOFFBC08CA,2,21.46,本共有部分之項目有電梯間、樓梯間、蓄水池及水箱等共四項,鋼筋混凝土造,106年10月18日,十五層,
RPUOMLNJKIOFFBC08CA,2,.58,本共有部分之項目有台電配電室共一項,鋼筋混凝土造,106年10月18日,十五層,
RPRPMLNJKIOFFBC87CA,51,66.40,住家用,加強磚造,58年3月6日,三層,二層
RPRPMLNJKIOFFBC87CA,51,66.40,住家用,加強磚造,58年3月6日,三層,三層
RPRNMLMKJIOFFCC67CA,24,137.66,住家用,鋼筋混凝土造,84年5月4日,十七層,四層 陽台 雨遮
RPRNMLMKJIOFFCC67CA,24,26.21,共用部份,鋼筋混凝土造,84年5月4日,十七層,
RPUNMLPKJIOFFBC18CA,21,82.22,住家用,鋼筋混凝土造,87年6月10日,五層,二層 陽台
RPUNMLPKJIOFFBC18CA,21,16.86,共用部份,鋼筋混凝土造,87年6月10日,五層,
RPTNMLMKJIOFFCC87CA,29,90.44,住家用,鋼筋混凝土造,79年5月23日,五層,二層
RPTNMLMKJIOFFCC87CA,29,6.30,共用部份,鋼筋混凝土造,79年5月23日,五層,
RPUNMLMKJIOFFCC97CA,46,71.38,住家用,加強磚造,63年3月5日,二層,一層 二層
RPTNMLOKJIOFFCC08CA,39,80.77,住家用,鋼筋混凝土造,69年12月9日,四層,四層
RPSNMLQLJIOFFBC18CA,27,94.92,商業用,鋼筋混凝土造,81年9月7日,七層,一層 平台 騎樓
RPSNMLQLJIOFFBC18CA,27,16.15,共用部份,鋼筋混凝土造,81年9月7日,七層,
RPSNMLQLJIOFFBC18CA,27,95.09,住家用,鋼筋混凝土造,81年9月7日,七層,二層 陽台
RPSNMLQLJIOFFBC18CA,27,16.15,共用部份,鋼筋混凝土造,81年9月7日,七層,
RPSNMLQLJIOFFBC18CA,27,94.64,住家用,鋼筋混凝土造,81年9月7日,七層,三層 陽台
RPSNMLQLJIOFFBC18CA,27,16.15,共用部份,鋼筋混凝土造,81年9月7日,七層,
RPSNMLQLJIOFFBC18CA,27,94.64,住家用,鋼筋混凝土造,81年9月7日,七層,四層 陽台
RPSNMLQLJIOFFBC18CA,27,16.15,共用部份,鋼筋混凝土造,81年9月7日,七層,
RPSNMLQLJIOFFBC18CA,27,79.36,住家用,鋼筋混凝土造,81年9月7日,七層,五層 陽台
RPSNMLQLJIOFFBC18CA,27,16.15,共用部份,鋼筋混凝土造,81年9月7日,七層,
RPSNMLQLJIOFFBC18CA,27,79.36,住家用,鋼筋混凝土造,81年9月7日,七層,六層 陽台
RPSNMLQLJIOFFBC18CA,27,16.15,共用部份,鋼筋混凝土造,81年9月7日,七層,
RPSNMLQLJIOFFBC18CA,27,91.14,住家用,鋼筋混凝土造,81年9月7日,七層,七層 陽台 屋頂突出物
RPSNMLQLJIOFFBC18CA,27,16.15,共用部份,鋼筋混凝土造,81年9月7日,七層,
RPVOMLOKJIOFFCC38CA,8,133.91,集合住宅,鋼筋混凝土造,101年2月20日,七層,三層 陽台 雨遮
RPVOMLOKJIOFFCC38CA,8,29.59,本共有部分之項目有：樓梯間、雨遮、防空避難室兼停車空間、機械室、水箱等５項。,鋼筋混凝土造,101年2月20日,七層,
RPQOMLKLJIOFFCC57CA,39,75.40,住家用,鋼筋混凝土造,69年4月28日,四層,三層 陽台
RPTOMLNJKIOFFBC97CA,2,95.56,集合住宅,鋼筋混凝土造,106年10月18日,十五層,十層 陽台 雨遮
RPTOMLNJKIOFFBC97CA,2,49.53,本共有部分之項目有公設空間、門廳、防空避難室兼停車空間、停車空間、社區中心、機械室、游泳池及管委會辦公室等共八項,鋼筋混凝土造,106年10月18日,十五層,
RPTOMLNJKIOFFBC97CA,2,26.35,本共有部分之項目有電梯間、樓梯間、蓄水池及水箱等共四項,鋼筋混凝土造,106年10月18日,十五層,
RPTOMLNJKIOFFBC97CA,2,.66,本共有部分之項目有台電配電室共一項,鋼筋混凝土造,106年10月18日,十五層,
RPSOMLNJKIOFFBC87CA,2,118.15,集合住宅,鋼筋混凝土造,106年10月18日,十五層,三層 陽台
RPSOMLNJKIOFFBC87CA,2,59.03,本共有部分之項目有公設空間、門廳、防空避難室兼停車空間、停車空間、社區中心、機械室、游泳池及管委會辦公室等共八項,鋼筋混凝土造,106年10月18日,十五層,
RPSOMLNJKIOFFBC87CA,2,19.21,本共有部分之項目有電梯間、樓梯間、蓄水池及水箱等共四項,鋼筋混凝土造,106年10月18日,十五層,
RPSOMLNJKIOFFBC87CA,2,.50,本共有部分之項目有台電配電室共一項,鋼筋混凝土造,106年10月18日,十五層,
RPQOMLNJKIOFFBC67CA,2,71.57,集合住宅,鋼筋混凝土造,106年10月18日,十五層,二層 陽台
