鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
暖暖區,房地(土地+建物),基隆市暖暖區東勢街26巷801號3樓,22.15,住,,,1081026,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,99.67,2,1,1,有,無,6550000,65717,,0.0,0,,RPOOMLTKJIOFFCC38DB
暖暖區,房地(土地+建物)+車位,基隆市暖暖區東勢街26巷82-2號3樓,54.67,住,,,1080929,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,206.6,3,2,2,有,無,12280000,61170,坡道平面,27.1,1300000,,RPUNMLMLJIOFFCC28DB
暖暖區,房地(土地+建物)+車位,基隆市暖暖區東勢街26巷82-2號7樓,54.67,住,,,1081020,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,206.6,3,2,2,有,無,12980000,65070,坡道平面,27.1,1300000,,RPWNMLMLJIOFFCC48DB
暖暖區,房地(土地+建物)+車位,基隆市暖暖區東勢街26巷80-1號2樓,37.12,住,,,1081106,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.77,2,1,1,有,無,7750000,64714,坡道平面,27.1,1300000,,RPXNMLMLJIOFFCC58DB
暖暖區,車位,基隆市暖暖區東勢街26巷80號,14.97,住,,,1081102,土地1建物0車位1,,12,其他,停車空間,鋼筋混凝土造,,27.1,0,0,0,有,無,1300000,,坡道平面,27.1,1300000,,RPOOMLMLJIOFFCC77DB
暖暖區,房地(土地+建物)+車位,基隆市暖暖區東勢街26巷80-1號9樓,37.12,住,,,1080831,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.77,2,1,1,有,無,8410000,71837,坡道平面,27.1,1250000,,RPPOMLMLJIOFFCC87DB
暖暖區,房地(土地+建物)+車位,基隆市暖暖區東勢街26巷82號6樓,43.92,住,,,1080929,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.8,3,2,2,有,無,10050000,69303,坡道平面,27.1,1200000,,RPQOMLMLJIOFFCC97DB
暖暖區,房地(土地+建物)+車位,基隆市暖暖區東勢街26巷82-2號6樓,69.65,住,,,1081108,土地1建物1車位2,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,233.7,3,2,2,有,無,14070000,63900,坡道平面,54.2,2600000,,RPROMLMLJIOFFCC08DB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路1363號5樓,20.8,住,,,1051229,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,180.43,3,2,2,有,無,8490000,51845,坡道平面,35.96,1000000,,RPVNMLQKKIOFFBC58CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路136-2號7樓,20.8,住,,,1051209,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,176.04,3,2,2,有,無,8950000,55237,坡道平面,31.21,950000,,RPWNMLQKKIOFFBC68CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路132-3號7樓,26.78,住,,,1051204,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,219.36,4,2,2,有,無,11090000,54744,坡道平面,35.96,1050000,,RPOOMLQKKIOFFBC97CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路138-3號4樓,20.8,住,,,1051208,土地1建物1車位1,,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,174.66,3,2,2,有,無,8360000,52004,坡道平面,31.21,900000,,RPPOMLRKKIOFFBC18CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路136-1號4樓,23.64,住,,,1051217,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,202.68,3,2,2,有,無,9180000,49064,坡道平面,35.96,1000000,,RPQOMLRKKIOFFBC28CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路136-3號11樓,20.8,住,,,1051215,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,175.68,3,2,2,有,無,9070000,56205,坡道平面,31.21,950000,,RPPQMLRLKIOFFBC48CB
信義區,房地(土地+建物)+車位,基隆市信義區孝東路132-2號4樓,26.78,住,,,1051217,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,219.07,4,2,2,有,無,9580000,46857,坡道平面,35.96,1000000,,RPRQMLRLKIOFFBC68CB
