鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
南區,房地(土地+建物)+車位,臺南市南區水交社路20巷11號Dd1-7F,20.55,住,,,1080415,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.75,2,1,1,有,無,5760000,44910,坡道平面,35.44,1300000,,RPUOMLNKJIOFFCD38CB
南區,房地(土地+建物)+車位,臺南市南區水交社路20巷11號Dd2-2F,29.35,住,,,1080331,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,175.8,3,1,2,有,無,7500000,44885,坡道平面,35.44,1200000,,RPVOMLNKJIOFFCD48CB
南區,房地(土地+建物)+車位,臺南市南區水交社路20巷11號Dd2-3F,29.94,住,,,1080324,土地1建物1車位2,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,211.26,3,1,2,有,無,8460000,40319,坡道平面,70.88,2800000,,RPWOMLNKJIOFFCD58CB
南區,房地(土地+建物)+車位,臺南市南區水交社路20巷11號Dd2-4F,28.76,住,,,1070625,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,175.82,3,1,2,有,無,7600000,44878,坡道平面,35.44,1300000,,RPOPMLNKJIOFFCD87CB
南區,房地(土地+建物)+車位,臺南市南區水交社路20巷11號Dd2-5F,29.94,住,,,1080324,土地1建物1車位2,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,211.26,3,1,2,有,無,8680000,41886,坡道平面,70.88,2800000,,RPPPMLNKJIOFFCD97CB
南區,房地(土地+建物)+車位,臺南市南區水交社路20巷11號Dd2-6F,28.76,住,,,1070212,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,174.72,3,1,2,有,無,7580000,45804,坡道平面,34.34,1150000,,RPQPMLNKJIOFFCD08CB
南區,房地(土地+建物)+車位,臺南市南區水交社路20巷11號Dd2-7F,28.76,住,,,1080520,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,175.82,3,1,2,有,無,7800000,45591,坡道平面,35.44,1400000,,RPUPMLNKJIOFFCD48CB
南區,房地(土地+建物)+車位,臺南市南區水交社路20巷11號E1-1F,22.31,住,,,1080615,土地1建物1車位1,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,135.3,2,1,1,有,無,5650000,42560,坡道平面,35.44,1400000,,RPOQMLNKJIOFFCD97CB
南區,房地(土地+建物)+車位,臺南市南區水交社路20巷11號E1-2F,36.4,住,,,1070508,土地1建物1車位2,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,235.51,4,1,2,有,無,9150000,39786,坡道平面,70.88,2600000,,RPRQMLNKJIOFFCD28CB
南區,房地(土地+建物)+車位,臺南市南區水交社路20巷11號E1-3F,35.22,住,,,1070319,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,201.32,4,1,2,有,無,8690000,44889,坡道平面,36.69,1300000,,RPSQMLNKJIOFFCD38CB
南區,房地(土地+建物)+車位,臺南市南區水交社路20巷11號E1-4F,35.22,住,,,1070115,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,200.07,4,1,2,有,無,8780000,45435,坡道平面,35.44,1300000,,RPTQMLNKJIOFFCD48CB
