編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUOMLNKJIOFFCD38CB,水交社段,8.31,都市：住,10000,35,持分移轉,00030000
RPUOMLNKJIOFFCD38CB,水交社段,12.24,都市：住,10000,35,持分移轉,00060000
RPVOMLNKJIOFFCD48CB,水交社段,11.87,都市：住,10000,50,持分移轉,00030000
RPVOMLNKJIOFFCD48CB,水交社段,17.48,都市：住,10000,50,持分移轉,00060000
RPRQMLNKJIOFFCD28CB,水交社段,14.72,都市：住,10000,62,持分移轉,00030000
RPRQMLNKJIOFFCD28CB,水交社段,21.67,都市：住,10000,62,持分移轉,00060000
RPPPMLNKJIOFFCD97CB,水交社段,12.11,都市：住,10000,51,持分移轉,00030000
RPPPMLNKJIOFFCD97CB,水交社段,17.83,都市：住,10000,51,持分移轉,00060000
RPUPMLNKJIOFFCD48CB,水交社段,11.63,都市：住,10000,49,持分移轉,00030000
RPUPMLNKJIOFFCD48CB,水交社段,17.13,都市：住,10000,49,持分移轉,00060000
RPOQMLNKJIOFFCD97CB,水交社段,9.02,都市：住,10000,38,持分移轉,00030000
RPTQMLNKJIOFFCD48CB,水交社段,14.25,都市：住,10000,60,持分移轉,00030000
RPOQMLNKJIOFFCD97CB,水交社段,13.28,都市：住,10000,38,持分移轉,00060000
RPTQMLNKJIOFFCD48CB,水交社段,20.97,都市：住,10000,60,持分移轉,00060000
RPQPMLNKJIOFFCD08CB,水交社段,11.63,都市：住,10000,49,持分移轉,00030000
RPQPMLNKJIOFFCD08CB,水交社段,17.13,都市：住,10000,49,持分移轉,00060000
RPUQMLNKJIOFFCD58CB,水交社段,14.25,都市：住,10000,60,持分移轉,00030000
RPUQMLNKJIOFFCD58CB,水交社段,20.97,都市：住,10000,60,持分移轉,00060000
RPVQMLNKJIOFFCD68CB,水交社段,14.72,都市：住,10000,62,持分移轉,00030000
RPVQMLNKJIOFFCD68CB,水交社段,21.67,都市：住,10000,62,持分移轉,00060000
RPSQMLNKJIOFFCD38CB,水交社段,14.25,都市：住,10000,60,持分移轉,00030000
