編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLLKJIOFFCD97CC,10,64.76,住家用,鋼筋混凝土造,99年5月7日,十四層,
RPPOMLLKJIOFFAD57CC,44,83.36,住家用,加強磚造,64年12月3日,二層,
RPSNMLLKJIOFFCD97CC,10,27.13,本共有部分之項目有地下一、二、三層全部、有頂蓋式開放空間、門廊、一至十四層梯間、屋突等。,鋼筋混凝土造,99年5月7日,十四層,
RPUNMLLKJIOFFAD97CC,58,128.52,住工用,磚造,51年1月1日,三層,
RPUNMLLKJIOFFAD97CC,,61.57,住家用,磚造,,一層,
RPQNMLLKJIOFFHD28CC,1,23.14,住宅、停車空間,鋼筋混凝土造,107年6月28日,四層,
RPQOMLLKJIOFFAD67CC,38,35.06,住家用,鋼筋混凝土造,71年1月20日,五層,
RPQOMLLKJIOFFAD67CC,38,13.28,共有部分,鋼筋混凝土造,70年10月27日,五層,
RPOOMLMKJIOFFID38CC,41,102.10,住家用,加強磚造,67年8月16日,二層,
RPROMLMKJIOFFKD88CC,26,33.05,住商用,鋼筋混凝土造,82年6月4日,五層,
RPPPMLMKJIOFFBD87CC,27,72.25,住商用,鋼筋混凝土造,82年1月13日,三層,
RPXNMLMKJIOFFCD58CC,32,89.10,住家用,鋼筋混凝土造,76年6月8日,五層,
RPXNMLMKJIOFFCD58CC,32,20.18,共有部分,鋼筋混凝土造,76年6月8日,五層,
RPRNMLMKJIOFFFD28CC,2,149.83,見其他登記事項,見其他登記事項,107年3月20日,一層,
RPOOMLMKJIOFFCD77CC,26,55.39,住家用,鋼筋混凝土造,82年6月9日,十六層,
RPOOMLMKJIOFFCD77CC,26,10.62,共有部分,鋼筋混凝土造,82年6月9日,十六層,
RPOOMLMKJIOFFCD77CC,26,7.32,共有部分,鋼筋混凝土造,82年6月9日,十六層,
RPWNMLNKJIOFFHD09CC,24,399.75,農舍,鋼骨造,85年1月4日,二層,
RPXNMLNKJIOFFKD86CC,19,37.81,住家用,鋼筋混凝土造,90年1月10日,十一層,
RPXNMLNKJIOFFKD86CC,19,8.74,共有部分,鋼筋混凝土造,90年1月10日,十一層,
RPXNMLNKJIOFFKD86CC,19,5.51,共有部分,鋼筋混凝土造,90年1月10日,十一層,
RPQOMLOKJIOFFKD98CC,23,34.45,住家用,鋼筋混凝土造,85年11月22日,十三層,
RPQOMLOKJIOFFKD98CC,23,9.55,共有部分,鋼筋混凝土造,85年11月22日,十三層,
RPXPMLNKJIOFFAD68CC,42,27.78,住家用,鋼筋混凝土造,66年12月2日,七層,
RPXPMLNKJIOFFAD68CC,42,6.15,共有部分,鋼筋混凝土造,66年12月2日,七層,
RPUPMLNKJIOFFAD38CC,19,86.44,集合住宅,鋼筋混凝土造,89年8月22日,十四層,
RPUPMLNKJIOFFAD38CC,19,23.93,共有部分,鋼筋混凝土造,89年8月22日,十四層,
RPWPMLNKJIOFFAD58CC,26,39.86,商業用,鋼筋混凝土造,82年11月19日,十五層,
RPWPMLNKJIOFFAD58CC,26,4.87,共有部分,鋼筋混凝土造,82年11月19日,十五層,
RPWPMLNKJIOFFAD58CC,26,14.49,共有部分,鋼筋混凝土造,82年11月19日,十五層,
RPRNMLMKJIOFFAD77CC,3,120.38,集合住宅,鋼筋混凝土構造,106年1月24日,二十三層,
RPRNMLMKJIOFFAD77CC,3,.84,店舖,鋼筋混凝土構造,106年1月24日,二十六層,
RPRNMLMKJIOFFAD77CC,3,.56,店舖,鋼筋混凝土構造,106年1月24日,二十六層,
RPRNMLMKJIOFFAD77CC,3,88.98,本共有部分之項目：防空避難室、停車空間、機房、樓梯間、機械房、水箱、門廳、梯間、管委會使用空間、水池、防災中心等。,鋼筋混凝土構造,106年1月24日,二十六層,
RPVPMLNKJIOFFAD48CC,27,81.11,住商用,鋼筋混凝土造,82年1月7日,六層,
RPVPMLNKJIOFFAD48CC,27,7.97,共有部分,鋼筋混凝土造,82年1月7日,六層,
RPVPMLNKJIOFFAD48CC,27,8.30,共有部分,鋼筋混凝土造,82年1月7日,六層,
RPTOMLOKJIOFFAD28CC,27,30.00,住商用,鋼筋混凝土造,81年7月16日,五層,
RPROMLOKJIOFFAD08CC,24,61.27,住家用,鋼筋混凝土造,84年7月29日,十七層,
RPROMLOKJIOFFAD08CC,24,16.32,共有部分,鋼筋混凝土造,84年7月29日,十七層,
RPTNMLPKJIOFFAD28CC,25,34.86,住家用,鋼筋混凝土造,84年3月13日,三層,
RPTNMLPKJIOFFAD28CC,25,4.43,共有部分,鋼筋混凝土造,84年3月13日,三層,
RPRNMLOKJIOFFID78CC,22,218.83,住家用,鋼筋混凝土造,87年4月14日,四層,
RPORMLOKJIOFFCD28CC,37,120.76,住商用,鋼筋混凝土造,71年5月11日,五層,
RPOOMLPKJIOFFCD08CC,25,192.68,住家用,鋼筋混凝土造,84年3月22日,十二層,
RPOOMLPKJIOFFCD08CC,25,54.27,共有部分,鋼筋混凝土造,84年3月22日,十二層,
RPOOMLPKJIOFFCD08CC,25,45.02,共有部分,鋼筋混凝土造,84年3月22日,十二層,
