鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,房地(土地+建物)+車位,高雄市鼓山區青海路57號21樓,29.25,住,,,1081015,土地1建物1車位1,二十一層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020619,281.39,3,2,3,有,有,有,68000,242,坡道平面,28.39,0,,RPUNMLLKJIOFFAE08CC
前金區,房地(土地+建物),高雄市前金區六合二路151巷2號10樓之1,6.43,商,,,1081015,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070712,80.12,1,1,1,有,有,無,20000,250,,0.0,0,,RPSOMLLKJIOFFAE97CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區青海路635號11樓,24.87,住,,,1081015,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000524,203.96,3,2,2,有,有,有,23000,113,坡道平面,20.04,0,,RPXOMLLKJIOFFAE48CC
鼓山區,房地(土地+建物),高雄市鼓山區明倫路78號,77.0,住,,,1081108,土地1建物1車位0,全,3,透天厝,,鋼筋混凝土造,0661210,161.09,4,2,3,有,無,有,35000,217,,0.0,0,,RPPPMLLKJIOFFAE77CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區富農路78號13樓,21.34,商,,,1081017,土地1建物1車位1,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020522,301.08000000000004,4,2,2,有,有,有,45000,149,坡道平面,23.17,0,,RPSPMLLKJIOFFAE08CC
新興區,房地(土地+建物),高雄市新興區忠孝一路322號3樓,20.49,商,,,1081015,土地1建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930116,180.2,3,2,2,有,有,有,26500,147,,0.0,0,,RPVNMLLKJIOFFBE28CC
新興區,房地(土地+建物),高雄市新興區七賢二路55號8樓之7,5.19,商,,,1081016,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060424,79.42,2,1,1,有,有,有,20000,252,,0.0,0,,RPOOMLLKJIOFFBE67CC
苓雅區,房地(土地+建物)+車位,高雄市苓雅區三多三路308號,34.56,商,,,1081108,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0950728,311.11,0,0,0,無,有,無,55000,177,坡道平面,0.0,0,租1+2樓,RPXOMLLKJIOFFBE58CC
三民區,房地(土地+建物),高雄市三民區河北二路80號4樓之1,15.31,商,,,1081014,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991116,111.61000000000001,2,1,1,有,有,有,17000,152,,0.0,0,,RPUOMLLKJIOFFDE48CC
三民區,房地(土地+建物),高雄市三民區明誠二路118號18樓,19.4,住,,,1081016,土地1建物1車位0,十八層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870501,199.9,4,2,2,有,有,有,35000,175,,0.0,0,,RPTPMLLKJIOFFDE48CC
左營區,房地(土地+建物)+車位,高雄市左營區孟子路520號9樓之3,23.74,住,,,1081104,土地1建物1車位1,見其它登記事項,15,住宅大樓(11層含以上有電梯),住家用,見其它登記事項,0930519,127.75,3,2,2,有,有,無,20000,157,坡道平面,26.1,0,月租金2萬含管理費和車位租金,RPUNNLLKJIOFFEE58CC
