鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新店區,房地(土地+建物)+車位,新北市新店區民安段622地號C2-20,31.23,住,,,1061211,土地1建物1車位2,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,262.37,4,2,3,有,無,27380000,111331,坡道平面,55.06,4300000,,RPXOMLNKJIOFFCF88CB
新店區,房地(土地+建物)+車位,新北市新店區民安段622地號C2-10,30.08,住,,,1071022,土地1建物1車位1,十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,234.84,4,2,3,有,無,24880000,109401,坡道平面,27.53,2200000,,RPOPMLNKJIOFFCF08CB
新店區,房地(土地+建物)+車位,新北市新店區民安段622地號C2-22,39.33,住,,,1071120,土地1建物1車位2,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,314.5,4,2,3,有,無,35880000,121724,坡道平面,55.06,4300000,,RPQPMLNKJIOFFCF28CB
新店區,房地(土地+建物)+車位,新北市新店區民安段622地號C2-08,31.23,住,,,1070419,土地1建物1車位2,八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,262.37,4,2,3,有,無,27050000,109257,坡道平面,55.06,4400000,,RPSPMLNKJIOFFCF48CB
新店區,房地(土地+建物)+車位,新北市新店區民安段622地號C3-16,30.08,住,,,1061229,土地1建物1車位1,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,234.84,4,2,3,有,無,24880000,110125,坡道平面,27.53,2050000,,RPTPMLNKJIOFFCF58CB
新店區,房地(土地+建物)+車位,新北市新店區民安段622地號C3-18,31.23,住,,,1060102,土地1建物1車位2,十八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,260.49,4,2,3,有,無,26900000,109498,坡道平面,53.18,4200000,,RPUPMLNKJIOFFCF68CB
新店區,房地(土地+建物)+車位,新北市新店區民安段622地號C3-19,31.23,住,,,1061023,土地1建物1車位2,十九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,262.37,4,2,3,有,無,26880000,108919,坡道平面,55.06,4300000,,RPVPMLNKJIOFFCF78CB
新店區,房地(土地+建物)+車位,新北市新店區民安段622地號C3-20,30.08,住,,,1070128,土地1建物1車位1,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,234.84,4,2,3,有,無,25700000,113116,坡道平面,27.53,2250000,,RPWPMLNKJIOFFCF88CB
新店區,房地(土地+建物)+車位,新北市新店區民安段622地號C4-03,27.76,住,,,1061017,土地1建物1車位1,三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,212.05,4,2,2,有,無,22000000,108118,坡道平面,27.53,2050000,,RPXPMLNKJIOFFCF98CB
