編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXNMLOKJIOFFAG88CC,41,150.78,住家用,鋼筋混凝土加強磚造,67年6月2日,三層,
RPSNMLTKJIOFFBG98CC,8,33.05,集合住宅,鋼筋混凝土造,100年12月16日,十層,
RPRNMLLLJIOFFAG08CC,22,48.76,住家用,鋼筋混凝土造,87年1月14日,六層,
RPPNMLQLJIOFFBG48CC,2,634.27,餐廳、樓梯間,鋼骨鋼筋混凝土造,106年9月18日,二層,
RPXNMLSLJIOFFBG86CC,28,19.02,辦公室,鋼筋混凝土造,80年8月22日,六層,
RPQRMLKKKIOFFAG28CC,18,456.11,辦公室．飲食店,鋼骨造,90年9月3日,二層,
RPXNMLRKKIOFFBG76CC,13,548.64,農舍,鋼筋混凝土造,96年3月3日,三層,
RPQNMLTLJIOFFBG88CC,26,13.88,住家用,鋼筋混凝土造,82年12月14日,五層,
RPSNMLPJKIOFFBG78EC,39,113.84,住家用,鋼筋混凝土加強磚造,69年6月4日,二層,
RPRNMLSKKIOFFAG78CC,44,10.94,住家用,鋼筋混凝土加強磚造,64年10月30日,三層,
RPUNMLSLJIOFFBG56CC,18,205.31,住商用,鋼筋混凝土造,90年10月30日,三層,
RPPOMLRKKIOFFBG68CC,48,90.40,住家用,鋼筋混凝土加強磚造,60年9月24日,二層,
RPWOMLNJKIOFFBG09EC,12,191.08,商業用,鋼筋混凝土造,96年6月22日,七層,
RPQOMLKLKIOFFAG28EC,11,284.78,店舖．住宅,鋼筋混凝土造,97年9月1日,三層,
RPVNMLSKKIOFFAG56CC,6,37.70,住家用,鋼筋混凝土造,103年4月2日,三層,
RPTNMLKLKIOFFBG48DC,22,38.81,住家用,鋼筋混凝土造,87年2月16日,五層,
RPUNMLKLKIOFFBG58DC,33,119.28,住家用,鋼筋混凝土加強磚造,75年10月30日,二層,
RPQOMLOLKIOFFAG48CC,24,47.67,住家用,鋼筋混凝土造,85年5月27日,五層,
RPOOMLOLKIOFFAG28CC,24,40.67,住家用,鋼筋混凝土造,84年12月15日,九層,
RPSNMLKMJHPFFBG28CC,26,13.88,住家用,鋼筋混凝土造,82年12月14日,五層,
RPVNMLKLKIOFFBG58CC,39,82.57,住家用,鋼筋混凝土加強磚造,70年2月28日,六層,
