編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLOJKIOFFAI58CC,22,79.71,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPSNMLOJKIOFFAI58CC,22,16.21,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPSNMLOJKIOFFAI58CC,22,16.80,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPPNMLKKKIOFFAI97CC,51,93.95,住家用,見使用執照,57年6月10日,二層,
RPPNMLQJKIOFFAI48CC,3,146.73,集合住宅,鋼筋混凝土構造,105年5月10日,十四層,
RPWNMLLKKIOFFAI78CC,22,79.56,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPQOMLPLJIOFFAI68CC,22,26.96,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPXNMLLLKIOFFAI98CC,22,89.09,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPXNMLLLKIOFFAI98CC,22,16.26,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPXNMLLLKIOFFAI98CC,22,19.39,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPXNMLNKJIOFFAI98CC,3,119.53,集合住宅,鋼筋混凝土構造,105年5月10日,十四層,
RPPNMLSLKIOFFAI88CC,31,39.43,住商用,鋼筋混凝土造,78年5月3日,四層,
RPSOMLPLJIOFFAI88CC,35,31.00,住家用,鋼筋混凝土造,73年11月29日,六層,
RPSOMLPLJIOFFAI88CC,35,6.24,共有部份,鋼筋混凝土造,73年11月29日,六層,
RPSOMLPLJIOFFAI88CC,35,4.78,共有部份,鋼筋混凝土造,73年11月29日,六層,
RPROMLNKKIOFFAI58CC,4,26.45,店舖、住宅,鋼筋混凝土構造,104年11月10日,五層,
RPQNMLSLKIOFFAI98CC,22,147.55,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPXNMLRKJHPFFAI76CC,4,16.72,店舖、住宅,鋼筋混凝土構造,104年11月10日,五層,
RPVNMLRKJHPFFAI56CC,22,86.26,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPVNMLRKJHPFFAI56CC,22,15.59,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPVNMLRKJHPFFAI56CC,22,18.09,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPSNMLLKJHPFFAI28CC,4,16.72,店舖、住宅,鋼筋混凝土構造,104年11月10日,五層,
RPROMLMJJHPFFAI28CC,22,104.66,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPROMLMJJHPFFAI28CC,22,19.62,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPROMLMJJHPFFAI28CC,22,23.26,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
