編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLMKJIOFFBJ08CA,坡道平面,0,30.17,
RPXOMLNKJIOFFBJ09CA,坡道平面,0,,
RPXOMLNKJIOFFBJ09CA,坡道平面,0,,
RPSOMLLKJIOFFBJ38CA,坡道平面,0,33.06,
RPSOMLLKJIOFFBJ38CA,坡道平面,0,33.06,
RPRNMLTKJIOFFBJ98CA,坡道平面,0,21.52,
RPRNMLTKJIOFFBJ98CA,坡道平面,0,21.52,
RPOQMLNJKIOFFBJ38CA,坡道平面,0,,
RPOQMLNJKIOFFBJ38CA,坡道平面,0,,
RPVNMLQLJIOFFBJ56CA,坡道機械,0,,
RPOSMLSLJIOFFBJ56CA,坡道平面,0,29.83,
RPSNMLTJKIOFFCJ56CA,一樓平面,0,,
RPRPMLNJKIOFFBJ58CA,坡道平面,0,,
RPRPMLNJKIOFFBJ58CA,坡道平面,0,,
RPWNMLTJKIOFFCJ96CA,一樓平面,0,,
RPUNMLTJKIOFFCJ76CA,一樓平面,0,,
RPTNMLTJKIOFFCJ66CA,一樓平面,0,,
RPVOMLQLJIOFFBJ66CA,升降機械,0,,
RPUNMLSKJIOFFBJ56CA,坡道機械,0,,
RPOOMLSKJIOFFBJ68CA,坡道平面,0,,
RPQOMLTJKIOFFCJ09CA,一樓平面,0,,
RPTOMLTJKIOFFCJ76CA,一樓平面,0,,
RPSOMLTJKIOFFCJ66CA,一樓平面,0,,
RPVOMLTJKIOFFCJ96CA,一樓平面,0,,
RPXNMLTJKIOFFCJ07CA,一樓平面,0,,
RPOOMLTJKIOFFCJ88CA,一樓平面,0,,
RPWOMLTJKIOFFCJ07CA,一樓平面,0,,
RPROMLTJKIOFFCJ56CA,一樓平面,0,,
RPRPMLTJKIOFFCJ66CA,一樓平面,0,,
RPRPMLTJKIOFFCJ66CA,一樓平面,0,,
RPPOMLTJKIOFFCJ98CA,一樓平面,0,,
RPUNMLOKJIOFFDJ98CA,坡道平面,800000,33.39,
RPWNMLOKJIOFFDJ56CA,坡道平面,0,38.93,
RPOOMLOKJIOFFDJ48CA,坡道平面,0,38.93,
RPPOMLOKJIOFFDJ58CA,坡道平面,0,38.93,
RPSNMLOKJIOFFDJ78CA,坡道平面,0,35.94,
RPROMLNKJIOFFDJ68CA,坡道平面,0,,
RPTPMLTJKIOFFCJ86CA,一樓平面,0,,
RPWPMLNJKIOFFBJ56DA,坡道平面,0,23.23,
RPWPMLNJKIOFFBJ56DA,坡道平面,0,23.23,
RPTOMLLLJIOFFBJ58CA,坡道平面,0,35.00,
RPWNMLSKJIOFFBJ76CA,坡道平面,0,31.60,
RPWNMLSKJIOFFBJ76CA,坡道平面,0,31.60,
RPTNMLMKJIOFFBJ48CA,坡道機械,0,16.55,
RPQNMLPLJIOFFBJ58CA,坡道平面,0,33.33,
RPOPMLMKJIOFFBJ18CA,坡道平面,0,35.61,
RPOPMLMKJIOFFBJ18CA,坡道平面,0,35.61,
RPOPMLMKJIOFFBJ18CA,坡道平面,0,35.61,
RPOPMLMKJIOFFBJ18CA,坡道平面,0,35.61,
RPWNMLNKJIOFFBJ88CA,坡道平面,0,32.81,
RPWNMLNKJIOFFBJ88CA,坡道平面,0,32.81,
RPQQMLNKJIOFFBJ58CA,坡道平面,0,33.89,
RPQQMLNKJIOFFBJ58CA,坡道平面,0,29.26,
RPVQMLPKJIOFFBJ66CA,坡道平面,0,30.64,
RPVQMLNKJIOFFBJ09CA,坡道平面,0,27.08,
RPVNMLKLJIOFFBJ58CA,坡道平面,0,37.87,
RPVNMLKLJIOFFBJ58CA,坡道平面,0,37.87,
RPTNMLOKJIOFFBJ68CA,坡道平面,0,35.45,
RPTNMLOKJIOFFBJ68CA,坡道平面,0,35.45,
RPPOMLOKJIOFFBJ38CA,一樓平面,0,,
RPWNMLMKJIOFFBJ78CA,坡道平面,0,29.81,
RPWNMLMKJIOFFBJ78CA,坡道平面,0,29.81,
RPWNMLMKJIOFFBJ78CA,坡道平面,0,29.81,
RPROMLLLJIOFFBJ38CA,坡道機械,0,,
RPQNMLOKJIOFFBJ38CA,坡道平面,0,35.45,
RPQNMLOKJIOFFBJ38CA,坡道平面,0,35.45,
RPRNMLOKJIOFFBJ48CA,坡道平面,0,35.45,
RPRNMLOKJIOFFBJ48CA,坡道平面,0,35.45,
RPPNMLOKJIOFFBJ28CA,坡道平面,0,33.17,
RPPNMLOKJIOFFBJ28CA,坡道平面,0,36.21,
RPSNMLTKJIOFFBJ09CA,坡道平面,0,30.03,
RPWNMLLLJIOFFBJ78CA,坡道平面,1100000,,
RPWNMLLLJIOFFBJ78CA,坡道平面,1100000,,
RPPOMLQLJIOFFBJ68CA,坡道平面,1400000,30.62,
RPOQMLPKJIOFFBJ58CA,坡道平面,0,,
RPSQMLPJKIOFFBJ98CA,坡道平面,0,28.22,
RPSQMLPJKIOFFBJ98CA,坡道平面,0,42.87,
RPTOMLTJKIOFFBJ66CA,坡道平面,0,,
