鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口A1-02,15.73,商,,,1080111,土地1建物1車位1,二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,168.59,3,2,2,有,無,10190000,64186,坡道平面,26.97,1100000,,RPXOMLLLJHPFFBJ09CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口A1-20,16.1,商,,,1071116,土地1建物1車位2,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,196.76,3,2,2,有,無,11600000,67081,坡道平面,55.14,2100000,,RPOPMLLLJHPFFBJ28CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口店A2,12.73,商,,,1070822,土地1建物1車位1,一層,24,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,146.05,0,0,0,無,無,11350000,87801,坡道平面,28.17,1000000,本戶為一樓店面,RPQPMLLLJHPFFBJ48CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口A3-19,11.61,商,,,1070706,土地1建物1車位1,十九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.24,2,2,1,有,無,8120000,68415,坡道平面,28.17,1000000,,RPSPMLLLJHPFFBJ68CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口A3-02,11.61,商,,,1071218,土地1建物1車位1,二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.24,2,2,1,有,無,8420000,71298,坡道平面,28.17,1000000,,RPTPMLLLJHPFFBJ78CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口A3-20,11.61,商,,,1070822,土地1建物1車位1,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.24,2,2,1,有,無,6950000,56789,坡道平面,28.17,1040000,,RPUPMLLLJHPFFBJ88CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口A3-21,11.61,商,,,1080111,土地1建物1車位1,二十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.24,2,2,1,有,無,7510000,62554,坡道平面,28.17,1000000,,RPVPMLLLJHPFFBJ98CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口A3-23,11.61,商,,,1071218,土地1建物1車位1,二十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.24,2,2,1,有,無,8350000,69184,坡道平面,28.17,1150000,,RPXPMLLLJHPFFBJ56CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口A3-24,11.61,商,,,1080509,土地1建物1車位1,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.24,2,2,1,有,無,7760000,64956,坡道平面,28.17,1000000,,RPOQMLLLJHPFFBJ38CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口A5-24,11.61,商,,,1071218,土地1建物1車位1,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.24,2,2,1,有,無,7530000,62746,坡道平面,28.17,1000000,,RPPQMLLLJHPFFBJ48CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口A7-21,15.73,商,,,1080419,土地1建物1車位1,二十一層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.57,3,2,2,有,無,9710000,61598,坡道平面,28.17,1000000,,RPQQMLLLJHPFFBJ58CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口A7-22,15.73,商,,,1080307,土地1建物1車位1,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.57,3,2,2,有,無,9690000,60396,坡道平面,28.17,1150000,,RPRQMLLLJHPFFBJ68CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口A7-23,15.73,商,,,1080328,土地1建物1車位1,二十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.57,3,2,2,有,無,10100000,66124,坡道平面,28.17,750000,,RPSQMLLLJHPFFBJ78CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口A7-24,15.73,商,,,1070907,土地1建物1車位1,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,169.57,3,2,2,有,無,10090000,63225,坡道平面,28.17,1150000,,RPTQMLLLJHPFFBJ88CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口B1-03,16.1,商,,,1071130,土地1建物1車位1,三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.28,3,2,2,有,無,9900000,62190,坡道平面,28.17,1000000,,RPUQMLLLJHPFFBJ98CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口B1-14,16.1,商,,,1070706,土地1建物1車位1,十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.28,3,2,2,有,無,9350000,58347,坡道平面,28.17,1000000,,RPVQMLLLJHPFFBJ09CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口B1-17,16.1,商,,,1080129,土地1建物1車位1,十七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.08,3,2,2,有,無,10330000,65544,坡道平面,26.97,950000,,RPWQMLLLJHPFFBJ56CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口B1-18,16.1,商,,,1071016,土地1建物1車位1,十八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.28,3,2,2,有,無,10240000,64566,坡道平面,28.17,1000000,,RPXQMLLLJHPFFBJ66CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口B1-20,16.1,商,,,1071218,土地1建物1車位1,二十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.28,3,2,2,有,無,9500000,59395,坡道平面,28.17,1000000,,RPORMLLLJHPFFBJ48CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口B1-22,16.1,商,,,1080322,土地1建物1車位1,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.28,3,2,2,有,無,10820000,67570,坡道平面,28.17,1150000,,RPPRMLLLJHPFFBJ58CB
竹北市,房地(土地+建物),新竹縣竹北市新瀧一街和北新一街交叉路口店B2,13.48,商,,,1071115,土地1建物1車位0,一層,24,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,127.15,0,0,0,無,無,10880000,85568,,0.0,0,本戶為一樓店面,RPRRMLLLJHPFFBJ78CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口B2-02,9.36,商,,,1070720,土地1建物1車位1,二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,111.26,1,2,1,有,無,5510000,57065,坡道平面,26.97,700000,,RPSRMLLLJHPFFBJ88CB
竹北市,房地(土地+建物),新竹縣竹北市新瀧一街和北新一街交叉路口B2-03,8.99,商,,,1080111,土地1建物1車位0,三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,84.29,1,2,1,有,無,5390000,63946,,0.0,0,,RPURMLLLJHPFFBJ09CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口B2-14,9.36,商,,,1070720,土地1建物1車位1,十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.46,1,2,1,有,無,6020000,59556,坡道平面,28.17,1000000,,RPVRMLLLJHPFFBJ56CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口B2-17,9.36,商,,,1070720,土地1建物1車位1,十七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.46,1,2,1,有,無,6200000,61692,坡道平面,28.17,1000000,,RPOSMLLLJHPFFBJ58CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口B2-18,9.36,商,,,1080305,土地1建物1車位1,十八層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.46,1,2,1,有,無,6390000,63946,坡道平面,28.17,1000000,,RPPSMLLLJHPFFBJ68CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口B2-22,9.36,商,,,1080513,土地1建物1車位1,二十二層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.65,1,2,1,有,無,6530000,65607,坡道平面,29.36,1000000,,RPQSMLLLJHPFFBJ78CB
竹北市,房地(土地+建物)+車位,新竹縣竹北市新瀧一街和北新一街交叉路口B3-14,16.1,商,,,1070706,土地1建物1車位1,十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.49,3,2,2,有,無,9630000,60215,坡道平面,28.17,1000000,,RPRSMLLLJHPFFBJ88CB
