鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
竹北市,建物,新竹縣竹北市光明六路東二段51號,0.0,住,,,1081021,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,1070212,54.25,0,0,1,有,無,無,28380,523,,0.0,0,租金逐年增加壹千元整,RPPQMLNKJIOFFBJ68CC
竹北市,建物,新竹縣竹北市嘉豐二街一段119號及121號,0.0,住,,,1081019,土地0建物2車位0,一層,2,店面(店鋪),商業用,見其他登記事項,0961225,102.72,0,0,0,無,無,無,30000,292,,0.0,0,,RPOOMLOKJIOFFBJ48CC
竹北市,建物,新竹縣竹北市莊敬五街28號6樓,0.0,住,,,1081102,土地0建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950519,127.06,3,2,2,有,有,有,21000,165,坡道平面,0.0,0,含管理費、稅金或水電等費用。；,RPSOMLOKJIOFFBJ88CC
竹北市,建物,新竹縣竹北市隘口一街3號7樓之1,0.0,商,,,1081107,土地0建物1車位0,七層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0970310,38.7,2,1,1,有,有,無,11500,297,,0.0,0,含管理費、稅金或水電等費用。；,RPTOMLOKJIOFFBJ98CC
竹北市,建物,新竹縣竹北市六家五路一段242號4樓,0.0,住,,,1081109,土地0建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001202,152.48,3,2,2,有,有,有,25000,164,坡道機械,18.41,0,,RPSNMLSKJIOFFBJ56CC
竹北市,建物,新竹縣竹北市文興路二段５１３號五樓,0.0,商,,,1081027,土地0建物1車位2,五層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990106,295.37,3,2,2,有,有,有,32000,108,坡道平面,61.54,0,租金含管理費,RPVNMLSKJIOFFBJ86CC
竹北市,建物,新竹縣竹北市六家七路68號12樓之5,0.0,住,,,1081117,土地0建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970927,89.13,2,2,1,有,有,有,19000,213,坡道機械,0.0,0,,RPTOMLSKJIOFFBJ76CC
寶山鄉,房地(土地+建物),新竹縣寶山鄉竹園路26巷11號,247.79,,山坡地保育區,丙種建築用地,1081114,土地1建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0910310,260.8,5,2,4,有,無,無,26000,100,,0.0,0,,RPWNMLSKJIOFFCJ07CC
竹北市,建物,新竹縣竹北市六家五路一段207號,0.0,住,,,1081031,土地0建物1車位0,一層,14,店面(店鋪),商業用,鋼筋混凝土造,1030127,82.3,1,0,1,有,有,無,15000,182,,0.0,0,,RPSOMLQLJIOFFBJ56CC
