編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPQMLNKJIOFFBJ68CC,大學段,.00,都市：住,,,,06480000
RPWNMLSKJIOFFCJ07CC,二坪段,247.79,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,07640000
RPXQMLSLJIOFFBJ47CC,公園段,.00,都市：住,,,,04750000
RPWQMLSLJIOFFBJ37CC,隘興段,.00,都市：住,,,,04080000
RPVQMLSLJIOFFBJ27CC,公園段,.00,都市：商,,,,04750000
RPSOMLQLJIOFFBJ56CC,家興段,.00,都市：住,,,,04360000
RPORMLSLJIOFFBJ66CC,永興段,.00,都市：住,,,,07000001
RPTNMLTLJIOFFDJ07CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510037
RPPRMLSLJIOFFBJ76CC,公園段,.00,都市：商,,,,04760000
RPROMLTLJIOFFDJ96CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510010
RPUNMLTLJIOFFDJ17CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510008
RPQOMLTLJIOFFDJ86CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510000
RPQOMLTLJIOFFDJ86CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510025
RPVNMLTLJIOFFDJ27CC,忠信段,.00,非都市： ; 非都市編定：,,,,10810003
RPVOMLTLJIOFFDJ37CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510042
RPSOMLTLJIOFFDJ07CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510010
RPUOMLTLJIOFFDJ27CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510000
RPTOMLTLJIOFFDJ17CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510042
RPUOMLTLJIOFFDJ27CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510025
RPVNMLSKJIOFFBJ86CC,世興段,.00,都市：商,,,,00530000
RPSNMLSKJIOFFBJ56CC,家興段,.00,都市：住,,,,04590000
RPTOMLSKJIOFFBJ76CC,家興段,.00,都市：住,,,,06010000
RPOOMLOKJIOFFBJ48CC,永興段,.00,都市：住,,,,07040000
RPSOMLOKJIOFFBJ88CC,大學段,.00,都市：住,,,,02210000
RPTOMLOKJIOFFBJ98CC,隘興段,.00,都市：商,,,,05430000
RPWNMLQJKIOFFCJ86CC,重光段,.00,都市：住,,,,01570000
RPTOMLMKKIOFFDJ09CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510010
RPSOMLMKKIOFFDJ98CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510041
RPWOMLMKKIOFFDJ76CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510008
RPWNMLMKKIOFFDJ66CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510008
RPSOMLQKKIOFFBJ56CC,家興段,.00,都市：商,,,,04360000
RPTNMLSKKIOFFBJ76CC,家興段,.00,都市：住,,,,06650000
RPTNMLTKKIOFFDJ17DC,綠園段,60.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,08670000
RPSQMLOJKIOFFBJ09CC,世興段,.00,都市：商,,,,00390000
RPXQMLPJKIOFFBJ07CC,永興段,.00,都市：商,,,,04950000
RPVNMLLKKIOFFBJ88CC,台元段,1897.64,都市：工,,,,00930000
RPVNMLLKKIOFFBJ88CC,台元段,85.83,都市：工,,,,00970001
RPWQMLPJKIOFFBJ96CC,大學段,.00,都市：住,,,,02130000
RPRSMLNJKIOFFBJ09CC,公園段,.00,都市：住,,,,07320000
RPVOMLQLKIOFFDJ17CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510037
RPRPMLTKKIOFFBJ86CC,縣福段,.00,都市：住,,,,02160000
RPSNMLPLKIOFFBJ09CC,隘興段,.00,都市：住,,,,06220001
RPWNMLPLKIOFFBJ86CC,家興段,.00,都市：商,,,,04590000
RPSOMLPLKIOFFBJ56CC,縣福段,.00,都市：住,,,,03060000
RPQOMLSKKIOFFBJ56CC,縣華段,.00,都市：商,,,,00830000
RPRRMLQLKIOFFBJ86CC,家興段,.00,都市：住,,,,01560001
RPRRMLQLKIOFFBJ86CC,家興段,.00,都市：住,,,,01560000
RPPOMLTKKIOFFBJ56CC,永興段,313.88,都市：住,,,,03020000
RPTOMLPLKIOFFBJ66CC,莊敬段,.00,都市：住,,,,04970000
RPWNMLRLKIOFFBJ07CC,泰和段,.00,都市：工,,,,05730000
RPROMLKKJHPFFBJ38CC,永興段,.00,都市：住,,,,06480000
RPWNMLNJJHPFFBJ98CC,縣福段,.00,都市：住,,,,03780000
RPPOMLTJJHPFFBJ98CC,永興段,1.94,都市：商,,,,05060000
RPXNMLTJJHPFFBJ07CC,永興段,.00,都市：商,,,,05060000
RPQPMLNJJHPFFBJ58CC,縣福段,387.49,都市：商,,,,02120000
RPSPMLMJJHPFFBJ68CC,公園段,.00,都市：商,,,,04760000
RPRPMLNJJHPFFBJ68CC,家興段,.00,都市：商,,,,04250000
RPVNMLNJJHPFFBJ88CC,翰林段,.00,都市：住,,,,07970000
RPOPMLLMKIOFFBJ58CC,莊敬段,.00,都市：住,,,,00540000
RPUNMLNJJHPFFBJ78CC,翰林段,.00,都市：住,,,,05530000
RPRRMLQKJHPFFBJ66CC,翰林段,.00,都市：住,,,,11210000
RPTRMLNKJHPFFBJ56CC,莊敬段,.00,都市：商,,,,06570000
RPOUMLPKJHPFFBJ56CC,永興段,.00,都市：住,,,,05300000
RPPSMLQKJHPFFBJ56CC,中興段,.00,都市：住,,,,03570000
RPTSMLQKJHPFFBJ96CC,莊敬段,.00,都市：住,,,,07440000
RPUSMLQKJHPFFBJ07CC,東興段,.00,都市：住,,,,01640000
RPUSMLQKJHPFFBJ07CC,東興段,.00,都市：住,,,,01650000
RPRSMLQKJHPFFBJ76CC,翰林段,.00,都市：住,,,,06070000
RPQOMLRKJHPFFDJ56CC,忠信段,.00,非都市： ; 非都市編定：,,,,10810003
RPSPMLQKJHPFFBJ66DC,公園段,.00,都市：住,,,,08520000
RPVSMLQKJHPFFBJ17CC,大學段,.00,都市：商,,,,00460000
RPXNMLKMJHPFFBJ09CC,永興段,.00,都市：商,,,,05060000
RPTOMLKLJHPFFDJ88CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510010
RPOOMLKMJHPFFBJ28CC,公園段,.00,都市：住,,,,06060000
RPOOMLKMJHPFFBJ28CC,公園段,.00,都市：住,,,,06050000
RPQOMLKLJHPFFDJ58CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510008
RPSOMLKLJHPFFDJ78CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510000
RPSOMLKLJHPFFDJ78CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510025
RPUOMLRKJHPFFDJ96CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510037
RPSOMLRKJHPFFDJ76CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,18510010
RPXSMLQKJHPFFBJ37CC,大學段,.00,都市：商,,,,02210000
