編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXQMLSLJIOFFBJ47CC,坡道平面,0,,
RPWQMLSLJIOFFBJ37CC,坡道平面,0,,
RPVQMLSLJIOFFBJ27CC,坡道機械,0,,
RPORMLSLJIOFFBJ66CC,坡道平面,0,,
RPORMLSLJIOFFBJ66CC,坡道平面,0,,
RPPRMLSLJIOFFBJ76CC,坡道平面,0,,
RPVNMLSKJIOFFBJ86CC,坡道平面,0,30.77,
RPVNMLSKJIOFFBJ86CC,坡道平面,0,30.77,
RPSNMLSKJIOFFBJ56CC,坡道機械,0,18.41,
RPTOMLSKJIOFFBJ76CC,坡道機械,0,,
RPSOMLOKJIOFFBJ88CC,坡道平面,0,,
RPSOMLQKKIOFFBJ56CC,坡道平面,0,,
RPTNMLSKKIOFFBJ76CC,坡道平面,0,,
RPTNMLTKKIOFFDJ17DC,坡道平面,0,17.10,
RPSQMLOJKIOFFBJ09CC,坡道平面,0,,
RPSQMLOJKIOFFBJ09CC,坡道平面,0,,
RPWQMLPJKIOFFBJ96CC,坡道平面,0,,
RPRPMLTKKIOFFBJ86CC,坡道機械,0,,
RPSNMLPLKIOFFBJ09CC,坡道平面,0,,
RPTOMLPLKIOFFBJ66CC,坡道平面,0,,
RPROMLKKJHPFFBJ38CC,坡道平面,0,64.22,
RPPOMLTJJHPFFBJ98CC,坡道平面,0,28.77,
RPPOMLTJJHPFFBJ98CC,坡道平面,0,28.77,
RPSPMLMJJHPFFBJ68CC,坡道機械,0,,
RPRPMLNJJHPFFBJ68CC,坡道平面,0,32.64,
RPRPMLNJJHPFFBJ68CC,坡道平面,0,32.64,
RPVNMLNJJHPFFBJ88CC,坡道平面,0,,
RPOPMLLMKIOFFBJ58CC,坡道平面,0,33.91,
RPUNMLNJJHPFFBJ78CC,坡道平面,0,,
RPTRMLNKJHPFFBJ56CC,坡道平面,0,29.81,
RPOUMLPKJHPFFBJ56CC,坡道平面,0,,
RPOUMLPKJHPFFBJ56CC,坡道平面,0,,
RPPSMLQKJHPFFBJ56CC,坡道平面,0,,
RPPSMLQKJHPFFBJ56CC,坡道平面,0,,
RPTSMLQKJHPFFBJ96CC,坡道平面,0,,
RPRSMLQKJHPFFBJ76CC,坡道機械,0,,
RPVSMLQKJHPFFBJ17CC,坡道平面,0,,
RPPOMLKMJHPFFBJ38CC,坡道平面,0,37.64,
RPROMLPJKHPFFBJ98DC,坡道平面,0,,
RPROMLPJKHPFFBJ98DC,坡道平面,0,,
RPROMLPJKHPFFBJ98DC,坡道平面,0,,
RPOPMLKMJHPFFBJ38CC,坡道平面,0,38.67,
RPTNMLOJKHPFFBJ88CC,坡道平面,0,,
RPPNMLNJKHPFFBJ38CC,坡道平面,0,,
RPROMLOJKHPFFBJ78CC,坡道平面,0,,
RPQOMLOJKHPFFBJ68CC,坡道平面,0,,
RPQOMLOJKHPFFBJ68CC,坡道機械,0,,
RPVNMLOJKHPFFBJ09CC,坡道平面,0,,
RPQPMLOJKHPFFBJ78CC,坡道平面,0,,
