鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
草屯鎮,土地,中興段1954地號,111.0,住,,,1081101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,3300,30,,0.0,0,,RPRNMLMKJIOFFBM78CC
南投市,房地(土地+建物),南投縣南投市中華路190巷6號,111.11,住,,,1081113,土地1建物0車位0,全,2,透天厝,住家用,加強磚造,0690801,108.28,3,2,2,有,無,無,10000,92,,0.0,0,,RPQNMLSKJIOFFAM56CC
南投市,房地(土地+建物),南投縣南投市育樂路95號,121.0,住,,,1081111,土地1建物0車位0,,4,店面(店鋪),住家用,鋼筋混凝土造,0930716,77.66,0,0,0,無,無,無,27000,348,,0.0,0,,RPWNMLLLJIOFFAM56CC
南投市,房地(土地+建物),南投縣南投市中興路785號,59.0,住,,,1081120,土地1建物0車位0,全,3,透天厝,商業用,鋼筋混凝土加強磚造,0710830,166.68,0,0,0,無,無,無,15000,90,,0.0,0,,RPXNMLLLJIOFFAM66CC
草屯鎮,房地(土地+建物),南投縣草屯鎮太平路41號,103.0,商,,,1081127,土地1建物1車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土造,0880917,41.63,1,1,1,有,無,有,15000,360,,0.0,0,,RPSNMLSLJIOFFBM96CC
埔里鎮,土地,光榮段50地號,402.7,商,,,1081127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,19800,49,,0.0,0,,RPRNMLQKKIOFFCM76CC
草屯鎮,房地(土地+建物),南投縣草屯鎮太平路341號,69.0,住,,,1081220,土地1建物0車位0,,3,店面(店鋪),住商用,鋼筋混凝土造,0900209,143.61,3,2,3,有,無,無,25000,174,,0.0,0,,RPQNMLRLKIOFFBM76CC
南投市,房地(土地+建物),南投縣南投市仁德路56號一樓,90.0,住,,,1081216,土地1建物0車位0,一層,3,店面(店鋪),見其他登記事項,鋼筋混凝土造,1070417,66.0,0,1,1,有,無,無,13600,206,,0.0,0,,RPRNMLRJJHPFFAM09CC
南投市,房地(土地+建物),南投縣南投市復興路171之2號,33.0,商,,,1090111,土地1建物0車位0,全,2,透天厝,商業用,鐵筋加強磚造,0601229,59.4,3,1,1,有,無,無,9000,152,,0.0,0,,RPROMLQKJHPFFAM56CC
南投市,房地(土地+建物),南投縣南投市府南二街1巷16號,120.0,住,,,1081223,土地1建物0車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0621228,98.98,3,1,1,有,無,無,8000,81,,0.0,0,,RPTOMLQKJHPFFAM76CC
