編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUOMLMKJIOFFAN66DC,三民段,63.00,都市：商,,,,04340000
RPQNMLNKJIOFFDN09CC,三多段,77.60,都市：住,,,,04950000
RPQNMLNKJIOFFDN09CC,三多段,10.39,都市：住,,,,04990000
RPQNMLNKJIOFFDN09CC,三多段,10.39,都市：住,,,,05000000
RPSNMLLLJIOFFAN88CC,秀水段,447.00,都市：住,,,,01940000
RPRNMLNKJIOFFDN56CC,三多段,77.60,都市：住,,,,04950000
RPRNMLNKJIOFFDN56CC,三多段,10.39,都市：住,,,,04990000
RPRNMLNKJIOFFDN56CC,三多段,10.39,都市：住,,,,05000000
RPSNMLRLJIOFFCN07CC,永福段,165.00,都市：住,,,,05600003
RPSNMLQLJIOFFHN47CC,瓦窯中段,29.81,都市：住,,,,12810000
RPUNMLTKJIOFFAN17CC,彰化段西門小段,.00,都市：商,,,,04330005
RPVNMLLLJIOFFAN56CC,彰泰段,.00,都市：住,,,,04630000
RPVNMLLLJIOFFAN56CC,彰泰段,.00,都市：住,,,,04640000
RPSNMLKKKIOFFAN88DC,西勢子段過溝子小段,178.00,都市：住,,,,01200001
RPQNMLMJKIOFFCN98DC,埔崙段,85.00,都市：住,,,,02590000
RPPNMLNLJIOFFAN78CC,東興段,265.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,09560000
RPPOMLKKKIOFFDN88CC,員林段,42.00,都市：商,,,,00430048
RPPNMLLKKIOFFHN66CC,瓦窯中段,29.81,都市：住,,,,12810000
RPUNMLRKKIOFFBN27DC,伸股段,94.15,都市：住,,,,00430034
RPVOMLKKKIOFFDN86CC,員林段,42.00,都市：商,,,,00430048
RPSNMLKLKIOFFCN09CC,景福段,28.03,都市：住,,,,07090001
RPQOMLPLJIOFFAN56CC,南郭段南郭小段,.00,都市：住,,,,01480022
RPQOMLLMKIOFFDN66CC,三義段,6.64,都市：商,,,,02210000
RPQOMLLMKIOFFDN66CC,三義段,13.13,都市：商,,,,02220000
RPQOMLLMKIOFFDN66CC,三義段,1.02,都市：商,,,,02230001
RPQOMLLMKIOFFDN66CC,三義段,63.33,都市：商,,,,02230000
RPSNMLMJJHPFFDN09CC,靜修段,171.30,都市：住,,,,03650000
RPRNMLSJJHPFFBN76CC,福馬段,.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,,,,02120000
RPPNMLOKJHPFFCN98CC,新生段,78.00,都市：住,,,,16690006
RPSNMLQJJHPFFCN86DC,順興段,62.00,都市：住,,,,04400000
RPQNMLPKJHPFFCN66DC,新宮段,51.55,都市：住,,,,04820000
RPSNMLRKJHPFFBN86CC,福馬段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,10280000
RPTOMLLLJHPFFDN76CC,南潭段,65.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04690000
RPUOMLLLJHPFFDN86CC,南潭段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,04690000
RPPPMLPLJIOFFAN56CC,福元段,1190.00,非都市：山坡地保育區 ; 非都市編定：丁種建築用地,,,,03750000
RPUPMLPKJHPFFAN96CC,南郭段南郭小段,.00,都市：住,,,,01540186
RPSNMLKLJHPFFAN78CC,福岩段,4749.56,非都市：山坡地保育區 ; 非都市編定：農牧用地,,,,04590000
RPQNMLKMJHPFFAN68CC,南郭段南郭小段,.00,都市：住,,,,00160031
RPSNMLQLJIOFFAN76CC,福竹段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,11620000
RPVNMLMKKIOFFAN66CC,延平段,.00,都市：住,,,,09770016
RPVNMLMKKIOFFAN66CC,延平段,.00,都市：住,,,,09770024
RPOOMLQJJHPFFAN88CC,古寶段,231.00,非都市：特定農業區 ; 非都市編定：農牧用地,,,,08210000
RPRNMLKLJHPFFAN68CC,福岩段,148.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,04530000
RPRNMLKLJHPFFAN68CC,福岩段,110.71,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,04540000
RPRNMLKLJHPFFAN68CC,福岩段,110.70,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,,04550000
RPOOMLKKJHPFFAN38CC,南郭段南郭小段,41.00,都市：住,,,,02170212
RPRNMLTLJIOFFAN96CC,西勢子段過溝子小段,.00,都市：住,,,,00090006
RPSNMLKKKHPFFAN78CC,三民段,.00,都市：商,,,,10110000
RPVOMLNJKHPFFDN07CC,員林段,22.00,都市：住,,,,04680000
RPVOMLNJKHPFFDN07CC,員林段,61.00,都市：住,,,,04680003
RPVNMLOJKHPFFBN86CC,糖友段,68.12,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,13080000
RPVNMLLMJHPFFDN96CC,員林段,101.00,都市：住,,,,00130221
