鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新竹市,房地(土地+建物)+車位,新竹市新竹市東光段238地號3N棟透天,94.23,其他,,,1071123,土地2建物1車位1,一層,15,店面(店鋪),商業用,鋼筋混凝土造,,267.91,0,0,1,無,無,15900000,63552,坡道平面,35.03,1100000,透天1.2樓店舖,RPRNMLQJKIOFFAO76EB
新竹市,房地(土地+建物)+車位,新竹市新竹市科學園路6S戶1樓,50.07,商,,,1071025,土地1建物1車位1,一層,6,店面(店鋪),商業用,鋼筋混凝土造,,170.18,0,0,1,無,無,24230000,175460,坡道平面,39.78,1350000,,RPPQMLQJJHPFFAO56CB
新竹市,房地(土地+建物)+車位,新竹市新竹市科學園路F戶4樓,32.46,商,,,1071025,土地1建物1車位2,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,211.59,4,2,2,有,無,14220000,88768,坡道平面,79.56,2500000,,RPQQMLQJJHPFFAO66CB
新竹市,房地(土地+建物)+車位,新竹市新竹市科學園路G戶6樓,28.81,商,,,1071025,土地1建物1車位1,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,164.09,3,2,2,有,無,12360000,89373,坡道平面,39.78,1250000,,RPVOMLSJJHPFFAO17CB
新竹市,房地(土地+建物)+車位,新竹市新竹市科學園路A戶3樓,29.6,商,,,1071030,土地1建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,163.48,3,2,2,有,無,12320000,89491,坡道平面,39.78,1250000,,RPWOMLSJJHPFFAO27CB
新竹市,房地(土地+建物)+車位,新竹市新竹市科學園路G戶4樓,28.81,商,,,1071025,土地1建物1車位1,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,164.09,3,2,2,有,無,12210000,88167,坡道平面,39.78,1250000,,RPXOMLSJJHPFFAO37CB
新竹市,房地(土地+建物),新竹市新竹市科學園路11S戶1樓,30.47,商,,,1071025,土地1建物1車位0,一層,6,店面(店鋪),商業用,鋼筋混凝土造,,81.71,0,0,1,無,無,13600000,166442,,0.0,0,,RPOPMLSJJHPFFAO56CB
新竹市,房地(土地+建物),新竹市新竹市科學園路10S戶1樓,29.95,商,,,1071025,土地1建物1車位0,一層,6,店面(店鋪),商業用,鋼筋混凝土造,,80.34,0,0,1,無,無,13370000,166418,,0.0,0,,RPPPMLSJJHPFFAO66CB
新竹市,房地(土地+建物)+車位,新竹市新竹市科學園路9S戶1樓,31.85,商,,,1071025,土地1建物1車位1,一層,6,店面(店鋪),商業用,鋼筋混凝土造,,121.29,0,0,1,無,無,14940000,166115,坡道平面,39.78,1400000,,RPQPMLSJJHPFFAO76CB
