鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
斗六市,房地(土地+建物),雲林縣斗六市南京路369號7樓,15.69,商,,,1081102,土地1建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830901,123.61,3,1,2,有,有,無,12000,97,,0.0,0,,RPTNMLMLJIOFFAP66CC
斗六市,房地(土地+建物),雲林縣斗六市鎮北路686巷82號,79.93,,鄉村區,乙種建築用地,1081121,土地1建物0車位0,全,2,透天厝,住家用,加強磚造,0700328,100.63,3,1,2,有,無,無,9000,89,,0.0,0,,RPVNMLRLJIOFFAP37CC
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮虎興北路115號,117.0,住,,,1081203,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1021101,189.32,5,2,4,有,無,有,16000,85,,0.0,0,,RPPNMLPJKIOFFDP76CC
元長鄉,房地(土地+建物),雲林縣元長鄉經建路29之1號,1923.0,,工業區,丁種建築用地,1081202,土地1建物1車位0,見其他登記事項,1,工廠,工業用,見其他登記事項,0791210,811.46,0,0,0,無,無,無,60000,,,0.0,0,,RPWNMLLKKIOFFEP27CC
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮博愛路168之3號,86.96,住,,,1081201,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0970303,214.01,5,2,3,有,無,有,24974,117,,0.0,0,,RPRNMLMKKIOFFDP76CC
斗六市,房地(土地+建物),雲林縣斗六市上海西路22號,110.06,住,,,1081218,土地1建物0車位0,全,4,透天厝,停車空間、住宅,鋼筋混凝土造,0971209,220.03,4,3,3,有,無,無,20000,91,,0.0,0,,RPUNMLKLKIOFFAP76DC
斗六市,房地(土地+建物),雲林縣斗六市湖山路726號,118.55,,鄉村區,乙種建築用地,1081222,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0840901,140.91,7,1,3,有,無,無,10000,71,,0.0,0,有附一台熱水器,RPQNMLPLKIOFFAP76CC
斗六市,房地(土地+建物),雲林縣斗六市武陵街49巷121號7樓,7.17,住,,,1081229,土地1建物1車位0,七層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831115,55.95,1,1,1,有,無,有,7000,125,,0.0,0,屋內設備有:分離式冷氣兩台.遙控器貳支.電視壹台遙控壹支.冰箱壹台.沙發茶几一組.洗衣機一台.鑰匙貳組.彈簧床一個,RPWNMLLMKIOFFAP07CC
斗六市,房地(土地+建物),雲林縣斗六市鎮東路61巷11號,126.0,住,,,1090116,土地1建物0車位0,全,2,透天厝,住家用,加強磚造,0640114,109.74,4,1,3,有,無,無,10000,91,,0.0,0,備註:第一個月租金出租人不收讓承租人打掃屋內附贈:冷氣2台熱水器1台衣櫥2組床組1組瓦斯爐1組,RPPNMLKLJHPFFAP68CC
斗六市,房地(土地+建物),雲林縣斗六市仁義路8之15號,58.0,,鄉村區,乙種建築用地,1090106,土地1建物0車位0,全,2,透天厝,住商用,加強磚造,0661109,105.45,5,1,5,有,無,無,15000,142,,0.0,0,含有未保存建物,RPWNMLKLJHPFFAP76CC
斗六市,房地(土地+建物)+車位,雲林縣斗六市福德街50號七樓,23.75,住,,,1090102,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810829,131.32,3,2,2,有,有,有,15000,114,坡道平面,22.75,0,含管理費,RPXNMLKLJHPFFAP86CC
斗六市,房地(土地+建物),雲林縣斗六市中正路23號7樓,17.66,商,,,1090115,土地1建物0車位0,七層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0850318,126.28999999999999,2,0,2,有,無,有,8000,63,,0.0,0,附贈:冷氣2台冰箱1台洗衣機1台熱水器1台衣櫥床組書桌椅1組,RPQOMLKLJHPFFAP88CC
斗六市,房地(土地+建物),雲林縣斗六市北祥街458號,98.0,住,,,1090202,土地1建物0車位0,全,2,透天厝,住家用,加強磚造,0680828,76.08,3,2,2,有,無,無,10000,131,,0.0,0,備註:有附冷氣參台熱水器壹台,RPQNMLOJKHPFFAP09CC
