編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLPJKIOFFDP76CC,6,189.32,店鋪、住宅,鋼筋混凝土造,102年11月1日,三層,
RPRNMLMKKIOFFDP76CC,12,214.01,住商用,鋼筋混凝土造,97年3月3日,四層,
RPUNMLKLKIOFFAP76DC,11,220.03,停車空間、住宅,鋼筋混凝土造,97年12月9日,四層,
RPWNMLLKKIOFFEP27CC,29,811.46,工業用,有壁鋼架造,79年12月10日,一層,
RPQNMLOJKHPFFAP09CC,40,76.08,住家用,加強磚造,68年8月28日,二層,
RPPNMLKLJHPFFAP68CC,45,109.74,住家用,加強磚造,64年1月14日,二層,
RPQNMLPLKIOFFAP76CC,24,140.91,住家用,鋼筋混凝土造,84年9月1日,三層,
RPWNMLKLJHPFFAP76CC,42,105.45,住商用,加強磚造,66年11月9日,二層,
RPWNMLLMKIOFFAP07CC,25,41.24,住家用,鋼筋混凝土造,83年11月15日,十二層,
RPWNMLLMKIOFFAP07CC,25,7.25,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPWNMLLMKIOFFAP07CC,25,7.46,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPQOMLKLJHPFFAP88CC,24,102.39,商業用,鋼筋混凝土造,85年3月18日,八層,
RPQOMLKLJHPFFAP88CC,24,23.90,共有部份,鋼筋混凝土造,85年3月18日,八層,
RPVNMLRLJIOFFAP37CC,39,100.63,住家用,加強磚造,70年3月28日,二層,
RPXNMLKLJHPFFAP86CC,27,107.69,住家用,鋼筋混凝土造,81年8月29日,八層,
RPXNMLKLJHPFFAP86CC,27,23.63,共有部份,鋼筋混凝土造,81年8月29日,八層,
RPTNMLMLJIOFFAP66CC,25,112.87,住家用,鋼筋混凝土造,83年9月1日,八層,
RPTNMLMLJIOFFAP66CC,25,10.74,共有部份,鋼筋混凝土造,83年9月1日,八層,
