編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLPLJIOFFBQ56CA,25,91.62,住家用,鋼筋混凝土造,83年12月15日,五層,五層 陽台 花台
RPOOMLPLJIOFFBQ56CA,25,16.33,樓電梯間、停車空間、車道,鋼筋混凝土造,83年12月15日,五層,
RPPOMLNKJIOFFCQ09CA,,185.45,住宅、樓梯間,鋼筋混凝土造,108年8月2日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPPNMLOKJIOFFCQ09CA,41,116.87,住商用,鋼筋混凝土加強磚造,67年12月30日,二層,一層 二層 騎樓
RPQOMLNKJIOFFCQ56CA,,177.23,住宅、樓梯間,鋼筋混凝土造,108年8月2日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPSOMLMKJIOFFDQ76CA,19,179.50,住商用,鋼筋混凝土造,89年7月12日,四層,一層 二層 三層 四層 陽台
RPVOMLMKJIOFFDQ07CA,13,129.82,店舖、住宅、梯間,鋼筋混凝土造,95年11月21日,三層,一層 二層 三層 陽台 見其他登記事項
RPVNMLNKJIOFFCQ96CA,40,90.69,住商用,鋼筋混凝土加強磚造,69年1月11日,二層,一層 二層 電梯樓梯間
RPQNMLOKJIOFFDQ86EA,31,241.01,住家用,鋼筋混凝土加強磚造,77年8月9日,三層,一層 二層 三層
RPSNMLOKJIOFFCQ86DA,25,178.39,住商用,鋼筋混凝土造,84年2月17日,三層,一層 二層 三層 平台 電梯樓梯間 夾層 見其他登記事項
RPSNMLNKJIOFFBQ56CA,12,269.21,集合住宅、停車空間,鋼筋混凝土造,97年4月8日,四層,一層 二層 三層 四層 地下一層 見其他登記事項
RPSNMLNKJIOFFBQ56CA,12,5.05,管理委員會室,鋼筋混凝土造,97年4月8日,三層,
RPSNMLNKJIOFFBQ56CA,12,32.14,停車空間,鋼筋混凝土造,97年4月8日,四層,
RPWNMLTJKIOFFCQ67CA,37,74.79,住家用,鋼筋混凝土加強磚造,72年3月24日,二層,一層 二層
RPXNMLOKJIOFFBQ17CA,35,168.89,住家用,鋼筋混凝土加強磚造,73年12月6日,二層,一層 二層 陽台 騎樓
RPSOMLTJKIOFFCQ37CA,24,244.05,住商用,鋼筋混凝土造,84年6月12日,四層,一層 二層 三層 四層 電梯樓梯間 見其他登記事項
