編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLKLJIOFFCQ66CC,26,188.48,住家用,鋼筋混凝土造,82年10月12日,三層,
RPWNMLSKJIOFFBQ67CC,26,178.00,住商用,ＲＣ造磚材料,82年12月29日,三層,
RPRNMLRKJHPFFCQ17CC,35,107.56,住家用,鋼筋混凝土加強磚造,73年9月12日,二層,
RPQNMLOLKIOFFDQ07CC,22,326.00,商業用,鋼造,87年4月7日,一層,
RPTNMLSLJIOFFCQ57CC,43,127.42,住家用,鋼筋混凝土加強磚造,66年3月3日,二層,
RPPNMLSLKIOFFCQ27CC,43,71.28,住家用,鋼筋混凝土加強磚造,66年4月27日,二層,
RPTNMLNJKHPFFDQ07CC,38,107.48,住家用,鋼筋混凝土加強磚造,70年12月20日,二層,
RPPNMLOJKHPFFDQ76CC,23,170.44,住商用,鋼筋混凝土加強磚造,86年3月5日,三層,
RPQNMLOJKHPFFDQ86CC,12,215.51,住商用,鋼筋混凝土造,97年7月3日,四層,
RPQNMLRKKIOFFBQ07CC,13,66.75,商業用,鋼筋混凝土造,95年8月28日,八層,
RPQNMLRJJHPFFBQ86CC,13,15.06,住家用,鋼筋混凝土造,95年8月28日,八層,
RPQNMLRKKIOFFBQ07CC,13,40.89,住家用,鋼筋混凝土造,95年8月28日,八層,
RPQNMLRJJHPFFBQ86CC,13,15.06,住家用,鋼筋混凝土造,95年8月28日,八層,
RPQNMLRJJHPFFBQ86CC,13,8.38,共有部分,鋼筋混凝土造,95年8月28日,,
RPQNMLRJJHPFFBQ86CC,13,11.56,共有部分,鋼筋混凝土造,95年8月28日,,
RPPNMLRKKIOFFBQ96CC,14,56.22,商業用,鋼筋混凝土造,94年10月3日,十層,
RPPNMLRKKIOFFBQ96CC,14,.37,管理委員會使用空間,鋼筋混凝土造,94年10月3日,十層,
RPPNMLRKKIOFFBQ96CC,14,32.43,機電設備空間、停車空間、樓梯間、走廊、機械室、水塔,鋼筋混凝土造,94年10月3日,十層,
RPRNMLRKKIOFFBQ17CC,13,19.19,住家用,鋼筋混凝土造,95年8月28日,八層,
RPRNMLRKKIOFFBQ17CC,13,4.59,共有部分,鋼筋混凝土造,95年8月28日,,
RPRNMLRKKIOFFBQ17CC,13,7.42,共有部分,鋼筋混凝土造,95年8月28日,,
RPPNMLRJJHPFFBQ76CC,15,176.07,住商用,鋼筋混凝土造,92年9月22日,四層,
