鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新城鄉,建物,花蓮縣新城鄉北埔村民族路83號,0.0,商,,,1081108,土地0建物0車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1070514,53.05,1,0,1,有,無,有,9500,179,,0.0,0,租賃面積含5樓前露台空間。,RPVNMLLKJIOFFAU17CC
吉安鄉,土地,慈惠段688-1地號,1409.58,住,,,1081016,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,30000,21,,0.0,0,部份土地約110坪及地上物倉庫,RPTNMLMKJIOFFAU17DC
吉安鄉,土地,慶豐段1124地號,215.2,農,,,1081025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,9000,42,,0.0,0,中央路二段185號前方未登記建物木造平房3個房間,RPRNMLNKJIOFFAU17EC
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛四街116號六之二十,6.47,住,,,1081106,土地1建物1車位0,六層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840919,33.25,1,0,1,有,有,有,6500,195,,0.0,0,,RPQNMLNKJIOFFAU86CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中山路三段99巷191號,158.33,住,,,1081106,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,1040525,221.55,6,1,6,有,無,無,30000,135,,0.0,0,,RPSNMLSKJIOFFAU57CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國興五街82號,87.0,住,,,1081016,土地1建物0車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0680622,107.57,3,1,2,有,無,無,13000,121,,0.0,0,,RPUNMLSKJIOFFAU77CC
花蓮市,房地(土地+建物),花蓮縣花蓮市林森路287號三樓之二,14.87,住,,,1081105,土地1建物0車位0,見其他登記事項,12,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1000121,106.0,2,2,1,有,有,無,18000,170,,0.0,0,,RPOOMLTKJIOFFAU37CC
新城鄉,房地(土地+建物),花蓮縣新城鄉嘉北一街2巷8號,43.0,農,,,1081118,土地1建物1車位0,一層,1,其他,住家用,磚造,0641001,37.42,1,1,1,有,無,有,5000,134,,0.0,0,,RPVPMLTKJIOFFAU18CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國民十一街３號二樓之二,17.68,商,,,1081115,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771019,54.33,2,1,1,有,無,無,8000,147,,0.0,0,,RPUPMLTKJIOFFAU28EC
花蓮市,房地(土地+建物),花蓮縣花蓮市睦和街13號,98.0,住,,,1081114,土地1建物0車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0690531,125.95,3,1,2,有,無,無,13000,103,,0.0,0,,RPPOMLLLJIOFFAU76CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路857號,108.0,住,,,1081114,土地1建物0車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0751208,239.56,4,2,3,有,無,無,25000,104,,0.0,0,,RPSOMLLLJIOFFAU07CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛六街45號4樓之2,13.07,住,,,1081118,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841123,46.85,1,0,1,有,有,有,6000,128,,0.0,0,,RPUNMLMLJIOFFAU27CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉建昌路182號,95.0,住,,,1081105,土地1建物0車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0821206,305.29,5,4,4,有,無,無,20000,66,,0.0,0,,RPWNMLMLJIOFFAU47CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉仁光105號,188.81,,特定農業區,甲種建築用地,1081115,土地1建物0車位0,全,1,透天厝,住家用,鋼筋混凝土加強磚造,0710227,88.41,3,2,1,有,無,無,9000,102,,0.0,0,,RPOOMLMLJIOFFAU76CC
新城鄉,建物,花蓮縣新城鄉民族路73號,0.0,商,,,1081119,土地0建物0車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1070514,27.14,1,0,1,有,無,有,7500,276,,0.0,0,承租4樓後房間,RPRNMLQLJIOFFAU37CC
新城鄉,建物,花蓮縣新城鄉民族路83號,0.0,商,,,1081121,土地0建物0車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1070514,40.07,1,0,1,有,無,有,9500,237,,0.0,0,承租2樓後房間,RPSNMLQLJIOFFAU47CC
新城鄉,建物,花蓮縣新城鄉民族路73號,0.0,商,,,1081118,土地0建物0車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1070514,40.26,1,0,1,有,無,有,8500,211,,0.0,0,承租2樓前房間,RPTNMLQLJIOFFAU57CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國富二街58號,0.0,住,,,1081030,土地1建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0740424,20.0,1,0,1,有,無,有,6000,300,,0.0,0,,RPUNMLQLJIOFFAU67CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國富二街58號,0.0,住,,,1081030,土地1建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0740424,20.0,1,0,1,有,無,有,4000,200,,0.0,0,,RPROMLQLJIOFFAU47CC
