編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLLKJIOFFAU17CC,1,53.05,住家用,鋼筋混凝土造,107年5月14日,五層,
RPQNMLNKJIOFFAU86CC,24,23.37,住家用,鋼筋混凝土造,84年9月19日,六層,
RPQNMLNKJIOFFAU86CC,24,9.88,共有部份,鋼筋混凝土造,84年9月19日,六層,
RPSNMLSKJIOFFAU57CC,4,221.55,住家用,鋼筋混凝土造,104年5月25日,三層,
RPSOMLLLJIOFFAU07CC,33,239.56,住商用,鋼筋混凝土造,75年12月8日,三層,
RPUNMLMLJIOFFAU27CC,24,38.90,住家用,鋼筋混凝土造,84年11月23日,五層,
RPUNMLMLJIOFFAU27CC,24,7.95,共有部份,鋼筋混凝土造,84年11月23日,五層,
RPWNMLMLJIOFFAU47CC,26,305.29,住商用,鋼筋混凝土造,82年12月6日,五層,
RPOOMLMLJIOFFAU76CC,38,88.41,住家用,鋼筋混凝土加強磚造,71年2月27日,一層,
RPOOMLTKJIOFFAU37CC,9,72.99,集合住宅,鋼筋混凝土造,100年1月21日,十二層,
RPOOMLTKJIOFFAU37CC,9,33.01,共有部份,鋼筋混凝土造,100年1月21日,十二層,
RPVPMLTKJIOFFAU18CC,44,37.42,住家用,磚造,64年10月1日,一層,
RPUPMLTKJIOFFAU28EC,31,42.41,住家用,鋼筋混凝土造,77年10月19日,五層,
RPUPMLTKJIOFFAU28EC,31,11.92,共有部份,鋼筋混凝土造,77年10月19日,五層,
RPUNMLSKJIOFFAU77CC,40,107.57,住商用,鋼筋混凝土加強磚造,68年6月22日,二層,
RPUOMLQLJIOFFAU87DC,7,26.45,住家用,鋼筋混凝土造,102年1月31日,四層,
RPPOMLLLJIOFFAU76CC,39,125.95,住商用,鋼筋混凝土加強磚造,69年5月31日,二層,
RPPNMLRLJIOFFAU37DC,6,212.52,住家用,鋼筋混凝土造,102年10月21日,四層,
RPUOMLSLJIOFFAU08DC,32,71.29,住商用,鋼筋混凝土造,76年11月11日,二層,
RPTNMLMJKIOFFAU17DC,37,74.48,商業用,鋼造,71年10月5日,一層,
RPTOMLTJKIOFFAU97DC,43,104.55,住商用,鋼筋混凝土加強磚造,65年12月17日,二層,
RPSNMLLKKIOFFAU96CC,13,243.59,住家用,鋼筋混凝土造,96年4月24日,四層,
RPROMLQLJIOFFAU47CC,35,20.00,住商用,鋼筋混凝土造,74年4月24日,三層,
RPUNMLQLJIOFFAU67CC,35,20.00,住商用,鋼筋混凝土造,74年4月24日,三層,
RPUNMLOJKIOFFAU37CC,30,49.04,住家用,鋼筋混凝土造,78年6月3日,五層,
RPUNMLOJKIOFFAU37CC,30,4.58,共有部份,鋼筋混凝土造,78年6月3日,五層,
RPUNMLOJKIOFFAU37CC,30,5.13,共有部份,鋼筋混凝土造,78年6月3日,五層,
RPSOMLTJKIOFFAU77CC,1,25.00,住家用,鋼筋混凝土造,107年7月18日,四層,
RPRNMLQLJIOFFAU37CC,2,27.14,住家用,鋼筋混凝土造,107年5月14日,五層,
RPSNMLQLJIOFFAU47CC,2,40.07,住家用,鋼筋混凝土造,107年5月14日,五層,
RPTOMLKKKIOFFAU07CC,15,187.72,住家用,鋼筋混凝土造,93年7月13日,四層,
RPTNMLQLJIOFFAU57CC,2,40.26,住家用,鋼筋混凝土造,107年5月14日,五層,
RPQNMLPJKIOFFAU07CC,28,108.16,住家用,鋼筋混凝土造,81年4月30日,五層,
