編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLNKJIOFFAW96DA,小西門劃測段,51.15,都市：其他:農業區、自然村專用區,21,2,持分移轉,02140000
RPVNMLSKJIOFFAW87CA,珠山段,20.49,都市：其他:自然村專用區,100000,5394,持分移轉,07840000
RPVNMLSKJIOFFAW87CA,珠山段,19.16,都市：其他:自然村專用區,100000,5394,持分移轉,07880000
RPPNMLMLJIOFFAW86DA,北四劃段,893.00,都市：農,1,1,全筆移轉,01840000
RPPNMLOLJIOFFAW96CA,東坑村測段,23.04,都市：其他:自然村專用區,24,1,持分移轉,00220000
RPPNMLOLJIOFFAW96CA,東坑村測段,23.04,都市：其他:自然村專用區,24,1,持分移轉,00220000
RPRNMLOKJIOFFAW17DA,高坑劃測段,643.11,都市：其他:自然村專用區,1,1,全筆移轉,02260000
RPTNMLNKJIOFFAW17CA,市港段,14.33,都市：住,10000,196,持分移轉,00980000
RPTNMLSKJIOFFAW67CA,北二三劃測段,166.99,都市：農,1,1,全筆移轉,03330037
RPQNMLOKJIOFFAW96CA,北二三劃測段,166.99,都市：農,1,1,全筆移轉,03330016
RPPNMLLLJIOFFAW66CA,大山段,1673.00,都市：農,1,1,全筆移轉,11160000
RPRNMLLLJIOFFAW86CA,城西段,12.91,都市：商,30000,426,持分移轉,03540000
RPWNMLSKJIOFFAW97CA,寧劃段,490.69,都市：農,1,1,全筆移轉,00760000
RPSNMLQLJIOFFAW47CA,湖前段,125.77,都市：住,1,1,全筆移轉,10020011
RPQNMLTKJIOFFAW47CA,寧北一劃段,652.42,都市：農,3,2,持分移轉,03120000
RPRNMLSKJIOFFAW47CA,長寮段,38.99,都市：其他:自然村專用區,100000,7345,持分移轉,07200000
RPRNMLTKJIOFFAW67DA,長寮段,60.75,都市：其他:自然村專用區,1000,332,持分移轉,00520000
RPRNMLKLJIOFFAW76CA,市港段,28.71,都市：住,10000,333,持分移轉,01080000
RPRNMLMLJIOFFAW96CA,東紅山段,809.81,都市：其他:第二類一般管制區,1,1,全筆移轉,08710000
RPSNMLSKJIOFFAW57CA,古塔段,109.98,都市：其他:自然村專用區,1,1,全筆移轉,00710000
RPSNMLSKJIOFFAW57CA,古塔段,42.17,都市：其他:農業區，自然村專用區,1,1,全筆移轉,00740000
RPSNMLSKJIOFFAW57CA,古塔段,326.43,都市：其他:農業區，自然村專用區,1,1,全筆移轉,00770000
RPSNMLSKJIOFFAW57CA,古塔段,277.44,都市：其他:農業區，自然村專用區,1,1,全筆移轉,00780000
RPSNMLLLJIOFFAW96CA,盤山村段,45.00,都市：其他:自然村專用區,1,1,全筆移轉,02330000
RPSNMLLLJIOFFAW96CA,盤山村段,17.67,都市：其他:自然村專用區,6,1,持分移轉,02360000
RPQNMLLLJIOFFAW76CA,高陽段,1534.84,都市：農,1,1,全筆移轉,01390000
RPTNMLKLJIOFFAW96CA,歐厝段,602.16,都市：農,1,1,全筆移轉,00060000
RPTNMLMLJIOFFAW17CA,羅劃測段,43.79,都市：其他:自然村專用區,10000,661,持分移轉,01990000
RPSNMLPLJIOFFAW37CA,龍潭段,514.39,都市：農,1,1,全筆移轉,11730000
RPSNMLPLJIOFFAW37CA,龍潭段,489.53,都市：農,1,1,全筆移轉,12460000
RPSNMLPLJIOFFAW37CA,大園段,321.11,都市：農,1,1,全筆移轉,03290000
RPQOMLQLJIOFFAW37CA,寧安四劃段,466.67,都市：農,15,7,持分移轉,00790000
RPQNMLOLJIOFFAW07CA,延平段,53.48,都市：農,10000,1231,持分移轉,03310000
RPQNMLOLJIOFFAW07CA,延平段,77.90,都市：農,1,1,全筆移轉,03330000
RPVNMLLLJIOFFAW27CA,寧湖一劃段,220.00,都市：住,2,1,持分移轉,02950000
RPQNMLMLJIOFFAW96DA,湖前段,125.02,都市：其他:機關用地、自然村專用區,8,1,持分移轉,05620000
RPQNMLPLJIOFFAW27DA,北四劃段,267.54,都市：農,1,1,全筆移轉,06020000
RPQNMLPLJIOFFAW27DA,北四劃段,79.46,都市：其他:道路用地,1,1,全筆移轉,06020001
RPSNMLMLJIOFFAW07CA,太湖劃測段,541.77,都市：農,1,1,全筆移轉,11560001
RPWNMLMLJIOFFAW47CA,沙田劃段,968.91,都市：其他:自然村專用區,1,1,全筆移轉,04150001
RPWNMLMLJIOFFAW47CA,沙田劃段,45.57,都市：其他:道路用地,1,1,全筆移轉,04150002
RPPNMLPLJIOFFAW07CA,山前段,44.17,都市：農,3,1,持分移轉,04430005
RPRNMLQLJIOFFAW37CA,北五劃段,871.94,都市：農,1,1,全筆移轉,02230000
RPRNMLQLJIOFFAW37CA,北五劃段,75.06,都市：其他:道路用地,1,1,全筆移轉,02230002
RPVNMLMLJIOFFAW37CA,夏興段,71.00,都市：其他:自然村專用區,1,1,全筆移轉,12600000
