編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSPMLRKKHPFFAB28CA,麻園頭段,13.09,都市：住,1000000,2486,持分移轉,01320000
RPTNMLNKKHPFFAB77CA,下橋子頭段,.21,都市：住,10000,111,持分移轉,01110040
RPTNMLNKKHPFFAB77CA,下橋子頭段,.01,都市：住,10000,111,持分移轉,01110041
RPTNMLNKKHPFFAB77CA,下橋子頭段,24.53,都市：住,10000,111,持分移轉,01140000
RPROMLLKKHPFFAB47CA,平和段,2.60,都市：商,10000,7,持分移轉,00500000
RPSPMLPKKHPFFAB08CA,平和段,2.60,都市：商,10000,7,持分移轉,00500000
RPWOMLLKKHPFFAB97CA,後?子段,25.02,都市：住,20000,538,持分移轉,01690010
RPXNMLNKKHPFFAB18CA,城隍段九小段,15.20,都市：住,100000,757,持分移轉,00030014
RPXNMLNKKHPFFAB18CA,信義段九小段,9.45,都市：住,100000,757,持分移轉,00080000
RPQNMLPKKHPFFAB67CA,土庫段,35.70,都市：住,1000,42,持分移轉,00120054
RPQNMLQKKHPFFAB77CA,仁愛段七小段,3.09,都市：住,10000,19,持分移轉,00050000
RPQNMLQKKHPFFAB77CA,仁愛段七小段,.62,都市：住,10000,19,持分移轉,00050024
RPRNMLMKKHPFFAB47CA,土庫段,26.40,都市：住,5,2,持分移轉,01010018
RPQPMLRKKHPFFAB08CA,萬安段八小段,2.19,都市：住,10000,86,持分移轉,00040009
RPTOMLTKKHPFFAB48CA,後?子段,8.66,都市：住,10000,108,持分移轉,01730011
RPQPMLRKKHPFFAB08CA,正義段八小段,3.90,都市：住,10000,86,持分移轉,00370005
RPSPMLTKKHPFFAB48CA,城隍段六小段,89.00,都市：其他:市場用地,1,1,全筆移轉,00030002
RPSPMLTKKHPFFAB48CA,城隍段六小段,338.00,都市：其他:市場用地,1,1,全筆移轉,00030000
RPSPMLTKKHPFFAB48CA,城隍段五小段,524.00,都市：其他:市場用地,1,1,全筆移轉,00080014
RPSPMLTKKHPFFAB48CA,城隍段五小段,715.00,都市：其他:市場用地,1,1,全筆移轉,00080015
RPSPMLTKKHPFFAB48CA,城隍段五小段,415.00,都市：其他:市場用地,1,1,全筆移轉,00090003
RPSPMLTKKHPFFAB48CA,城隍段六小段,47.00,都市：其他:市場用地,1,1,全筆移轉,00040000
RPROMLLLKHPFFAB57CA,正義段九小段,13.48,都市：其他:1.第二種住宅區；2.道路用地,10000,117,持分移轉,00100007
RPXNMLNLKHPFFAB28CA,頂橋子頭段,5.36,都市：住,200000,585,持分移轉,05020000
RPVOMLOLKHPFFAB28CA,下橋子頭段,154.00,都市：住,1,1,全筆移轉,01240014
RPVOMLOLKHPFFAB28CA,下橋子頭段,1.00,都市：住,1,1,全筆移轉,01240176
RPROMLLKKHPFFBB57CA,松觀段,20.38,都市：住,10000,224,持分移轉,09870009
RPXOMLNKKHPFFBB38CA,軍和段,68.76,都市：住,1,1,全筆移轉,01260015
RPXOMLNKKHPFFBB38CA,軍和段,32.77,都市：住,100000,3509,持分移轉,01260000
RPXOMLNKKHPFFBB38CA,軍和段,6.36,都市：住,100000,3571,持分移轉,01260008
RPWQMLNKKHPFFBB48CA,邱厝子段,20.50,都市：住,10,1,持分移轉,00110012
RPWQMLNKKHPFFBB48CA,邱厝子段,52.00,都市：住,1,1,全筆移轉,00110074
RPTQMLMKKHPFFBB08CA,錦村段,30.20,都市：住,5,1,持分移轉,03590018
RPTQMLMKKHPFFBB08CA,錦村段,.09,都市：其他:道路用地,2170,10,持分移轉,03590048
RPTQMLMKKHPFFBB08CA,錦村段,3.84,都市：其他:道路用地,2170,10,持分移轉,03590089
RPWRMLMKKHPFFBB48CA,錦村段,53.00,都市：住,1,1,全筆移轉,01240013
RPWRMLMKKHPFFBB48CA,錦村段,18.00,都市：住,1,1,全筆移轉,01240087
RPUOMLMKKHPFFBB97CA,賴厝?段,31.65,都市：商,5000,292,持分移轉,00270012
RPRQMLNKKHPFFBB97CA,東光段,38.22,都市：住,10000,313,持分移轉,00330000
RPOOMLMKKHPFFBB37CA,建業段,26.91,都市：住,68,1,持分移轉,06960000
RPTPMLOKKHPFFBB18CA,文北段,19.55,都市：住,100000,1328,持分移轉,00620000
RPTOMLMKKHPFFBB87CA,東山段,35.39,都市：住,10000,204,持分移轉,03140000
RPRPMLOKKHPFFBB97CA,文北段,23.78,都市：住,100000,1615,持分移轉,00620000
RPWOMLPKKHPFFBB48CA,陳平段,24.90,都市：住,20,1,持分移轉,09250000
RPSOMLPKKHPFFBB08CA,平田段,69.00,都市：住,1,1,全筆移轉,03990008
RPOOMLRKKHPFFBB87CA,平田段,8.02,都市：住,30000,37,持分移轉,08810000
RPXNMLMJLHPFFAB08CA,仁愛段五小段,3.74,都市：商,10000,28,持分移轉,00040000
RPVPMLRKKHPFFBB68CA,水湳段,19.73,都市：住,10000,106,持分移轉,04670000
RPSOMLSKKHPFFBB38CA,賴厝?段,4.59,都市：商,10000,21,持分移轉,04380001
RPWQMLTJLHPFFAB98CA,大益段,21.05,都市：住,10000,206,持分移轉,00840000
RPQNMLNLKHPFFBB67CA,東新段,8.78,都市：住,100000,140,持分移轉,00080000
RPROMLLLKHPFFBB67CA,北屯段,16.25,都市：住,20,1,持分移轉,05500000
RPROMLLLKHPFFBB67CA,北屯段,.40,都市：住,20,1,持分移轉,05510012
RPROMLLLKHPFFBB67CA,東光段,11.85,都市：住,20,1,持分移轉,02670000
RPPPMLTKKHPFFAB18CA,土庫段,15.54,都市：住,10000,59,持分移轉,00630003
RPOQMLMJLHPFFBB57CA,賴厝?段,31.90,都市：住,10000,205,持分移轉,01450087
RPOQMLMJLHPFFBB57CA,賴厝?段,2.58,都市：住,10000,205,持分移轉,01450064
RPUOMLLLKHPFFBB97CA,太和段,20.72,都市：住,100000,1419,持分移轉,00510000
RPXPMLOKKHPFFBB58CA,文北段,29.89,都市：住,100000,2030,持分移轉,00620000
RPWPMLOKKHPFFBB48CA,文北段,20.38,都市：住,100000,1384,持分移轉,00620000
RPUPMLOKKHPFFBB28CA,文北段,19.73,都市：住,100000,1340,持分移轉,00620000
RPVPMLOKKHPFFBB38CA,文北段,20.48,都市：住,100000,1391,持分移轉,00620000
RPRTMLOLKHPFFBB48CA,東峰段,16.73,都市：商,10000,119,持分移轉,00030001
RPSTMLOLKHPFFBB58CA,同榮段,31.51,都市：住,100000,1781,持分移轉,15080000
RPRNMLOJLHPFFBB77CA,北屯段,15.97,都市：住,10000,69,持分移轉,03770000
RPRNMLOJLHPFFBB77CA,平田段,2.15,都市：住,10000,69,持分移轉,01400001
RPWOMLOKKHPFFBB38CA,東信段,12.14,都市：商,100000,328,持分移轉,02580000
RPOPMLOKKHPFFBB67CA,軍和段,18.00,都市：商,10000,55,持分移轉,01830000
RPUOMLOJLHPFFBB18CA,大富段,.14,都市：住,1000000,29713,持分移轉,00960070
RPUOMLOJLHPFFBB18CA,大富段,339.59,都市：住,1000000,10457,持分移轉,00960129
RPUOMLOJLHPFFBB18CA,大富段,416.25,都市：住,1000000,10457,持分移轉,00960130
RPUOMLOJLHPFFBB18CA,大富段,3.24,都市：住,1000000,29713,持分移轉,00960134
RPUOMLOJLHPFFBB18CA,大富段,42.61,都市：住,1000000,29713,持分移轉,00960137
RPUOMLOJLHPFFBB18CA,大富段,59.03,都市：住,1000000,18290,持分移轉,00960140
RPUOMLOJLHPFFBB18CA,大富段,4.35,都市：住,1000000,8863,持分移轉,00960036
RPUOMLOJLHPFFBB18CA,大富段,38.56,都市：住,1000000,10456,持分移轉,00960037
RPUOMLOJLHPFFBB18CA,大富段,771.97,都市：住,1,1,全筆移轉,00960043
RPUOMLOJLHPFFBB18CA,大富段,134.59,都市：住,1000000,58635,持分移轉,00960052
RPUOMLOJLHPFFBB18CA,大富段,39.11,都市：住,1000000,58628,持分移轉,00960055
RPUOMLOJLHPFFBB18CA,大富段,1.54,都市：住,1000000,29713,持分移轉,00960069
RPQOMLOJLHPFFBB77CA,大富段,57.99,都市：住,1000000,17968,持分移轉,00960140
RPQOMLOJLHPFFBB77CA,大富段,5.40,都市：住,1000000,11006,持分移轉,00960036
RPQOMLOJLHPFFBB77CA,大富段,37.88,都市：住,1000000,10272,持分移轉,00960037
RPQOMLOJLHPFFBB77CA,大富段,333.62,都市：住,1000000,10273,持分移轉,00960129
RPQOMLOJLHPFFBB77CA,大富段,408.93,都市：住,1000000,10273,持分移轉,00960130
RPQOMLOJLHPFFBB77CA,大富段,758.34,都市：住,1,1,全筆移轉,00960063
RPSOMLOJLHPFFBB97CA,大富段,58.04,都市：住,1000000,17983,持分移轉,00960140
RPSOMLOJLHPFFBB97CA,大富段,4.27,都市：住,1000000,8714,持分移轉,00960036
RPSOMLOJLHPFFBB97CA,大富段,37.91,都市：住,1000000,10280,持分移轉,00960037
RPSOMLOJLHPFFBB97CA,大富段,333.87,都市：住,1000000,10281,持分移轉,00960129
RPSOMLOJLHPFFBB97CA,大富段,409.25,都市：住,1000000,10281,持分移轉,00960130
RPSOMLOJLHPFFBB97CA,大富段,758.98,都市：住,1,1,全筆移轉,00960060
RPSPMLLKKHPFFCB87CA,國安段,16.87,都市：住,100000,358,持分移轉,05930135
RPUPMLLKKHPFFCB08CA,田心段,8.49,都市：住,20000,202,持分移轉,08400000
RPPOMLMKKHPFFCB57CA,中義段,16.98,都市：住,100000,4445,持分移轉,10470000
RPSOMLMKKHPFFCB87CA,福星段,19.67,都市：住,100000,336,持分移轉,04820000
RPWOMLNKKHPFFCB38CA,何安段,9.51,都市：住,1000,35,持分移轉,06290000
RPXOMLNKKHPFFCB48CA,黎明段,62.00,都市：住,1,1,全筆移轉,04460000
RPUPMLMKKHPFFCB18CA,三塊厝段,18.11,都市：住,10000,69,持分移轉,05590000
RPPQMLMKKHPFFCB77CA,豐富段,23.26,都市：住,10000,455,持分移轉,00940008
RPPQMLMKKHPFFCB77CA,豐富段,64.99,都市：住,1,1,全筆移轉,00940013
RPSNMLOKKHPFFCB97CA,民安段,14.73,都市：住,10000,53,持分移轉,18700001
RPOPMLPKKHPFFCB87CA,惠順段,16.10,都市：商,10000,76,持分移轉,01130000
RPQQMLPKKHPFFCB18CA,信安段,31.82,都市：住,100000,1024,持分移轉,08680000
RPSRMLPKKHPFFCB48CA,何安段,3.74,都市：住,100000,174,持分移轉,09730000
RPQOMLRKKHPFFCB18CA,信安段,23.62,都市：住,10000,341,持分移轉,07240004
RPSPMLOKKHPFFCB18CA,西屯段,5.83,都市：商,100000,172,持分移轉,09320000
RPSQMLRKKHPFFCB58CA,福安段,34.65,都市：住,100000,2310,持分移轉,07790000
RPUPMLRKKHPFFCB68CA,上石碑段,3.81,都市：住,10000,204,持分移轉,13340000
RPUPMLRKKHPFFCB68CA,上石碑段,.78,都市：商,10000,204,持分移轉,13340001
RPVPMLRKKHPFFCB78CA,民安段,18.77,都市：住,10000,123,持分移轉,03880000
RPWOMLSKKHPFFCB88CA,豐富段,27.32,都市：住,100000,769,持分移轉,00280000
RPSPMLRKKHPFFCB48CA,建功段,10.35,都市：住,100000,538,持分移轉,00200000
RPOOMLOJLHPFFBB57CA,大富段,53.00,都市：住,1000000,16421,持分移轉,00960140
RPOOMLOJLHPFFBB57CA,大富段,6.64,都市：住,1000000,13539,持分移轉,00960036
RPOOMLOJLHPFFBB57CA,大富段,34.63,都市：住,1000000,9391,持分移轉,00960037
RPOOMLOJLHPFFBB57CA,大富段,304.91,都市：住,1000000,9389,持分移轉,00960129
RPOOMLOJLHPFFBB57CA,大富段,373.74,都市：住,1000000,9389,持分移轉,00960130
RPOOMLOJLHPFFBB57CA,大富段,693.14,都市：住,1,1,全筆移轉,00960061
RPVNMLOJLHPFFBB18CA,大富段,61.35,都市：住,1000000,19009,持分移轉,00960140
RPVNMLOJLHPFFBB18CA,大富段,2.59,都市：住,1000000,5292,持分移轉,00960036
RPVNMLOJLHPFFBB18CA,大富段,40.08,都市：住,1000000,10868,持分移轉,00960037
RPVNMLOJLHPFFBB18CA,大富段,802.29,都市：住,1,1,全筆移轉,00960064
RPVNMLOJLHPFFBB18CA,大富段,352.94,都市：住,1000000,10868,持分移轉,00960129
RPVNMLOJLHPFFBB18CA,大富段,432.61,都市：住,1000000,10868,持分移轉,00960130
RPWNMLOJLHPFFBB28CA,大富段,63.91,都市：住,1000000,19802,持分移轉,00960140
RPWNMLOJLHPFFBB28CA,大富段,7.59,都市：住,1000000,15481,持分移轉,00960036
RPWNMLOJLHPFFBB28CA,大富段,41.75,都市：住,1000000,11321,持分移轉,00960037
RPWNMLOJLHPFFBB28CA,大富段,367.68,都市：住,1000000,11322,持分移轉,00960129
RPWNMLOJLHPFFBB28CA,大富段,450.69,都市：住,1000000,11322,持分移轉,00960130
RPWNMLOJLHPFFBB28CA,大富段,835.83,都市：住,1,1,全筆移轉,00960057
RPTQMLTJLHPFFBB78CA,建安段,48.70,都市：農,1848,200,持分移轉,08040017
RPUQMLTJLHPFFBB88CA,建安段,7.00,都市：農,1,1,全筆移轉,08040022
RPSQMLTJLHPFFBB68CA,建安段,60.00,都市：農,1,1,全筆移轉,08040023
RPVQMLTJLHPFFBB98CA,建安段,67.00,都市：農,1,1,全筆移轉,08040024
RPVQMLTJLHPFFBB98CA,建安段,35.00,都市：農,1,1,全筆移轉,08040025
RPROMLTKKHPFFCB48CA,福德段,7.57,都市：商,10000,37,持分移轉,02080000
RPQPMLOLKHPFFCB08CA,惠民段,22.51,都市：其他:第六種新市政中心專用區,100000,440,持分移轉,00480000
RPVOMLPLKHPFFCB58CA,建功段,14.40,都市：住,100000,748,持分移轉,00200000
RPXOMLPLKHPFFCB78CA,建功段,14.40,都市：住,100000,748,持分移轉,00200000
RPPPMLNLKHPFFCB87CA,國安段,26.37,都市：住,100000,78,持分移轉,05990000
RPWOMLPLKHPFFCB68CA,建功段,14.40,都市：住,100000,748,持分移轉,00200000
RPVNMLNLKHPFFCB28CA,上石碑段,13.96,都市：商,100000,909,持分移轉,16980000
RPQPMLPLKHPFFCB18CA,建功段,14.40,都市：住,100000,748,持分移轉,00200000
RPPPMLPLKHPFFCB08CA,建功段,14.40,都市：住,100000,748,持分移轉,00200000
RPOPMLPLKHPFFCB97CA,建功段,14.40,都市：住,100000,748,持分移轉,00200000
RPUOMLPLKHPFFCB48CA,建功段,10.85,都市：住,100000,564,持分移轉,00200000
RPTOMLTKKHPFFCB68CA,惠順段,24.35,都市：商,100000,759,持分移轉,00580000
RPRPMLPLKHPFFCB28CA,建功段,14.40,都市：住,100000,748,持分移轉,00200000
RPSPMLPLKHPFFCB38CA,建功段,10.43,都市：住,100000,542,持分移轉,00200000
RPTPMLPLKHPFFCB48CA,建功段,10.41,都市：住,100000,541,持分移轉,00200000
RPPQMLPLKHPFFCB18CA,建功段,14.40,都市：住,100000,748,持分移轉,00200000
RPOQMLPLKHPFFCB08CA,建功段,10.84,都市：住,100000,563,持分移轉,00200000
RPQQMLPLKHPFFCB28CA,建功段,10.62,都市：住,100000,552,持分移轉,00200000
RPWPMLPLKHPFFCB78CA,建功段,10.51,都市：住,100000,546,持分移轉,00200000
RPXPMLPLKHPFFCB88CA,建功段,10.84,都市：住,100000,563,持分移轉,00200000
RPUPMLPLKHPFFCB58CA,建功段,10.62,都市：住,100000,552,持分移轉,00200000
RPVPMLPLKHPFFCB68CA,建功段,10.49,都市：住,100000,545,持分移轉,00200000
RPRQMLPLKHPFFCB38CA,建功段,10.60,都市：住,100000,551,持分移轉,00200000
RPSQMLPLKHPFFCB48CA,建功段,10.68,都市：住,100000,555,持分移轉,00200000
RPROMLPLKHPFFCB18CA,建功段,10.51,都市：住,100000,546,持分移轉,00200000
RPQOMLPLKHPFFCB08CA,建功段,10.51,都市：住,100000,546,持分移轉,00200000
RPPOMLPLKHPFFCB97CA,建功段,10.51,都市：住,100000,546,持分移轉,00200000
RPXNMLPLKHPFFCB68CA,建功段,10.68,都市：住,100000,555,持分移轉,00200000
RPTNMLPLKHPFFCB28CA,建功段,10.62,都市：住,100000,552,持分移轉,00200000
RPUNMLPLKHPFFCB38CA,建功段,10.62,都市：住,100000,552,持分移轉,00200000
RPSNMLPLKHPFFCB18CA,建功段,10.37,都市：住,100000,539,持分移轉,00200000
RPWNMLPLKHPFFCB58CA,建功段,10.62,都市：住,100000,552,持分移轉,00200000
RPOOMLPLKHPFFCB87CA,建功段,10.68,都市：住,100000,555,持分移轉,00200000
RPVNMLPLKHPFFCB48CA,建功段,10.62,都市：住,100000,552,持分移轉,00200000
RPOPMLRLKHPFFCB18CA,建功段,10.85,都市：住,100000,564,持分移轉,00200000
RPQPMLRLKHPFFCB38CA,建功段,10.84,都市：住,100000,563,持分移轉,00200000
RPPPMLRLKHPFFCB28CA,建功段,10.85,都市：住,100000,564,持分移轉,00200000
RPVQMLPLKHPFFCB78CA,建功段,10.84,都市：住,100000,563,持分移轉,00200000
RPQRMLPLKHPFFCB38CA,建功段,10.66,都市：住,100000,554,持分移轉,00200000
RPPRMLPLKHPFFCB28CA,建功段,10.62,都市：住,100000,552,持分移轉,00200000
RPXQMLPLKHPFFCB98CA,建功段,10.37,都市：住,100000,539,持分移轉,00200000
RPWQMLPLKHPFFCB88CA,建功段,14.40,都市：住,100000,748,持分移轉,00200000
RPSPMLRLKHPFFCB58CA,建功段,10.43,都市：住,100000,542,持分移轉,00200000
RPVPMLRLKHPFFCB88CA,建功段,10.85,都市：住,100000,564,持分移轉,00200000
RPUPMLRLKHPFFCB78CA,建功段,10.37,都市：住,100000,539,持分移轉,00200000
RPTPMLRLKHPFFCB68CA,建功段,10.43,都市：住,100000,542,持分移轉,00200000
RPWPMLRLKHPFFCB98CA,建功段,10.51,都市：住,100000,546,持分移轉,00200000
RPWOMLRLKHPFFCB88CA,建功段,10.51,都市：住,100000,546,持分移轉,00200000
RPQRMLRLKHPFFCB58CA,建功段,10.43,都市：住,100000,542,持分移轉,00200000
RPSRMLRLKHPFFCB78CA,建功段,10.43,都市：住,100000,542,持分移轉,00200000
RPSQMLRLKHPFFCB68CA,建功段,10.43,都市：住,100000,542,持分移轉,00200000
RPRQMLRLKHPFFCB58CA,建功段,10.41,都市：住,100000,541,持分移轉,00200000
RPPRMLRLKHPFFCB48CA,建功段,10.41,都市：住,100000,541,持分移轉,00200000
RPVRMLRLKHPFFCB09CA,建功段,10.43,都市：住,100000,542,持分移轉,00200000
RPTRMLRLKHPFFCB88CA,建功段,10.43,都市：住,100000,542,持分移轉,00200000
RPURMLRLKHPFFCB98CA,建功段,10.43,都市：住,100000,542,持分移轉,00200000
RPWRMLRLKHPFFCB56CA,建功段,10.43,都市：住,100000,542,持分移轉,00200000
RPXRMLRLKHPFFCB66CA,建功段,10.43,都市：住,100000,542,持分移轉,00200000
RPPSMLRLKHPFFCB58CA,建功段,10.43,都市：住,100000,542,持分移轉,00200000
