鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
龍井區,房地(土地+建物)+車位,臺中市龍井區龍目井段水師寮小段98，9910地號土地,29.01,住,,,1060903,土地3建物1車位1,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.98,3,2,2,有,無,6980000,61797,坡道平面,39.36,1071000,含一筆土地為道路用地,RPTNMLSKKHPFFKB86DB
龍井區,房地(土地+建物)+車位,臺中市龍井區龍目井段水師寮小段98，9910地號土地,29.01,住,,,1060822,土地3建物1車位1,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,134.98,3,2,2,有,無,6980000,56518,升降機械,22.13,602000,買受人有兩位含一筆道路用地,RPUNMLSKKHPFFKB96DB
大里區,房地(土地+建物)+車位,臺中市大里區福大段123地號,17.34,,鄉村區,乙種建築用地,1080510,土地1建物1車位1,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.58,2,1,1,有,無,5620000,90518,坡道平面,29.75,1200000,,RPOPMLQLKHPFFIB88DB
大里區,房地(土地+建物)+車位,臺中市大里區福大段123地號,18.26,,鄉村區,乙種建築用地,1080526,土地1建物1車位1,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.91,2,1,1,有,無,5650000,82359,坡道平面,26.45,1000000,,RPPPMLQLKHPFFIB98DB
大里區,房地(土地+建物)+車位,臺中市大里區福大段123地號,18.26,,鄉村區,乙種建築用地,1080902,土地1建物1車位1,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.91,2,1,1,有,無,5700000,88412,坡道平面,29.75,1000000,,RPQPMLQLKHPFFIB09DB
大里區,房地(土地+建物),臺中市大里區福大段123地號,17.31,,鄉村區,乙種建築用地,1080329,土地1建物1車位0,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.58,2,1,1,有,無,4450000,56630,,0.0,0,,RPSPMLQLKHPFFIB66DB
大里區,房地(土地+建物),臺中市大里區福大段123地號,17.15,,鄉村區,乙種建築用地,1080501,土地1建物1車位0,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,77.79,2,1,1,有,無,4380000,56305,,0.0,0,,RPTPMLQLKHPFFIB76DB
大里區,房地(土地+建物)+車位,臺中市大里區福大段123地號,22.97,,鄉村區,乙種建築用地,1071125,土地1建物1車位1,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.98,3,2,2,有,無,6660000,77597,坡道平面,29.75,900000,,RPUPMLQLKHPFFIB86DB
大里區,房地(土地+建物),臺中市大里區福大段123地號,18.96,,鄉村區,乙種建築用地,1080419,土地1建物1車位0,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,86.06,2,1,1,有,無,4760000,55310,,0.0,0,,RPVPMLQLKHPFFIB96DB
大里區,房地(土地+建物)+車位,臺中市大里區福大段123地號,17.31,,鄉村區,乙種建築用地,1080403,土地1建物1車位1,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.58,2,1,1,有,無,5700000,95228,坡道平面,29.75,1050000,,RPWPMLQLKHPFFIB07DB
大里區,房地(土地+建物)+車位,臺中市大里區福大段123地號,17.31,,鄉村區,乙種建築用地,1080419,土地1建物1車位1,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,78.58,2,1,1,有,無,5550000,94204,坡道平面,29.75,950000,,RPXPMLQLKHPFFIB17DB
大里區,房地(土地+建物)+車位,臺中市大里區福大段123地號,18.8,,鄉村區,乙種建築用地,1081206,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,85.27,2,1,1,有,無,6200000,92894,坡道平面,33.06,1350000,,RPOQMLQLKHPFFIB98DB
大里區,房地(土地+建物),臺中市大里區福大段123地號,18.3,,鄉村區,乙種建築用地,1080720,土地1建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.09,2,1,1,有,無,4800000,57769,,0.0,0,,RPPQMLQLKHPFFIB09DB
大里區,房地(土地+建物)+車位,臺中市大里區福大段123地號,24.84,,鄉村區,乙種建築用地,1080308,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.71,3,2,2,有,無,7450000,77748,坡道平面,29.75,1000000,,RPQQMLQLKHPFFIB56DB
大里區,房地(土地+建物)+車位,臺中市大里區福大段123地號,20.04,,鄉村區,乙種建築用地,1090120,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.98,2,1,1,有,無,6280000,84254,坡道平面,33.06,1400000,,RPRQMLQLKHPFFIB66DB
大里區,房地(土地+建物),臺中市大里區福大段123地號,18.45,,鄉村區,乙種建築用地,1080503,土地1建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.76,2,1,1,有,無,4780000,57068,,0.0,0,,RPSQMLQLKHPFFIB76DB
大里區,房地(土地+建物)+車位,臺中市大里區福大段123地號,24.81,,鄉村區,乙種建築用地,1080524,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.58,3,2,2,有,無,7880000,81251,坡道平面,29.75,1150000,,RPTQMLQLKHPFFIB86DB
大里區,房地(土地+建物)+車位,臺中市大里區福大段123地號,18.68,,鄉村區,乙種建築用地,1090116,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.74,2,1,1,有,無,6350000,95782,坡道平面,33.06,1400000,,RPUQMLQLKHPFFIB96DB
大里區,房地(土地+建物),臺中市大里區福大段123地號,18.49,,鄉村區,乙種建築用地,1081110,土地1建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.95,2,1,1,有,無,4980000,59321,,0.0,0,,RPVQMLQLKHPFFIB07DB
大里區,房地(土地+建物)+車位,臺中市大里區福大段123地號,19.69,,鄉村區,乙種建築用地,1080323,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,89.32,2,1,1,有,無,5950000,82256,坡道平面,29.75,1050000,,RPWQMLQLKHPFFIB17DB
大里區,房地(土地+建物),臺中市大里區福大段123地號,18.45,,鄉村區,乙種建築用地,1080219,土地1建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,83.76,2,1,1,有,無,4650000,55516,,0.0,0,,RPXQMLQLKHPFFIB27DB
大里區,房地(土地+建物)+車位,臺中市大里區福大段123地號,18.55,,鄉村區,乙種建築用地,1080228,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.12,2,1,1,有,無,5680000,85157,坡道平面,29.75,1050000,,RPORMLQLKHPFFIB09DB
大里區,房地(土地+建物)+車位,臺中市大里區福大段123地號,19.5,,鄉村區,乙種建築用地,1080104,土地1建物1車位1,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,88.56,2,1,1,有,無,5990000,81146,坡道平面,26.45,950000,,RPPRMLQLKHPFFIB56DB
大里區,房地(土地+建物)+車位,臺中市大里區福大段123地號,24.33,,鄉村區,乙種建築用地,1080220,土地1建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,110.29,3,2,2,有,無,7460000,79588,坡道平面,29.75,1050000,,RPQRMLQLKHPFFIB66DB
大里區,房地(土地+建物)+車位,臺中市大里區福大段123地號,18.11,,鄉村區,乙種建築用地,1080329,土地1建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.12,2,1,1,有,無,5650000,88791,坡道平面,29.75,1000000,,RPRRMLQLKHPFFIB76DB
大里區,房地(土地+建物),臺中市大里區福大段123地號,18.11,,鄉村區,乙種建築用地,1080426,土地1建物1車位0,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,82.12,2,1,1,有,無,4830000,58816,,0.0,0,,RPTRMLQLKHPFFIB96DB
