鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
東區,建物,臺南市東區林森路二段192巷24弄9號之4,0.0,住,,,1090114,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721121,19.83,1,0,1,有,無,有,4300,217,,0.0,0,1.租賃契約書無填寫土地租賃面積。2.由所有權人提供租屋資訊。3.此租賃物為公寓分租套房。4.租賃面積約19.83平方公尺。,RPQNMLLKKHPFFCD87CC
東區,建物,臺南市東區裕農路621巷36弄23號5樓之2,0.0,住,,,1090116,土地0建物1車位1,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830523,126.84,3,1,2,有,有,無,13000,102,坡道平面,0.0,0,,RPRNMLLKKHPFFCD97CC
東區,建物,臺南市東區中華東路二段169號14樓之11,4.01,商,,,1090211,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970229,45.45,1,1,1,有,有,有,8500,187,,0.0,0,租金含管理費,RPWNMLLKKHPFFCD48CC
安南區,房地(土地+建物),臺南市安南區開安路10號,597.06,工,,,1090206,土地2建物1車位0,,1,工廠,工業用,見其他登記事項,0850327,303.31,0,0,0,無,無,無,50000,,,0.0,0,,RPQNMLLKKHPFFBD77CC
安南區,建物,臺南市安南區府安路七段102巷9弄13號,0.0,住,,,1090116,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0790630,126.28,4,2,3,有,無,無,13000,103,,0.0,0,,RPRNMLLKKHPFFBD87CC
安南區,建物,臺南市安南區安寧街65巷6號,83.25,住,,,1090209,土地0建物0車位0,二層,2,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830311,162.12,1,0,1,有,無,有,5500,34,,0.0,0,承租房間一間，約5坪,RPTNMLLKKHPFFBD08CC
安定區,建物,臺南市安定區蘇厝424之3號,0.0,,鄉村區,乙種建築用地,1090117,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0810118,159.45,7,1,3,有,無,無,15000,94,,0.0,0,,RPQOMLLKKHPFFHD48CC
新市區,建物,臺南市新市區富強路31巷10號,0.0,住,,,1090207,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0710322,93.38,5,0,5,有,無,有,18000,193,,0.0,0,1.合約書無填具土地租賃面積.2.由所有權人提供出租資訊3.承租範圍:整棟2F前房間除外,RPQOMLMKKHPFFHD58CC
新市區,房地(土地+建物),臺南市新市區中正路88之3號,88.76,住,,,1090209,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0830506,207.5,5,1,3,有,無,有,23000,111,,0.0,0,,RPUOMLMKKHPFFHD98CC
