編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWNMLOKKHPFFBE68CB,坡道平面,1800000,28.74,
RPUPMLPLLHPFFBE98CB,坡道平面,1900000,28.74,
RPPQMLPLLHPFFBE58CB,坡道平面,1800000,28.74,
RPTPMLPLLHPFFBE88CB,坡道平面,1900000,28.74,
RPQQMLPLLHPFFBE68CB,坡道平面,1900000,28.74,
RPSQMLPLLHPFFBE88CB,坡道機械,1350000,22.49,
RPRNMLQLLHPFFBE58CB,坡道平面,1800000,28.74,
RPPOMLQLLHPFFBE48CB,坡道機械,1250000,22.49,
RPUNMLQLLHPFFBE88CB,坡道平面,1850000,29.90,
RPRQMLQLLHPFFBE88CB,坡道平面,2100000,28.74,
RPQNMLRLLHPFFBE58CB,坡道機械,1250000,22.49,
RPOQMLPLLHPFFBE48CB,坡道平面,1800000,28.74,
RPVNMLRLLHPFFBE09CB,坡道平面,2000000,28.74,
RPVNMLRLLHPFFBE09CB,坡道平面,2000000,28.74,
RPRNMLRLLHPFFBE68CB,坡道平面,1800000,28.74,
RPPQMLQLLHPFFBE68CB,坡道平面,2100000,28.74,
RPWNMLRLLHPFFBE56CB,坡道平面,1800000,28.74,
RPTNMLQLLHPFFBE78CB,坡道機械,1350000,22.49,
RPQOMLRLLHPFFBE68CB,坡道平面,1800000,28.74,
RPPOMLRLLHPFFBE58CB,坡道平面,1900000,28.74,
RPXNMLRLLHPFFBE66CB,坡道平面,2100000,28.74,
