編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLOLKHPFFBG48CA,坡道平面,0,,
RPSOMLLLKHPFFBG28CA,坡道平面,0,,
RPUNMLNKKHPFFBG48CA,坡道平面,0,,
RPRNMLNJLHPFFAG08CA,一樓平面,0,,
RPTNMLPKKHPFFAG48CA,一樓平面,0,,
RPVNMLTJLHPFFBG56CA,坡道機械,0,,
RPUNMLOKKHPFFAG48CA,坡道平面,0,,
RPRNMLRKKHPFFAG48CA,坡道平面,0,,
RPXQMLQLKHPFFBG86CA,坡道平面,0,,
RPORMLQLKHPFFBG68CA,坡道平面,0,,
RPORMLQLKHPFFBG68CA,坡道平面,0,,
RPSQMLQLKHPFFBG98CA,坡道平面,0,,
RPSQMLQLKHPFFBG98CA,坡道平面,0,,
RPQPMLOKKHPFFBG58EA,坡道平面,0,,
RPQPMLOKKHPFFBG58EA,坡道平面,0,,
RPTQMLQLKHPFFBG09CA,坡道平面,0,,
RPTQMLQLKHPFFBG09CA,坡道平面,0,,
RPXRMLQLKHPFFBG96CA,坡道平面,0,,
RPUQMLLLKHPFFBG68CA,坡道平面,0,,
RPPOMLMJLHPFFBG97CA,坡道平面,0,,
RPPOMLMJLHPFFBG97CA,坡道平面,0,,
RPPOMLMJLHPFFBG97CA,坡道平面,0,,
RPROMLMJLHPFFBG18CA,坡道平面,0,,
RPROMLMJLHPFFBG18CA,坡道平面,0,,
RPROMLMJLHPFFBG18CA,坡道平面,0,,
RPROMLMJLHPFFBG18CA,坡道平面,0,,
RPROMLMJLHPFFBG18CA,坡道平面,0,,
RPQOMLMJLHPFFBG08CA,坡道平面,0,,
RPQOMLMJLHPFFBG08CA,坡道平面,0,,
RPWPMLLLKHPFFBG78CA,坡道平面,0,,
RPOOMLOKKHPFFBG08CA,坡道平面,0,,
RPUNMLPJLHPFFAG58CA,坡道機械,0,,
RPRNMLQLKHPFFAG48CA,坡道平面,1100000,37.22,
RPQNMLKLKHPFFBG87CA,坡道機械,0,,
RPQNMLRJLHPFFAG38CA,升降平面,0,,
RPWRMLQLKHPFFBG86CA,坡道平面,0,,
RPTRMLQLKHPFFBG56CA,坡道平面,0,,
RPTRMLQLKHPFFBG56CA,坡道平面,0,,
RPTRMLQLKHPFFBG56CA,坡道平面,0,,
RPVNMLKKLHPFFBG38CA,坡道平面,0,,
RPOOMLSKKHPFFAG58EA,一樓平面,0,,
RPURMLQLKHPFFBG66CA,坡道平面,0,,
RPVRMLQLKHPFFBG76CA,坡道平面,0,,
RPVRMLQLKHPFFBG76CA,坡道平面,0,,
RPUNMLOJLHPFFAG48CA,一樓平面,0,,
RPRNMLOLKHPFFAG28CA,坡道平面,0,35.52,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道機械,0,,
RPOOMLOJLHPFFBG08CA,坡道機械,0,,
RPOOMLOJLHPFFBG08CA,坡道機械,0,,
RPOOMLOJLHPFFBG08CA,坡道機械,0,,
RPOOMLOJLHPFFBG08CA,坡道機械,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPOOMLOJLHPFFBG08CA,坡道平面,0,,
RPSRMLQLKHPFFBG09CA,坡道平面,0,,
RPSRMLQLKHPFFBG09CA,坡道平面,0,,
RPRRMLQLKHPFFBG98CA,坡道平面,0,,
RPRRMLQLKHPFFBG98CA,坡道平面,0,,
RPQRMLQLKHPFFBG88CA,坡道平面,0,,
RPPRMLQLKHPFFBG78CA,坡道平面,0,,
RPPRMLQLKHPFFBG78CA,坡道平面,0,,
RPUOMLOJLHPFFBG68CA,坡道機械,0,,
RPSOMLMJLHPFFBG28CA,坡道平面,0,,
RPWNMLPJLHPFFAG78CA,坡道平面,0,,
RPPNMLSLKHPFFAG48CA,坡道平面,0,,
RPUNMLOLKHPFFAG58CA,坡道平面,0,,
RPXNMLMKLHPFFBG78CA,一樓平面,0,20.23,
RPTOMLMJLHPFFBG38CA,坡道平面,0,,
RPTOMLMJLHPFFBG38CA,坡道平面,0,,
RPTOMLMJLHPFFBG38CA,坡道平面,0,,
RPUOMLMJLHPFFBG48CA,坡道平面,0,,
RPWOMLQLKHPFFBG66DA,一樓平面,0,,
RPWOMLRLKHPFFBG66CA,坡道平面,0,,
RPXOMLRLKHPFFBG76CA,坡道平面,0,,
RPRNMLQJLHPFFAG38CA,坡道平面,0,,
RPSNMLQJLHPFFAG48CA,坡道平面,0,,
RPXNMLPJLHPFFAG88CA,坡道平面,0,,
RPTNMLTJLHPFFAG88CA,一樓平面,0,,
RPWNMLOJLHPFFAG68CA,一樓平面,0,,
RPPNMLKKLHPFFAG67CA,一樓平面,0,,
