鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉五峰段1090地號等12筆B2戶15樓,35.36,住,,,1070507,土地1建物1車位0,十五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.44,2,2,2,有,無,18160000,114618,,0.0,0,不動產標示為五峰段000地號等12筆,RPSOMLOKKHPFFBG68DB
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉五峰段1090地號等12筆A5戶2樓,37.24,住,,,1070511,土地1建物1車位0,二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,166.73,2,2,2,有,無,18510000,111018,,0.0,0,不動產標示為五峰段000地號等12筆,RPTOMLOKKHPFFBG78DB
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉五峰段1090地號等12筆A6戶2樓,28.71,住,,,1070511,土地1建物1車位0,二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.64,1,1,2,有,無,14060000,109297,,0.0,0,不動產標示為五峰段000地號等12筆,RPUOMLOKKHPFFBG88DB
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉五峰段1090地號等12筆A3戶4樓,23.51,住,,,1070515,土地1建物1車位0,四層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.19,1,1,2,有,無,9960000,94686,,0.0,0,不動產標示為五峰段000地號等12筆,RPWOMLOKKHPFFBG09DB
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉五峰段1090地號等12筆A6戶6樓,28.71,住,,,1070515,土地1建物1車位0,六層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.64,1,1,2,有,無,12790000,99425,,0.0,0,不動產標示為五峰段000地號等12筆,RPXOMLOKKHPFFBG56DB
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉五峰段1090地號等12筆A3戶5樓,23.51,住,,,1070516,土地1建物1車位0,五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.19,1,1,2,有,無,10330000,98203,,0.0,0,不動產標示為五峰段000地號等12筆,RPPPMLOKKHPFFBG48DB
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉五峰段1090地號等12筆A3戶7樓,23.51,住,,,1070516,土地1建物1車位0,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.19,1,1,2,有,無,10580000,100580,,0.0,0,不動產標示為五峰段000地號等12筆,RPQPMLOKKHPFFBG58DB
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉五峰段1090地號等12筆A3戶8樓,23.51,住,,,1070516,土地1建物1車位0,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.19,1,1,2,有,無,10700000,101721,,0.0,0,不動產標示為五峰段000地號等12筆,RPVPMLOKKHPFFBG09DB
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉五峰段1090地號等12筆B6戶8樓,28.71,住,,,1070516,土地1建物1車位0,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.64,1,1,2,有,無,12770000,99269,,0.0,0,不動產標示為五峰段000地號等12筆,RPXPMLOKKHPFFBG66DB
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉五峰段1090地號等12筆A6戶7樓,28.71,住,,,1070519,土地1建物1車位0,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.64,1,1,2,有,無,12930000,100513,,0.0,0,不動產標示為五峰段000地號等12筆,RPQNMLPKKHPFFBG48DB
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉五峰段1090地號等12筆B3戶4樓,23.51,住,,,1070519,土地1建物1車位0,四層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,105.19,1,1,2,有,無,10140000,96397,,0.0,0,不動產標示為五峰段000地號等12筆,RPVOMLPKKHPFFBG09DB
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉五峰段1090地號等12筆A2戶15樓,35.36,住,,,1070520,土地1建物1車位0,十五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.44,2,2,2,有,無,17850000,112661,,0.0,0,不動產標示為五峰段000地號等12筆,RPWOMLPKKHPFFBG56DB
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉五峰段1090地號等12筆A6戶5樓,28.71,住,,,1070521,土地1建物1車位0,五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.64,1,1,2,有,無,12630000,98181,,0.0,0,不動產標示為五峰段000地號等12筆,RPPNMLQKKHPFFBG48DB
