編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRPMLPJLHPFFAG58CB,坡道平面,1100000,37.22,
RPOPMLPJLHPFFAG28CB,坡道平面,1100000,37.22,
RPUOMLPJLHPFFAG78CB,坡道平面,1100000,37.22,
RPPPMLPJLHPFFAG38CB,坡道平面,1000000,37.22,
RPVOMLPJLHPFFAG88CB,坡道平面,1000000,37.22,
RPSOMLPJLHPFFAG58CB,坡道平面,1000000,37.22,
RPTOMLPJLHPFFAG68CB,坡道平面,1100000,37.22,
RPXOMLPJLHPFFAG09CB,坡道平面,1100000,37.22,
RPROMLPJLHPFFAG48CB,坡道平面,1100000,37.22,
RPSPMLPJLHPFFAG68CB,坡道平面,1000000,37.22,
RPTPMLPJLHPFFAG78CB,坡道平面,1100000,37.22,
RPVPMLPJLHPFFAG98CB,坡道平面,1000000,37.22,
RPUPMLPJLHPFFAG88CB,坡道平面,1000000,37.22,
RPWPMLPJLHPFFAG09CB,坡道平面,1000000,37.22,
RPOQMLPJLHPFFAG38CB,坡道平面,1000000,37.22,
RPPQMLPJLHPFFAG48CB,坡道平面,1000000,37.22,
RPSQMLPJLHPFFAG78CB,坡道平面,1000000,37.22,
RPQQMLPJLHPFFAG58CB,坡道平面,1100000,37.22,
RPWQMLPJLHPFFAG56CB,坡道平面,1100000,37.22,
RPRQMLPJLHPFFAG68CB,坡道平面,1000000,37.22,
RPUQMLPJLHPFFAG98CB,坡道平面,1000000,37.22,
RPORMLPJLHPFFAG48CB,坡道平面,1100000,37.22,
RPXQMLPJLHPFFAG66CB,坡道平面,1100000,37.22,
RPTRMLPJLHPFFAG98CB,坡道平面,1000000,37.22,
RPQRMLPJLHPFFAG68CB,坡道平面,1000000,37.22,
RPPRMLPJLHPFFAG58CB,坡道平面,1000000,37.22,
RPRRMLPJLHPFFAG78CB,坡道平面,1000000,37.22,
RPVRMLPJLHPFFAG56CB,坡道平面,1000000,37.22,
RPXRMLPJLHPFFAG76CB,坡道平面,1100000,37.22,
RPTSMLPJLHPFFAG09CB,坡道平面,1000000,37.22,
RPOSMLPJLHPFFAG58CB,坡道平面,1000000,37.22,
RPQSMLPJLHPFFAG78CB,坡道平面,1100000,37.22,
RPPSMLPJLHPFFAG68CB,坡道平面,1000000,37.22,
RPVSMLPJLHPFFAG66CB,坡道平面,1000000,37.22,
RPUSMLPJLHPFFAG56CB,坡道平面,1000000,37.22,
RPRSMLPJLHPFFAG88CB,坡道平面,1000000,37.22,
RPRNMLTJLHPFFAG78CB,坡道平面,1000000,37.22,
RPWSMLPJLHPFFAG76CB,坡道平面,1100000,37.22,
RPPNMLTJLHPFFAG58CB,坡道平面,1000000,37.22,
RPQNMLTJLHPFFAG68CB,坡道平面,1100000,37.22,
RPQNMLTJMHPFFBG09EB,坡道平面,1000000,39.06,
RPPNMLTJMHPFFBG98EB,坡道平面,1000000,39.06,
RPUNMLTJMHPFFBG86EB,坡道平面,900000,39.06,
RPSNMLTJMHPFFBG66EB,坡道平面,900000,39.06,
RPRNMLTJMHPFFBG56EB,坡道平面,500000,39.06,
RPTNMLTJMHPFFBG76EB,坡道平面,1100000,39.06,
RPVNMLTJMHPFFBG96EB,坡道平面,900000,39.06,
RPWNMLTJMHPFFBG07EB,坡道平面,1100000,39.06,
