鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C1-02,24.44,住,,,1081020,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.39,2,2,2,有,無,7500000,59460,坡道平面,40.8,1400000,,RPXNMLLKKHPFFBH78CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C1-03,24.44,住,,,1080817,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.39,2,2,2,有,無,6940000,54001,坡道平面,40.8,1400000,,RPOOMLLKKHPFFBH97CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C1-04,24.44,住,,,1080908,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.39,2,2,2,有,無,7500000,59460,坡道平面,40.8,1400000,,RPPOMLLKKHPFFBH08CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C1-05,24.44,住,,,1080915,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.27,2,2,2,有,無,7050000,55561,坡道平面,39.68,1350000,,RPQOMLLKKHPFFBH18CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C1-06,24.44,住,,,1080518,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.39,2,2,2,有,無,7100000,55561,坡道平面,40.8,1400000,,RPROMLLKKHPFFBH28CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C1-07,24.44,住,,,1080811,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.39,2,2,2,有,無,7100000,55561,坡道平面,40.8,1400000,,RPTOMLLKKHPFFBH48CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C1-08,24.44,住,,,1080811,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.39,2,2,2,有,無,7200000,56536,坡道平面,40.8,1400000,,RPUOMLLKKHPFFBH58CB
中壢區,房地(土地+建物),桃園市中壢區長春路187號旁 C1-09,24.28,住,,,1080804,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.59,2,2,2,有,無,5950000,57998,,0.0,0,,RPXPMLLKKHPFFBH98CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C1-10,24.44,住,,,1081103,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.39,2,2,2,有,無,7100000,55561,坡道平面,40.8,1400000,,RPOQMLLKKHPFFBH18CB
中壢區,房地(土地+建物),桃園市中壢區長春路187號旁 C1-11,24.28,住,,,1080817,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.59,2,2,2,有,無,5830000,56828,,0.0,0,,RPPQMLLKKHPFFBH28CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C1-12,24.44,住,,,1081117,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.39,2,2,2,有,無,7250000,56048,坡道平面,40.8,1500000,,RPRQMLLKKHPFFBH48CB
中壢區,房地(土地+建物),桃園市中壢區長春路187號旁 C1-14,24.28,住,,,1081027,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,102.59,2,2,2,有,無,5900000,57510,,0.0,0,,RPSQMLLKKHPFFBH58CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C1-15,24.44,住,,,1081006,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.39,2,2,2,有,無,6900000,53611,坡道平面,40.8,1400000,,RPTQMLLKKHPFFBH68CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C2-02,33.48,住,,,1080630,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,175.66,3,2,2,有,無,9500000,59935,坡道平面,39.68,1350000,,RPVQMLLKKHPFFBH88CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C2-03,33.48,住,,,1080529,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,177.3,3,2,2,有,無,8900000,54861,坡道平面,39.68,1350000,,RPXQMLLKKHPFFBH09CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C2-04,33.48,住,,,1080623,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.42,3,2,2,有,無,8750000,53408,坡道平面,40.8,1400000,,RPORMLLKKHPFFBH28CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C2-05,33.48,住,,,1080614,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.42,3,2,2,有,無,8900000,54498,坡道平面,40.8,1400000,,RPPRMLLKKHPFFBH38CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C2-06,33.48,住,,,1080713,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.42,3,2,2,有,無,9080000,55806,坡道平面,40.8,1400000,,RPQRMLLKKHPFFBH48CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C2-07,33.48,住,,,1080622,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.42,3,2,2,有,無,9130000,55443,坡道平面,40.8,1500000,,RPRRMLLKKHPFFBH58CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C2-08,33.48,住,,,1080525,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,177.3,3,2,2,有,無,9000000,55588,坡道平面,39.68,1350000,,RPSRMLLKKHPFFBH68CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C2-09,33.48,住,,,1080623,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.42,3,2,2,有,無,9180000,55515,坡道平面,40.08,1500000,,RPTRMLLKKHPFFBH78CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C2-10,33.48,住,,,1080706,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.42,3,2,2,有,無,9200000,55660,坡道平面,40.08,1500000,,RPURMLLKKHPFFBH88CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C2-11,33.48,住,,,1080510,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.42,3,2,2,有,無,8980000,54070,坡道平面,40.08,1500000,,RPVRMLLKKHPFFBH98CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C2-12,33.48,住,,,1080511,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.42,3,2,2,有,無,9000000,54214,坡道平面,40.08,1500000,,RPWRMLLKKHPFFBH09CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C2-13,33.48,住,,,1080526,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.42,3,2,2,有,無,9050000,54937,坡道平面,40.08,1450000,,RPXRMLLKKHPFFBH56CB
中壢區,房地(土地+建物)+車位,桃園市中壢區長春路187號旁 C2-15,33.48,住,,,1080901,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.42,3,2,2,有,無,8800000,52769,坡道平面,40.08,1500000,,RPOSMLLKKHPFFBH38CB
