編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVPMLLKKHPFFBJ88CA,,39.35,住家用,鋼筋混凝土造,108年10月4日,十二層,五層 陽台
RPVPMLLKKHPFFBJ88CA,,63.92,本共有部分之項目有防空避難室兼停車空間、雨污水機房、消防機械室、水箱、樓梯間、梯廳、排煙室、升降機間、停車空間、台電配電室、發電機室、電信室、管委會使用空間、垃圾暫存室、公共服務空間、入口雨遮、戶外安全梯、消防水箱等十八項。,鋼筋混凝土造,108年10月4日,十二層,
RPTPMLLKKHPFFBJ68CA,11,.01,商業用,鋼筋混凝土造,98年5月4日,十五層,一層
RPTPMLLKKHPFFBJ68CA,11,32.10,共用部分,鋼筋混凝土造,98年5月4日,十五層,
RPTPMLLKKHPFFBJ68CA,11,.01,共用部分,鋼筋混凝土造,98年5月4日,十五層,
RPTPMLLKKHPFFBJ68CA,11,88.27,住家用,鋼筋混凝土造,98年5月4日,十五層,三層 陽台 雨遮
RPTPMLLKKHPFFBJ68CA,11,7.56,共用部分,鋼筋混凝土造,98年5月4日,十五層,
RPTPMLLKKHPFFBJ68CA,11,28.20,共用部分,鋼筋混凝土造,98年5月4日,十五層,
RPROMLMKKHPFFBJ48CA,10,60.39,本共有部分之項目有防空避難室、停車空間等二項。,鋼筋混凝土造,99年2月1日,十二層,
RPROMLMKKHPFFBJ48CA,10,.33,守衛室,鋼筋混凝土造,99年2月1日,十二層,一層
RPROMLMKKHPFFBJ48CA,10,22.77,本共有部分之項目有防空避難室、停車空間等二項。,鋼筋混凝土造,99年2月1日,十二層,
RPROMLMKKHPFFBJ48CA,10,160.89,住家用,鋼筋混凝土造,99年2月1日,十二層,十一層 陽台 雨遮
RPROMLMKKHPFFBJ48CA,10,33.57,本共有部分之項目有停車空間、樓梯間、機械室、水箱等四項。,鋼筋混凝土造,99年2月1日,十二層,
RPOOMLMKKHPFFBJ18CA,16,83.70,住家用,鋼筋混凝土造,93年5月24日,十四層,十三層 陽台 雨遮
RPOOMLMKKHPFFBJ18CA,16,10.75,共用部分,鋼筋混凝土造,93年5月24日,十四層,
RPOOMLMKKHPFFBJ18CA,16,33.86,共用部分,鋼筋混凝土造,93年5月24日,十四層,
RPUOMLOKKHPFFBJ98CA,11,.70,管理室,鋼筋混凝土造,97年7月29日,十二層,一層
RPUOMLOKKHPFFBJ98CA,11,68.91,共用部分,鋼筋混凝土造,97年7月29日,十二層,
