鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
大湖鄉,土地,水頭寮段1070-2地號,1826.07,,,,1070901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,2464,,0.0,0,,RPQNMLNKKHPFFAK38CA,0.0,0.0,0.0,,
公館鄉,土地,關爺埔段1400地號,1660.18,,特定農業區,農牧用地,1090116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3890000,2343,,0.0,0,,RPPNMLOKKHPFFBK48CA,0.0,0.0,0.0,,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文山里１７鄰自治路４０８巷１８號２樓之２,37.83,住,,,1081225,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070808,129.63,3,2,2,有,無,6500000,50143,一樓平面,0.0,0,買賣價款含共有約定專用車位,RPTNMLPKKHPFFBK98CA,83.84,5.22,6.44,,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市文山里4鄰文發路98巷19號五樓,39.97,住,,,1090118,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040622,131.9,3,2,2,有,無,6800000,51554,一樓平面,0.0,0,,RPPNMLTKKHPFFBK98CA,84.19,0.0,10.83,,
通霄鎮,土地,南和段341地號,5631.0,,山坡地保育區,農牧用地,1081222,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,426,,0.0,0,急買急賣。；,RPPNMLMJLHPFFCK38CA,0.0,0.0,0.0,,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮海口里１９鄰保福路４３２號二樓之六,38.39,,特定農業區,甲種建築用地,1070620,土地2建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080909,119.88,3,2,2,有,無,4360000,36370,一樓平面,0.0,0,車位約定專用,RPQNMLLKKHPFFDK48CA,76.68,0.0,8.21,,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮海口里１９鄰保福路４３２號二樓之五,41.07,,特定農業區,甲種建築用地,1071018,土地2建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080909,126.5,3,2,2,有,無,4680000,36996,一樓平面,0.0,0,車位約定專用,RPRNMLLKKHPFFDK58CA,82.29,0.0,8.29,,
造橋鄉,土地,造橋段1728-21地號,2196.0,,山坡地保育區,農牧用地,1090106,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,911,,0.0,0,,RPQNMLMKKHPFFDK58CA,0.0,0.0,0.0,,
後龍鎮,土地,大山腳段3411-3地號,1746.0,,,,1081223,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2640900,1513,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLMKKHPFFDK68CA,0.0,0.0,0.0,,
